CURRENCY,REASON_INDEX,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <endrec>
"999","10003159","937262867"<endrec>
"999","10003160","937262898"<endrec>
"999","10003161","937262899"<endrec>
"999","10003162","937262900"<endrec>
"999","10003163","937262901"<endrec>
"999","10003169","937263708"<endrec>
"999","10003170","937263713"<endrec>
"999","10003171","937263716"<endrec>
"999","10003172","937263720"<endrec>
"999","10003173","937263721"<endrec>
"999","10003174","937263732"<endrec>
"999","10003175","937263733"<endrec>
"999","10003176","937263734"<endrec>
"999","10003177","937263735"<endrec>
"999","10003178","937263736"<endrec>
"999","10003179","937263737"<endrec>
"999","10003180","937263738"<endrec>
"999","10003181","937263739"<endrec>
"999","10003182","937263740"<endrec>
"999","10003183","937263741"<endrec>
"999","10003184","937263742"<endrec>
"999","10003180","937264688"<endrec>
"999","10003183","937264689"<endrec>
"999","10003182","937264690"<endrec>
"999","10003181","937264691"<endrec>
"999","10003184","937264692"<endrec>
"999","10003189","937264708"<endrec>
"999","10003190","937264709"<endrec>
"999","10000051","937278844"<endrec>
"999","10003109","937279842"<endrec>
"999","10003174","937279870"<endrec>
"999","10003159","937279873"<endrec>
"999","10003174","937279884"<endrec>
"999","10003219","937279893"<endrec>
"999","10000119","937279903"<endrec>
"999","10003180","937279929"<endrec>
"999","10003183","937279932"<endrec>
"999","10003177","937279933"<endrec>
"999","10003183","937279934"<endrec>
"999","10003177","937279935"<endrec>
"999","10003176","937279936"<endrec>
"999","10003184","937279937"<endrec>
"999","10003179","937279938"<endrec>
"999","10003176","937279939"<endrec>
"999","10003184","937279940"<endrec>
"999","10000119","937279960"<endrec>
"999","10002878","937279974"<endrec>
"999","10002878","937279975"<endrec>
"999","10003220","937279976"<endrec>
"999","10000051","937279981"<endrec>
"999","10003159","937280838"<endrec>
"999","10003230","937281862"<endrec>
"999","10003231","937281863"<endrec>
"999","10003232","937281864"<endrec>
"999","10000051","937281916"<endrec>
"999","10000051","937281920"<endrec>
"999","10000051","937281927"<endrec>
"999","10000119","937284828"<endrec>
"999","10000119","937284835"<endrec>
"999","10003129","937287822"<endrec>
"999","10003129","937287823"<endrec>
"999","10003129","937287824"<endrec>
"999","10000119","937290841"<endrec>
"999","10003174","937298818"<endrec>
"999","10003109","937305824"<endrec>
"999","10003184","937305827"<endrec>
