ACCOUNT_MODEL,ACCOUNT_TYPE_ALIAS,ACCOUNT_TYPE_ID,ACCOUNT_TYPE_NAME,APPLY_CREDIT_LIMIT,BALANCE_DIRECTION,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CUSTOMER_APPLIED,DEBIT_QUERY_BALANCE,DESCRIPTION,EXCLUDE_LIMIT,FOR_CHARGE_CREDIT,FOR_CHARGE_DEBIT,FOR_TAX_CREDIT,FOR_TAX_DEBIT,GROUP_APPLIED,ISLOYALTYPROVIDERACCT,IS_ALLOW_OVER_DRAW,IS_SHARABLE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,ORGANIZATION_APPLIED,REALTIME_UPDATE,SP_APPLIED,STATUS,STATUS_GROUP,UNIQUE_ID,VALUE_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"1001","Agency Commission Account","10019","Agency Commission Account","","1","203000000000010002","2014-03-13 20:05:31.934000","TZS","false","","Agency Commission Account","true","true","true","false","true","False","","true","0","203000000000010002","2014-03-14 15:01:29.609000","2014-03-14 15:01:29.609000","true","true","false","50","1004|1005|1006|1000|1002","20160","1001"<endrec>
"1001","Commission Held Account","10025","Commission Held Account","","2","203000000000010002","2014-03-13 20:31:41.911000","TZS","false","","Agency Commission Held Account","true","false","false","false","false","False","","false","0","203000000000010036","2014-08-26 10:10:16.465000","2014-08-26 10:10:16.465000","true","true","false","30","1004|1005|1000|1002|1006","20161","1001"<endrec>
"1001","Commission Account","10019","Agency Commission Account","","2","203000000000010002","2014-03-14 14:57:38.532000","TZS","false","","Agency Commission Account","true","true","true","false","true","False","","true","0","203000000000010164","2014-11-25 16:16:03.591000","2014-11-25 16:16:03.591000","true","true","false","50","1004|1005|1000|1002|1006","20166","1001"<endrec>
"1001","Airtime Purchase Account","10027","Airtime Purchase Account","","2","203000000000010002","2014-03-17 14:11:43.101000","TZS","false","","Airtime Purchase Account","true","false","true","false","false","False","","false","0","203000000000010164","2014-12-02 09:49:49.143000","2014-12-02 09:49:49.143000","true","false","false","50","1000|1002","20192","1001"<endrec>
"1001","Archived Funds Holding Account","10029","Archived Funds Holding Account","","2","203000000000010002","2014-03-18 15:16:26.377000","TZS","false","","Holds funds from recycled customer accounts","true","false","false","false","false","False","","false","0","203000000000010036","2014-08-26 10:10:23.942000","2014-08-26 10:10:23.942000","false","true","true","30","1000|1002|1006","20248","1001"<endrec>
"1001","Unclaimed Archived Funds Account","10030","Unclaimed Archived Funds Account","","2","203000000000010002","2014-03-18 15:18:03.123000","TZS","false","","Holds unclaimed funds from recycled accounts","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-18 15:18:16.185000","2014-03-18 15:18:16.185000","false","true","true","30","1000|1002","20249","1001"<endrec>
"1001","Deposits Holding Account","10031","Deposits Holding Account","","2","203000000000010002","2014-03-19 10:34:32.649000","TZS","false","","Allows the Finance Team to fix Bank Reconciliation issues by allocating deposits from unknown sources here temporarily","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-19 10:35:00.407000","2014-03-19 10:35:00.407000","false","true","true","30","1000|1002","20268","1001"<endrec>
"1001","Bank Charges Account","10032","Bank Charges Account","","2","203000000000010002","2014-03-19 10:41:01.403000","TZS","false","","Bank Charges Account","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-24 03:50:13.695000","2014-03-24 03:50:13.695000","false","true","true","50","1000|1002","20269","1001"<endrec>
"1001","VAT Account","10033","V.A.T. Account","","2","203000000000010002","2014-03-19 10:43:08.473000","TZS","false","","Holds V.A.T. deducted from commission payments to 3rd party organisations","true","false","false","false","false","False","","false","0","203000000000011204","2015-08-10 11:42:36.210000","2015-08-10 11:42:36.210000","false","true","true","50","1000|1002","20270","1001"<endrec>
"1001","Commission Received Account","10014","M-PESA Commission Received Account","","2","203000000000010002","2014-03-19 13:46:03.057000","TZS","false","","Total Commission received by the Service Provider","true","true","true","false","false","False","","false","0","203000000000010806","2015-08-20 10:45:27.544000","2015-08-20 10:45:27.544000","false","false","true","50","1000|1002|1006","20282","1001"<endrec>
"1001","Interest Received Account","10034","Interest Received Account","","2","203000000000010002","2014-03-20 09:48:09.737000","TZS","false","","Interest Received Account","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-21 10:54:09.511000","2014-03-21 10:54:09.511000","false","false","true","50","1000|1002","20292","1001"<endrec>
"1001","Charges Paid Account","10016","Charges Paid Account","","2","203000000000010002","2014-03-21 10:08:11.307000","TZS","false","","Accounts for charges levied against businesses for money transfer services","false","false","true","false","false","False","","true","1","203000000000010503","2015-07-17 16:52:18.819000","2015-07-17 16:52:18.819000","true","true","false","50","1004|1005|1006|1000|1002","20354","1001"<endrec>
"1003","Control Account","10001","Control Account","","1","203000000000010002","2014-03-21 10:46:12.720000","TZS","false","","Control Account for the trust holding account","true","false","false","false","false","False","","true","0","203000000000010002","2014-04-12 11:06:53.245000","2014-04-12 11:06:53.245000","false","true","true","50","1000|1002","20358","1001"<endrec>
"1001","Commission Payable Account","10024","Commission Payable Account","","2","203000000000010002","2014-03-21 10:47:36.151000","TZS","false","","Holding account for commission invoiced by the head office, but not yet invoiced by independent stores","true","false","false","false","true","False","","false","0","203000000000010503","2015-07-17 16:46:39.659000","2015-07-17 16:46:39.659000","true","true","false","50","1004|1005|1006|1000|1002","20359","1001"<endrec>
"1001","Withholding Tax Account for Service Provider","10023","Withholding Tax Account for Service Provider","","2","203000000000010002","2014-03-21 10:48:39.144000","TZS","false","","Withholding Tax Account for Service Provider","true","false","false","true","false","False","","false","0","203000000000010002","2014-03-21 10:48:45.555000","2014-03-21 10:48:45.555000","false","true","true","30","1000|1002","20360","1001"<endrec>
"1001","Interest Received Account","10034","Interest Received Account","","2","203000000000010002","2014-03-21 10:54:03.762000","TZS","false","","Holds interest earned against the Bank Account associated with the Control Account","true","false","false","false","false","False","","false","0","203000000000010002","2014-03-21 10:54:09.608000","2014-03-21 10:54:09.608000","false","true","true","30","1000|1002","20361","1001"<endrec>
"1001","Bank Charges Account","10032","Bank Charges Account","","2","203000000000010002","2014-03-24 03:50:03.907000","TZS","false","","Holds all of the bank charges applied to the trust bank account","true","false","false","false","false","False","","true","0","203000000000010002","2014-03-24 03:50:13.914000","2014-03-24 03:50:13.914000","false","true","true","30","1000|1002","30002000","1001"<endrec>
"1003","Control Account","10001","Control Account","0","1","203000000000010002","2014-04-12 11:06:13.353000","TZS","false","","Control Account that reflects the trust bank account","true","false","false","false","false","false","false","false","0","203000000000010806","2017-10-05 13:41:48.477000","2017-10-05 13:24:01.000000","false","true","true","50","1000|1002|1006","30015714","1001"<endrec>
"1001","Settlement Account","10089","Settlement Account","","2","203000000000010063","2014-06-06 23:28:10.458000","TZS","false","","Holds the debits and credits created during the automated settlement of M-Pesa Revenue or Airtime","false","false","false","false","false","False","","true","0","203000000000010503","2015-07-17 16:53:54.249000","2015-07-17 16:53:54.249000","false","true","true","50","1000|1002|1006","30059355","1001"<endrec>
"1001","Charges Paid High Volume Account","10135","Charges Paid High Volume Account","","2","203000000000010063","2014-10-01 09:13:55.445000","TZS","false","","Charges Paid High Volume Account","true","false","true","false","false","False","","true","0","203000000000010063","2014-10-01 09:21:39.968000","2014-10-01 09:21:39.968000","true","true","false","30","1000|1002|1006","30099640","1001"<endrec>
"1001","Deposit Account","10136","Deposit Account","","2","203000000000010063","2014-10-01 09:15:26.915000","TZS","false","","Deposit Account","true","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:05:54.705000","2014-11-28 18:05:54.705000","true","true","false","50","1000|1002|1006","30099641","1001"<endrec>
"1001","Final Payout Account","10137","Final Payout Account","","2","203000000000010063","2014-10-01 09:16:41.871000","TZS","false","","Final Payout Account","true","false","true","false","false","False","","false","0","203000000000010164","2014-11-28 18:24:53.567000","2014-11-28 18:24:53.567000","true","true","false","50","1000|1002|1006","30099642","1001"<endrec>
"1001","Loan Disbursement Account","10138","Loan Disbursement Account","","2","203000000000010063","2014-10-01 09:17:23.436000","TZS","false","","Loan Disbursement Account","true","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:21:37.106000","2014-11-28 18:21:37.106000","true","true","false","50","1000|1002|1006","30099643","1001"<endrec>
"1001","Loan Repayment Account","10139","Loan Repayment Account","","2","203000000000010063","2014-10-01 09:18:49.897000","TZS","false","","Loan Repayment Account","true","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:24:23.847000","2014-11-28 18:24:23.847000","true","true","false","50","1000|1002|1006","30099644","1001"<endrec>
"1001","Withdrawal Account","10140","Withdrawal Account","","2","203000000000010063","2014-10-01 09:19:17.807000","TZS","false","","Withdrawal Account","true","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:09:49.379000","2014-11-28 18:09:49.379000","true","true","false","50","1000|1002|1006","30099645","1001"<endrec>
"1001","Zero Value Account","10141","Zero Value Account","","2","203000000000010063","2014-10-01 09:19:52.660000","TZS","false","","Used to support high-volume throughput of zero-valued transactions","true","true","false","false","false","False","","false","0","203000000000010063","2014-10-01 09:22:00.518000","2014-10-01 09:22:00.518000","true","true","false","30","1000|1002|1006","30099646","1001"<endrec>
"1001","Data Bundle Purchase Account","10152","Data Bundle Purchase Account","","2","203000000000010164","2014-11-13 12:34:33.869000","TZS","false","","Holds the credits from customer purchases of bundle products","false","true","true","true","false","False","","true","0","203000000000010502","2015-07-24 11:10:26.724000","2015-07-24 11:10:26.724000","true","false","false","50","1000|1002|1006","30120090","1001"<endrec>
