CHANNEL,LOAD_DATA_TS,SERVICE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"1002","","937197586"<endrec>
"1002","","937197590"<endrec>
"1002","","937197594"<endrec>
"1002","","937197618"<endrec>
"1002","","937197644"<endrec>
"1002","","937197648"<endrec>
"1002","","937197654"<endrec>
"1002","","937197656"<endrec>
"1002","","937197867"<endrec>
"1002","","937198549"<endrec>
"1002","","937198554"<endrec>
"1002","","937198555"<endrec>
"1002","","937198556"<endrec>
"1002","","937198557"<endrec>
"1002","","937198558"<endrec>
"1002","","937198559"<endrec>
"1002","","937198560"<endrec>
"1002","","937199536"<endrec>
"1002","","937199537"<endrec>
"1002","","937199538"<endrec>
"1002","","937199539"<endrec>
"1002","","937199540"<endrec>
"1002","","937199541"<endrec>
"1002","","937199542"<endrec>
"1002","","937199546"<endrec>
"1002","","937199547"<endrec>
"1002","","937199548"<endrec>
"1002","","937199550"<endrec>
"1002","","937200554"<endrec>
"1002","","937200572"<endrec>
"1002","","937200578"<endrec>
"1002","","937200579"<endrec>
"1002","","937200580"<endrec>
"1002","","937200581"<endrec>
"1002","","937200582"<endrec>
"1002","","937200583"<endrec>
"1002","","937203538"<endrec>
"1002","","937203551"<endrec>
"1002","","937203555"<endrec>
"1002","","937203556"<endrec>
"1002","","937203557"<endrec>
"1002","","937203558"<endrec>
"1002","","937203559"<endrec>
"1002","","937205539"<endrec>
"1002","","937205554"<endrec>
"1002","","937205555"<endrec>
"1002","","937205559"<endrec>
"1002","","937205560"<endrec>
"1002","","937205561"<endrec>
"1002","","937205562"<endrec>
"1002","","937205563"<endrec>
"1002","","937205584"<endrec>
"1002","","937205585"<endrec>
"1002","","937205588"<endrec>
"1002","","937205591"<endrec>
"1002","","937205592"<endrec>
"1002","","937205596"<endrec>
"1002","","937205615"<endrec>
"1002","","937205619"<endrec>
"1002","","937205668"<endrec>
"1002","","937205680"<endrec>
"1002","","937205688"<endrec>
"1002","","937205689"<endrec>
"1002","","937205694"<endrec>
"1002","","937205696"<endrec>
"1002","","937205697"<endrec>
"1002","","937205703"<endrec>
"1002","","937205704"<endrec>
"1002","","937205716"<endrec>
"1002","","937206534"<endrec>
"1002","","937208545"<endrec>
"1002","","937208553"<endrec>
"1002","","937208559"<endrec>
"1002","","937208592"<endrec>
"1002","","937208596"<endrec>
"1002","","937210547"<endrec>
"1002","","937210551"<endrec>
"1002","","937210568"<endrec>
"1002","","937210571"<endrec>
"1002","","937210632"<endrec>
"1002","","937210634"<endrec>
"1002","","937210635"<endrec>
"1002","","937210636"<endrec>
"1002","","937210637"<endrec>
"1002","","937210638"<endrec>
"1002","","937210640"<endrec>
"1002","","937210641"<endrec>
"1002","","937210642"<endrec>
"1002","","937210643"<endrec>
"1002","","937210644"<endrec>
"1002","","937210645"<endrec>
"1002","","937210655"<endrec>
"1002","","937210656"<endrec>
"1002","","937210710"<endrec>
"1002","","937212549"<endrec>
"1002","","937213542"<endrec>
"1002","","937213552"<endrec>
"1002","","937214568"<endrec>
"1002","","937214624"<endrec>
"1002","","937214627"<endrec>
"1002","","937214638"<endrec>
"1002","","937214649"<endrec>
"1002","","937214651"<endrec>
"1002","","937214661"<endrec>
"1002","","937214664"<endrec>
"1002","","937214681"<endrec>
"1002","","937215553"<endrec>
"1002","","937215568"<endrec>
"1002","","937215576"<endrec>
"1002","","937215584"<endrec>
"1002","","937215585"<endrec>
"1002","","937215586"<endrec>
"1002","","937215635"<endrec>
"1002","","937215636"<endrec>
"1002","","937215637"<endrec>
"1002","","937215672"<endrec>
"1002","","937215677"<endrec>
"1002","","937215703"<endrec>
"1002","","937216550"<endrec>
"1002","","937216560"<endrec>
"1002","","937216574"<endrec>
"1002","","937216659"<endrec>
"1002","","937216660"<endrec>
"1002","","937216668"<endrec>
"1002","","937217588"<endrec>
"1002","","937217614"<endrec>
"1002","","937217632"<endrec>
"1002","","937217642"<endrec>
"1002","","937217646"<endrec>
"1002","","937217648"<endrec>
"1002","","937217671"<endrec>
"1002","","937217683"<endrec>
"1002","","937217686"<endrec>
"1002","","937217729"<endrec>
"1002","","937217735"<endrec>
"1002","","937217751"<endrec>
"1002","","937217784"<endrec>
"1002","","937217795"<endrec>
"1002","","937217812"<endrec>
"1002","","937217828"<endrec>
"1002","","937218587"<endrec>
"1002","","937218598"<endrec>
"1002","","937218632"<endrec>
"1002","","937218680"<endrec>
"1002","","937218734"<endrec>
"1002","","937218735"<endrec>
"1002","","937218736"<endrec>
"1002","","937218737"<endrec>
"1002","","937218744"<endrec>
"1002","","937218750"<endrec>
"1002","","937218751"<endrec>
"1002","","937218771"<endrec>
"1002","","937218773"<endrec>
"1002","","937218777"<endrec>
"1002","","937218778"<endrec>
"1002","","937218783"<endrec>
"1002","","937218796"<endrec>
"1002","","937218813"<endrec>
"1002","","937218842"<endrec>
"1002","","937218877"<endrec>
"1002","","937218889"<endrec>
"1002","","937219049"<endrec>
"1002","","937219106"<endrec>
"1002","","937219109"<endrec>
"1002","","937219170"<endrec>
"1002","","937219182"<endrec>
"1002","","937219209"<endrec>
"1002","","937219248"<endrec>
"1002","","937219282"<endrec>
"1002","","937219303"<endrec>
"1002","","937219317"<endrec>
"1002","","937219330"<endrec>
"1002","","937219346"<endrec>
"1002","","937219347"<endrec>
"1002","","937219398"<endrec>
"1002","","937219406"<endrec>
"1002","","937220681"<endrec>
"1002","","937220682"<endrec>
"1002","","937220683"<endrec>
"1002","","937220747"<endrec>
"1002","","937220749"<endrec>
"1002","","937220751"<endrec>
"1002","","937220752"<endrec>
"1002","","937220767"<endrec>
"1002","","937220773"<endrec>
"1002","","937227548"<endrec>
"1002","","937227584"<endrec>
"1002","","937227585"<endrec>
"1002","","937227586"<endrec>
"1002","","937227587"<endrec>
"1002","","937227588"<endrec>
"1002","","937227589"<endrec>
"1002","","937227590"<endrec>
"1002","","937227591"<endrec>
"1002","","937227592"<endrec>
"1002","","937227593"<endrec>
"1002","","937227594"<endrec>
"1002","","937227595"<endrec>
"1002","","937227596"<endrec>
"1002","","937227597"<endrec>
"1002","","937227598"<endrec>
"1002","","937227599"<endrec>
"1002","","937227600"<endrec>
"1002","","937227601"<endrec>
"1002","","937227602"<endrec>
"1002","","937227603"<endrec>
"1002","","937227604"<endrec>
"1002","","937227605"<endrec>
"1002","","937227614"<endrec>
"1002","","937227615"<endrec>
"1002","","937227626"<endrec>
"1002","","937228552"<endrec>
"1002","","937228553"<endrec>
"1002","","937229553"<endrec>
"1002","","937229614"<endrec>
"1002","","937229615"<endrec>
"1002","","937229618"<endrec>
"1002","","937229619"<endrec>
"1002","","937229621"<endrec>
"1002","","937229631"<endrec>
"1002","","937229634"<endrec>
"1002","","937229650"<endrec>
"1002","","937229665"<endrec>
"1002","","937229670"<endrec>
"1002","","937230542"<endrec>
"1002","","937230547"<endrec>
"1002","","937230553"<endrec>
"1002","","937230633"<endrec>
"1002","","937230634"<endrec>
"1002","","937230650"<endrec>
"1002","","937230665"<endrec>
"1002","","937230666"<endrec>
"1002","","937231547"<endrec>
"1002","","937232584"<endrec>
"1002","","937232587"<endrec>
"1002","","937232612"<endrec>
"1002","","937232619"<endrec>
"1002","","937233560"<endrec>
"1002","","937233561"<endrec>
"1002","","937233562"<endrec>
"1002","","937233563"<endrec>
"1002","","937233564"<endrec>
"1002","","937233565"<endrec>
"1002","","937233566"<endrec>
"1002","","937233567"<endrec>
"1002","","937233568"<endrec>
"1002","","937233569"<endrec>
"1002","","937235580"<endrec>
"1002","","937235581"<endrec>
"1002","","937235582"<endrec>
"1002","","937235589"<endrec>
"1002","","937235596"<endrec>
"1002","","937235597"<endrec>
"1002","","937235598"<endrec>
"1002","","937235599"<endrec>
"1002","","937235610"<endrec>
"1002","","937235614"<endrec>
"1002","","937235619"<endrec>
"1002","","937238662"<endrec>
"1002","","937238663"<endrec>
"1002","","937243686"<endrec>
"1002","","937243687"<endrec>
"1002","","937243694"<endrec>
"1002","","937243695"<endrec>
"1002","","937244662"<endrec>
"1002","","937244663"<endrec>
"1002","","937244664"<endrec>
"1002","","937244667"<endrec>
"1002","","937244668"<endrec>
"1002","","937244669"<endrec>
"1002","","937244670"<endrec>
"1002","","937244671"<endrec>
"1002","","937244672"<endrec>
"1002","","937244673"<endrec>
"1002","","937244674"<endrec>
"1002","","937244676"<endrec>
"1002","","937244677"<endrec>
"1002","","937244678"<endrec>
"1002","","937244680"<endrec>
"1002","","937244687"<endrec>
"1002","","937244688"<endrec>
"1002","","937244694"<endrec>
"1002","","937244702"<endrec>
"1002","","937244703"<endrec>
"1002","","937244708"<endrec>
"1002","","937244710"<endrec>
"1002","","937244712"<endrec>
"1002","","937244713"<endrec>
"1002","","937244714"<endrec>
"1002","","937244715"<endrec>
"1002","","937244757"<endrec>
"1002","","937244758"<endrec>
"1002","","937244816"<endrec>
"1002","","937249813"<endrec>
"1002","","937249814"<endrec>
"1002","","937253687"<endrec>
"1002","","937253764"<endrec>
"1002","","937253765"<endrec>
"1002","","937254731"<endrec>
"1002","","937254744"<endrec>
"1002","","937260699"<endrec>
"1002","","937260715"<endrec>
"1002","","937260716"<endrec>
"1002","","937260717"<endrec>
"1002","","937260718"<endrec>
"1002","","937260731"<endrec>
"1002","","937260732"<endrec>
"1002","","937260733"<endrec>
"1002","","937260734"<endrec>
"1002","","937260794"<endrec>
"1002","","937261692"<endrec>
"1002","","937261693"<endrec>
"1002","","937261694"<endrec>
"1002","","937261695"<endrec>
"1002","","937261696"<endrec>
"1002","","937261698"<endrec>
"1002","","937261715"<endrec>
"1002","","937261717"<endrec>
"1002","","937262902"<endrec>
"1002","","937263730"<endrec>
"1002","","937263731"<endrec>
"1002","","937264685"<endrec>
"1002","","937264686"<endrec>
"1002","","937264687"<endrec>
"1002","","937264693"<endrec>
"1002","","937264694"<endrec>
"1002","","937264695"<endrec>
"1002","","937264696"<endrec>
"1002","","937264711"<endrec>
"1002","","937264712"<endrec>
"1002","","937264713"<endrec>
"1002","","937265748"<endrec>
"1002","","937265755"<endrec>
"1002","","937265763"<endrec>
"1002","","937267802"<endrec>
"1002","","937267803"<endrec>
"1002","","937267805"<endrec>
"1002","","937267811"<endrec>
"1002","","937272818"<endrec>
"1002","","937279872"<endrec>
"1002","","937279922"<endrec>
"1002","","937279923"<endrec>
"1002","","937279951"<endrec>
"1002","","937279977"<endrec>
"1002","","937280003"<endrec>
"1002","","937280827"<endrec>
"1002","","937280828"<endrec>
"1002","","937280829"<endrec>
"1002","","937280830"<endrec>
"1002","","937280831"<endrec>
"1002","","937281847"<endrec>
"1002","","937281902"<endrec>
"1002","","937281903"<endrec>
"1002","","937281931"<endrec>
"1002","","937281944"<endrec>
"1002","","937285834"<endrec>
"1002","","937286823"<endrec>
"1002","","937290830"<endrec>
"1002","","937296818"<endrec>
"1002","","937298832"<endrec>
"1002","","937298838"<endrec>
"1002","","937300830"<endrec>
"1002","","937300839"<endrec>
"1002","","937302855"<endrec>
"1002","","937305836"<endrec>
"1002","","937307854"<endrec>
"1002","","937308854"<endrec>
"1002","","937308861"<endrec>
"1002","","937308883"<endrec>
"1002","","937308894"<endrec>
"1002","","937308934"<endrec>
"1002","","937309880"<endrec>
"1002","","937311854"<endrec>
