ACCUMULATION_CYCLE,ACCUMULATOR_ID,ACCUMULATOR_OWNER,BAND_BEGIN,BAND_END,BAND_TYPE,CHARGEVALUE,CHARGEVALUE_MODE,CHARGE_BAND_INDEX,CHARGE_ID,CURRENCY,DFT_CHG_CFG_UNIQUE_ID,LOAD_DATA_TS,MAX_VALUE,MIN_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"","","","0","-1","0","0","1","1036108755","10016072","TZS","937171315","","-1","-1"<endrec>
"","","","0","-1","0","200","1","1036117059","10018411","TZS","937187533","","-1","-1"<endrec>
