CREDIT_MESSAGE,DEBIT_MESSAGE,REASON_TYPE,TAX_CHARGETYPE_ID,TAX_CHARGE_UNIQUE_ID,TAX_PAYER_ACCOUNT,TAX_PAYER_IDENTITY_TYPE,TAX_RECEIVER_ACCOUNT,TAX_RECEIVER_IDENTITY_TYPE,TRANSACTION_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"","","10000090","0","937371643","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371645","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371648","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371649","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937371662","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371663","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371665","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371666","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371667","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371668","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937371669","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937372435","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937372436","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937374455","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937374456","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937374457","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375451","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375452","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375454","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375456","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375457","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375458","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375459","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375460","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937375461","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375462","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937375500","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375502","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375503","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375504","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375506","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375508","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375509","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375510","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375511","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937375512","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937375513","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937376465","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376466","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376471","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376478","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376479","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937376507","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376508","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376509","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376510","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376514","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376517","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376519","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376521","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376522","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937376598","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376599","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376600","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376603","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376604","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937376622","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376623","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376624","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376626","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376628","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376630","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376631","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376632","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376633","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376634","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937376636","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376637","10011","1004","10019","1003","20018"<endrec>
"","","10000090","0","937376638","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937376654","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937377499","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937377500","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937377503","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937377504","10011","1004","10019","1003","20018"<endrec>
"Tax","TAX","10000090","0","937378468","10011","1004","10033","1005","20018"<endrec>
"tax","TX","10000090","0","937378469","10011","1004","10033","1005","20018"<endrec>
"Tax decrease for fixed","Tax decrease for fixed","10000090","0","937378474","10011","1004","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937378478","10011","1004","10033","1005","20018"<endrec>
"TierIncrease","TierIncrease","10000090","0","937378482","10011","1004","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937378486","10011","1004","10033","1005","20018"<endrec>
"TierIncrease","TierIncrease","10000090","0","937389575","10011","1004","10033","1005","20018"<endrec>
"TierIncrease","TierIncrease","10000090","0","937389576","10011","1004","10033","1005","20018"<endrec>
"","","10000090","0","937403942","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937404945","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937404946","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937416093","10011","1004","21047","1005","20018"<endrec>
"","","10000090","0","937416094","10011","1004","21047","1005","20018"<endrec>
"","","10000090","0","937416098","10011","1004","21047","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937416103","10011","1004","10033","1005","20018"<endrec>
"{DebitParty}","{DebitParty}","10000090","0","937423172","10011","1004","21047","1005","20018"<endrec>
"{CreditParty} test","{DebitParty} test","10000090","0","937423173","10011","1004","21047","1005","20018"<endrec>
"{CreditParty}67","{DebitParty}12","10000090","0","937423175","21047","1005","21047","1005","20018"<endrec>
"{CreditParty} test","{DebitParty} test","10000090","0","937423182","10011","1004","21047","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937423184","10011","1004","10033","1005","20018"<endrec>
"{CreditParty} test","{DebitParty} test","10000090","0","937423187","10011","1004","21047","1005","20018"<endrec>
"{CreditParty} test","{DebitParty} test","10000090","0","937423190","10011","1004","21047","1005","20018"<endrec>
"TierIncrease","TierIncrease","10000090","0","937423192","10011","1004","10033","1005","20018"<endrec>
"{CreditParty}67","{DebitParty}12","10000090","0","937423195","21047","1005","21047","1005","20018"<endrec>
"TierIncrease","TierIncrease","10000090","0","937423196","10011","1004","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937423197","10011","1004","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937423199","10011","1004","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937423231","10013","1003","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937423251","10013","1003","10033","1005","20018"<endrec>
"","","10000090","0","937426185","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937426186","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937427141","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937443278","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937443279","10011","1004","10019","1003","20018"<endrec>
"{CreditParty} test","{DebitParty} test","10000090","0","937445279","10011","1004","21047","1005","20018"<endrec>
"{CreditParty}67","{DebitParty}12","10000090","0","937445281","21047","1005","21047","1005","20018"<endrec>
"","","10000090","0","937445283","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937445286","10011","1004","21047","1005","20018"<endrec>
"New Tax","New Tax","10000090","0","937459413","10011","1004","21047","1005","20018"<endrec>
"Tax on Principle Amount Fixed Increase","Tax on Principle Amount Fixed Increase","10000090","0","937459422","10011","1004","21047","1005","20018"<endrec>
"{CreditParty}67","{DebitParty}12","10000090","0","937459426","21047","1005","21047","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937461505","10013","1003","10033","1005","20018"<endrec>
"TaxIncrease","TaxIncrease","10000090","0","937461514","10013","1003","10033","1005","20018"<endrec>
"TaxIncreasePartial","TaxIncreasePartial","10000090","0","937462322","10011","1003","10033","1005","20018"<endrec>
"TaxTier","TaxTier","10000090","0","937462324","21047","1005","21047","1005","20018"<endrec>
"","","10000090","0","937488591","10011","1003","10033","1005","20018"<endrec>
"","","10000090","0","937492584","10011","1004","10019","1003","20018"<endrec>
"{SP} has given Principal Amount Increase Model Percentage","{DebitParty} charged for Principal Amount Increase Model Percentage","10000090","0","937512730","10011","1004","21047","1005","20018"<endrec>
"{SP} is paid for Tax on Principle amount fixed Increase","{DebitParty} is charged for Tax on Principle amount fixed Increase","10000090","0","937512737","10011","1004","21047","1005","20018"<endrec>
"{SP} is paid for tax with code Tax on Principle amount tier increase","{DebitParty} is charged for tax with code Tax on Principle amount tier increase","10000090","0","937512743","10011","1004","21047","1005","20018"<endrec>
"{DebitParty}","{DebitParty}","10000090","0","937512840","10011","1004","21047","1005","20018"<endrec>
"Tax on increase tier","Tax on increase tier","10000090","0","937512845","10011","1004","10023","1005","20018"<endrec>
"Tax on tier partial amount","Tax on tier partial amount","10000090","0","937512849","10011","1004","10023","1005","20018"<endrec>
"TAX for organization","TAX for organization","10000090","0","937512903","10013","1003","10033","1005","20018"<endrec>
"Tax on increase tier","Tax on increase tier","10000090","0","937512920","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937513753","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937513765","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937514930","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937514931","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937522736","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937522743","10011","1004","10023","1005","20018"<endrec>
"","","10000090","0","937533744","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937535754","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937535849","10011","1004","10023","1005","20018"<endrec>
"","","10000090","0","937535850","10011","1004","10023","1005","20018"<endrec>
"","","10000090","0","937535851","10011","1004","10023","1005","20018"<endrec>
"","","10000090","0","937535853","10011","1004","10023","1005","20018"<endrec>
"Tax on Principle increase tier charge","Tax on Principle increase tier charge","10000090","0","937535854","10011","1004","10023","1005","20018"<endrec>
"Tax on principle fixed increase","Tax on principle fixed increase","10000090","0","937544882","10011","1004","10023","1005","20018"<endrec>
"Tax on principle percentage increase","Tax on principle percentage increase","10000090","0","937545738","10011","1004","10023","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937545741","10011","1004","10023","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937545744","10011","1004","10023","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937545749","10011","1004","10023","1005","20018"<endrec>
"Tax for Organization","Tax for Organization","10000090","0","937547736","10013","1003","10033","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937547760","10011","1004","10023","1005","20018"<endrec>
"Tax on tier partial amount","Tax on tier partial amount","10000090","0","937547783","10011","1004","10023","1005","20018"<endrec>
"Tax for Organization","Tax for Organization","10000090","0","937547789","10013","1003","10033","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937547800","10011","1004","10023","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937547801","10011","1004","10023","1005","20018"<endrec>
"Tax for Organization","Tax for Organization","10000090","0","937549770","10013","1003","10033","1005","20018"<endrec>
"Tax for Organization","Tax for Organization","10000090","0","937549772","10013","1003","10033","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937569731","10011","1004","10023","1005","20018"<endrec>
"Tax Exeption for principle increase","Tax Exeption for principle increase","10000090","0","937569748","10011","1004","10011","1003","20018"<endrec>
"tset","tset","10000090","0","937571731","10013","1003","10011","1004","20018"<endrec>
"","","10000090","0","937585822","10011","1004","21047","1005","20018"<endrec>
"","","10000090","0","937601803","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937601804","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937601805","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937601806","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937601808","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937619809","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937619811","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937619814","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937619815","10011","1004","10019","1003","20018"<endrec>
"Tax Exeption for principle increase","Tax Exeption for principle increase","10000090","0","937619907","10011","1004","10011","1003","20018"<endrec>
"","","10000090","0","937641791","10011","1004","21047","1005","20018"<endrec>
"","","10000090","0","937641795","10011","1004","21047","1005","20018"<endrec>
"","","10000090","0","937641796","10011","1004","21047","1005","20018"<endrec>
"Tax on principle tier increase","Tax on principle tier increase","10000090","0","937641807","10011","1004","10023","1005","20018"<endrec>
"","","10000090","13009","937250731","10011","1008","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","19012","937285829","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","19016","937285835","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","20012","937290853","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","23019","937348958","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","24019","937349903","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","24023","937349905","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","25027","937361004","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","28048","937382565","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","30060","937389602","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","30064","937389608","10011","1009","10011","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","30069","937389610","10011","1009","10011","1005","20018"<endrec>
"SDASDAD","ASDASDASD","10000090","30072","937389610","10011","1008","10011","1009","20018"<endrec>
"Zxx","ZXzx","10000090","30076","937389612","10011","1008","10011","1005","20018"<endrec>
"","","10000090","32078","937416095","10011","1009","21047","1005","20018"<endrec>
"","","10000090","32079","937416096","10011","1009","21047","1005","20018"<endrec>
"","","10000090","34080","937419107","10011","1009","21047","1005","20018"<endrec>
"test","test","10000090","35083","937423178","10011","1009","21047","1008","20018"<endrec>
"","","10000090","35087","937423181","10011","1009","21047","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","35090","937423201","10011","1009","10011","1005","20018"<endrec>
"SDASDAD","ASDASDASD","10000090","35094","937423201","10011","1008","10011","1009","20018"<endrec>
"Discount Charges","Discount Charges","10000090","35096","937423204","10011","1009","10011","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","35099","937423204","10011","1008","10023","1005","20018"<endrec>
"","","10000090","35104","937423211","10011","1009","21047","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","35108","937423265","10011","1008","10023","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","35115","937423274","10011","1008","10023","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","35119","937423276","10011","1008","10023","1005","20018"<endrec>
"Tax on charge tier decrease","Tax on charge tier decrease","10000090","35127","937423283","21047","1005","10033","1005","20018"<endrec>
"Tax on charge tier decrease","Tax on charge tier decrease","10000090","35134","937423286","21047","1005","10033","1005","20018"<endrec>
"Tax on charge tier decrease","Tax on charge tier decrease","10000090","35142","937423299","21047","1005","10033","1005","20018"<endrec>
"Tax on charge fixed decrese","Tax on charge fixed decrese","10000090","36146","937445289","10011","1009","10011","1005","20018"<endrec>
"Tax on charge percentage decrease","Tax on charge percentage decrease","10000090","37155","937461392","10011","1009","10033","1005","20018"<endrec>
"Tax on charge percentage decrease","Tax on charge percentage decrease","10000090","37158","937461393","10011","1009","10033","1005","20018"<endrec>
"Tax on charge percentage decrease","Tax on charge percentage decrease","10000090","37161","937461488","10011","1009","10033","1005","20018"<endrec>
"","","10000090","38151","937462372","10011","1009","21047","1005","20018"<endrec>
"TaxTest","TaxTest","10000090","38153","937462373","10011","1009","10033","1008","20018"<endrec>
"","","10000090","38157","937462381","10011","1009","21047","1005","20018"<endrec>
"TestTax","TestTax","10000090","38169","937462391","10011","1009","10033","1008","20018"<endrec>
"Test","Test","10000090","38171","937462392","10011","1009","10033","1008","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","38175","937462394","10011","1008","10023","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","38179","937462399","10011","1008","10023","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","38184","937462401","10011","1008","10023","1005","20018"<endrec>
"TestTax","TestTax","10000090","38186","937462403","10011","1009","10033","1008","20018"<endrec>
"SplitTaxAmount","SplitTaxAmount","10000090","38192","937462409","10011","1008","10033","1005","20018"<endrec>
"Tax on charge Increase","Tax on charge Increase","10000090","39204","937468589","10011","1008","10023","1005","20018"<endrec>
"Tax on charge Increase","Tax on charge Increase","10000090","39218","937468647","21047","1008","10023","1005","20018"<endrec>
"Tax on charge increse","Tax on charge increse","10000090","39222","937468655","21047","1008","10023","1005","20018"<endrec>
"Tax on charge increse","Tax on charge increse","10000090","39226","937468658","21047","1005","10023","1005","20018"<endrec>
"Tax on charge increse","Tax on charge increse","10000090","40201","937474609","21047","1005","10023","1005","20018"<endrec>
"Tax on charge Fixed decrease","Tax on charge Fixed decrease","10000090","41204","937487624","21047","1008","10023","1005","20018"<endrec>
"Tax on charge Fixed decrease{ChargeReceiver}","Tax on charge Fixed decrease{ChargePayer}","10000090","44204","937512765","10011","1009","10023","1005","20018"<endrec>
"{ChargeReceiver} Tax Code Tax on Charge Amount Decrease Percentage","{ChargePayer} Tax Code Tax on Charge Amount Decrease Percentage","10000090","44205","937512779","10011","1009","10023","1005","20018"<endrec>
"{ChargeReceiver}Tax on Charge Amount Decrease Percentage","{ChargePayer}Tax on Charge Amount Decrease Percentage","10000090","44216","937512802","10011","1009","21047","1005","20018"<endrec>
"Tax on charge amount tier","Tax on charge amount tier","10000090","44223","937512861","10011","1009","10023","1005","20018"<endrec>
"Charge amount increase Percentage","Charge amount increase Percentage","10000090","44227","937512893","10011","1009","21047","1005","20018"<endrec>
"{ChargeReceiver}Tax on Charge Amount Decrease Percentage","{ChargePayer}Tax on Charge Amount Decrease Percentage","10000090","44229","937512925","10011","1009","21047","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","45205","937513745","10011","1008","10023","1005","20018"<endrec>
"Tax on charge percentage Increase","Tax on charge percentage Increase","10000090","45211","937513750","10011","1008","10023","1005","20018"<endrec>
"Tax on charge fixed decrease","Tax on charge fixed decrease","10000090","46205","937522731","10011","1008","10023","1005","20018"<endrec>
"{ChargeReceiver}Tax on Charge Amount Decrease Percentage","{ChargePayer}Tax on Charge Amount Decrease Percentage","10000090","46210","937522740","10011","1009","21047","1005","20018"<endrec>
"Tax on charge fixed decrease","Tax on charge fixed decrease","10000090","46213","937522741","10011","1008","10023","1005","20018"<endrec>
"Tax on charge fixed decrease","Tax on charge fixed decrease","10000090","48204","937539878","10011","1009","10011","1005","20018"<endrec>
"Tax on charge fixed decrease","Tax on charge fixed decrease","10000090","48210","937539884","10011","1009","10023","1005","20018"<endrec>
"Tax on Charge Fixed Decrease Model","Tax on Charge Fixed Decrease Model","10000090","49203","937547738","21046","1008","10033","1005","20018"<endrec>
"Tax on Charge Fixed Decrease Model","Tax on Charge Fixed Decrease Model","10000090","49204","937547739","10011","1009","10011","1005","20018"<endrec>
"Tax on Charge Fixed Decrease Model","Tax on Charge Fixed Decrease Model","10000090","49206","937547740","10011","1009","10011","1005","20018"<endrec>
"Tax on Charge Fixed Decrease Model","Tax on Charge Fixed Decrease Model","10000090","49208","937547746","10011","1009","10011","1005","20018"<endrec>
"Tax on Charge fixed decrease","Tax on Charge fixed decrease","10000090","49210","937547781","10011","1009","10011","1005","20018"<endrec>
"Tax on Charge Tier Amount","Tax on Charge Tier Amount","10000090","49213","937547796","10011","1009","10023","1005","20018"<endrec>
"tax on charge increased precentage","tax on charge increased precentage","10000090","50204","937568727","10011","1009","10023","1005","20018"<endrec>
"tax on charge","tax on charge","10000090","50206","937568734","10011","1009","10023","1005","20018"<endrec>
"Tax on Charge fixed decrease","Tax on Charge fixed decrease","10000090","50208","937568740","10011","1005","10023","1005","20018"<endrec>
"tax on charge","tax on charge","10000090","51205","937569733","10011","1009","10023","1005","20018"<endrec>
"Tax on Charge fixed decrease","Tax on Charge fixed decrease","10000090","51210","937569735","10011","1005","10023","1005","20018"<endrec>
"tax on charge","tax on charge","10000090","51213","937569736","10011","1009","10023","1005","20018"<endrec>
"Tax on Charge fixed decrease","Tax on Charge fixed decrease","10000090","51217","937569741","10011","1005","10023","1005","20018"<endrec>
"Tax on Charge fixed decrease","Tax on Charge fixed decrease","10000090","51219","937569744","10011","1005","10023","1005","20018"<endrec>
"test","test","10000090","52203","937571736","21188","1009","10023","1005","20018"<endrec>
"tax on Decrease fixed rate","tax on Decrease fixed rate","10000090","53205","937583804","10011","1008","10023","1005","20018"<endrec>
"Discount Charges","Discount Charges","10000090","54205","937609786","10011","1009","10011","1005","20018"<endrec>
"","","10000097","0","937279881","10011","1003","10011","1004","20020"<endrec>
"","","10000097","0","937279926","10011","1003","10011","1004","20020"<endrec>
"","","10000097","0","937279941","10011","1003","10011","1004","20020"<endrec>
"test tax amount","test amount","10000097","0","937389575","10011","1003","10011","1005","20020"<endrec>
"","","10000097","11008","937224559","10011","1009","10023","1005","20020"<endrec>
"","","10000110","0","937279946","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937279955","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937279973","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937279990","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937280001","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937281884","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937281923","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937281951","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937281956","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937283820","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937283829","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937283833","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937284843","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937285831","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937324878","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937331873","10011","1003","10011","1004","20020"<endrec>
"","","10000110","0","937331875","10011","1003","10011","1004","20020"<endrec>
"dd","dd","10000110","0","937365118","10011","1004","10033","1005","20020"<endrec>
"dd","dd","10000110","0","937366296","10011","1004","10033","1005","20020"<endrec>
"dd","dd","10000110","0","937378474","10011","1004","10033","1005","20020"<endrec>
"dd","dd","10000110","0","937423259","10011","1004","10033","1005","20020"<endrec>
"","","10000110","0","937461505","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937539893","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937539894","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937544882","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937545738","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937545741","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937545744","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937545749","10011","1004","10011","1003","20020"<endrec>
"","","10000110","0","937547760","10011","1004","10011","1003","20020"<endrec>
"Tax on Principle amount fixed increase","Tax on Principle amount fixed increase","10000110","0","937547800","10011","1004","10011","1003","20020"<endrec>
"Send Money Tax","Send Money Tax","10000110","0","937547801","10011","1004","10011","1003","20020"<endrec>
"Tax for Customer transfer","Tax for Customer transfer","10000110","0","937549770","10011","1004","10011","1004","20020"<endrec>
"Tax for Customer transfer","Tax for Customer transfer","10000110","0","937549772","10011","1004","10011","1003","20020"<endrec>
"Tax for Customer transfer","Tax for Customer transfer","10000110","0","937568725","10011","1004","10011","1003","20020"<endrec>
"Send Money Tax","Send Money Tax","10000110","0","937569731","10011","1004","10011","1003","20020"<endrec>
"Send Money Tax","Send Money Tax","10000110","0","937641807","10011","1004","10011","1003","20020"<endrec>
"Tax for Customer transfer","Tax for Customer transfer","10000110","0","937664868","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937224556","10011","1004","10023","1005","20020"<endrec>
"","","10000119","0","937224557","10011","1004","10023","1005","20020"<endrec>
"","","10000119","0","937279866","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279876","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279928","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279931","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279946","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279955","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279973","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937279990","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937280001","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937281884","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937281923","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937281953","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937281956","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937283819","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937283834","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937283837","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937283838","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937283847","10011","1004","10011","1003","20020"<endrec>
"","","10000119","0","937283856","10011","1004","10011","1003","20020"<endrec>
