ACCUMULATOR_UNIQUE_ID,FILTER_TYPE,REASON_TYPE,TXN_AXN_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"937396935","11","10003233","20018"<endrec>
"937396935","21","-1","-1"<endrec>
"937396938","11","10000059","20010"<endrec>
"937396938","21","-1","-1"<endrec>
"937408012","11","-1","-1"<endrec>
"937408012","21","10002903","22598"<endrec>
"937408015","11","10002903","22598"<endrec>
"937408015","11","10002904","22598"<endrec>
"937408015","11","10002905","22598"<endrec>
"937408015","11","10002918","22598"<endrec>
"937408015","11","10002919","22598"<endrec>
"937408015","11","10002920","22598"<endrec>
"937408015","11","10002921","22598"<endrec>
"937408015","21","-1","-1"<endrec>
"937411126","01","-1","-1"<endrec>
"937413058","11","-1","-1"<endrec>
"937413058","21","10000110","20020"<endrec>
"937413061","11","-1","-1"<endrec>
"937413061","21","-1","-1"<endrec>
"937413063","11","-1","-1"<endrec>
"937413063","21","10000110","20020"<endrec>
"937414123","11","10000056","20009"<endrec>
"937414123","11","10000057","20009"<endrec>
"937414123","11","10000059","20010"<endrec>
"937414123","11","10000090","20018"<endrec>
"937414123","11","10000248","20018"<endrec>
"937414123","11","10003233","20018"<endrec>
"937414123","11","10003390","20009"<endrec>
"937414123","21","-1","-1"<endrec>
"937415075","11","-1","-1"<endrec>
"937415075","21","-1","20018"<endrec>
"937415098","11","10000110","20020"<endrec>
"937415098","21","-1","-1"<endrec>
"937415121","11","10000025","20022"<endrec>
"937415121","21","-1","-1"<endrec>
"937417110","11","-1","-1"<endrec>
"937417110","21","10000110","20020"<endrec>
"937417114","11","-1","-1"<endrec>
"937417114","21","-1","-1"<endrec>
"937417118","11","10002903","22598"<endrec>
"937417118","21","-1","-1"<endrec>
"937417119","11","-1","-1"<endrec>
"937417119","21","10002903","22598"<endrec>
"937417144","11","10000119","20020"<endrec>
"937417144","21","-1","-1"<endrec>
"937417153","11","10003109","20008"<endrec>
"937417153","21","-1","-1"<endrec>
"937418126","11","10000110","20020"<endrec>
"937418126","11","10000119","20020"<endrec>
"937418126","21","-1","-1"<endrec>
"937418133","11","10000110","20020"<endrec>
"937418133","11","10000119","20020"<endrec>
"937418133","21","-1","-1"<endrec>
"937421140","11","-1","-1"<endrec>
"937421140","21","10002903","22598"<endrec>
"937421141","11","10002903","22598"<endrec>
"937421141","21","10002903","22598"<endrec>
"937428293","11","10002982","-1"<endrec>
"937428293","11","10002986","-1"<endrec>
"937428293","21","-1","-1"<endrec>
"937428318","11","10002992","-1"<endrec>
"937428318","21","-1","-1"<endrec>
"937428332","11","10000025","20022"<endrec>
"937428332","21","-1","-1"<endrec>
"937428338","11","-1","-1"<endrec>
"937428338","21","-1","23398"<endrec>
"937429186","11","-1","-1"<endrec>
"937429186","21","-1","20018"<endrec>
"937430137","11","10000018","20004"<endrec>
"937430137","21","10000018","20004"<endrec>
"937430138","11","-1","20022"<endrec>
"937430138","21","-1","-1"<endrec>
"937430211","11","-1","-1"<endrec>
"937430211","21","10000110","20020"<endrec>
"937430299","11","-1","-1"<endrec>
"937430299","21","-1","-1"<endrec>
"937433171","11","-1","-1"<endrec>
"937433171","21","-1","-1"<endrec>
"937433182","11","-1","20020"<endrec>
"937433182","22","-1","-1"<endrec>
"937436161","11","-1","-1"<endrec>
"937436161","21","10000110","20020"<endrec>
"937437141","11","10000110","20020"<endrec>
"937437141","21","-1","-1"<endrec>
"937437143","11","-1","-1"<endrec>
"937437143","21","10000110","20020"<endrec>
"937437155","11","10000110","20020"<endrec>
"937437155","21","-1","-1"<endrec>
"937437178","11","10002625","21503"<endrec>
"937437178","21","-1","-1"<endrec>
"937437184","11","-1","-1"<endrec>
"937437184","21","-1","-1"<endrec>
"937437198","11","-1","-1"<endrec>
"937437198","21","-1","-1"<endrec>
"937437202","11","-1","-1"<endrec>
"937437202","21","-1","-1"<endrec>
"937445240","11","10000110","20020"<endrec>
"937445240","21","-1","-1"<endrec>
"937445249","11","10000110","20020"<endrec>
"937445249","21","-1","-1"<endrec>
"937447222","01","-1","-1"<endrec>
"937450277","11","-1","-1"<endrec>
"937450277","21","-1","-1"<endrec>
"937450284","11","-1","-1"<endrec>
"937450284","21","-1","-1"<endrec>
"937450285","11","10002878","20008"<endrec>
"937450285","21","-1","-1"<endrec>
"937450300","11","-1","-1"<endrec>
"937450300","21","-1","-1"<endrec>
"937451305","11","10000018","20004"<endrec>
"937451305","11","10002903","22598"<endrec>
"937451305","11","10002904","22598"<endrec>
"937451305","11","10002905","22598"<endrec>
"937451305","11","10002918","22598"<endrec>
"937451305","11","10002919","22598"<endrec>
"937451305","11","10002920","22598"<endrec>
"937451305","11","10002921","22598"<endrec>
"937451305","21","-1","-1"<endrec>
"937451309","11","10000018","20004"<endrec>
"937451309","11","10000025","20022"<endrec>
"937451309","11","10000031","20022"<endrec>
"937451309","11","10002903","22598"<endrec>
"937451309","11","10002904","22598"<endrec>
"937451309","11","10002905","22598"<endrec>
"937451309","11","10002918","22598"<endrec>
"937451309","11","10002919","22598"<endrec>
"937451309","11","10002920","22598"<endrec>
"937451309","11","10002921","22598"<endrec>
"937451309","21","-1","-1"<endrec>
"937451317","11","10000018","20004"<endrec>
"937451317","11","10000025","20022"<endrec>
"937451317","11","10000031","20022"<endrec>
"937451317","11","10002903","22598"<endrec>
"937451317","11","10002904","22598"<endrec>
"937451317","11","10002905","22598"<endrec>
"937451317","11","10002918","22598"<endrec>
"937451317","11","10002919","22598"<endrec>
"937451317","11","10002920","22598"<endrec>
"937451317","11","10002921","22598"<endrec>
"937451317","21","-1","-1"<endrec>
"937455368","11","-1","-1"<endrec>
"937455368","21","-1","20022"<endrec>
"937455373","11","-1","-1"<endrec>
"937455373","21","-1","20006"<endrec>
"937455411","11","10000054","20006"<endrec>
"937455411","21","-1","-1"<endrec>
"937456338","01","10002802","5730"<endrec>
"937456340","01","10002802","5730"<endrec>
"937456345","11","-1","-1"<endrec>
"937456345","21","-1","-1"<endrec>
"937456346","01","10002802","5730"<endrec>
"937461496","11","-1","-1"<endrec>
"937461496","21","10000110","20020"<endrec>
"937461506","11","10000110","20020"<endrec>
"937461506","21","-1","-1"<endrec>
"937461510","11","10000110","20020"<endrec>
"937461510","21","-1","-1"<endrec>
"937461513","11","-1","-1"<endrec>
"937461513","21","10000110","20020"<endrec>
"937462383","11","10002619","21499"<endrec>
"937462383","21","-1","-1"<endrec>
"937464356","11","-1","-1"<endrec>
"937464356","21","10000110","20020"<endrec>
"937464360","11","-1","-1"<endrec>
"937464360","21","10000110","20020"<endrec>
"937464360","21","10000119","20020"<endrec>
"937467563","11","-1","-1"<endrec>
"937467563","21","10000056","20009"<endrec>
"937467563","21","10000110","20020"<endrec>
"937467563","21","10003390","20009"<endrec>
"937467690","11","10000110","20020"<endrec>
"937467690","11","10000119","20020"<endrec>
"937467690","22","0","0"<endrec>
"937467707","11","10000110","20020"<endrec>
"937467707","11","10000119","20020"<endrec>
"937467707","21","-1","-1"<endrec>
"937467736","11","10000119","20020"<endrec>
"937467736","21","-1","-1"<endrec>
"937468550","11","-1","-1"<endrec>
"937468550","21","-1","20020"<endrec>
"937468566","11","-1","-1"<endrec>
"937468566","21","10000054","20006"<endrec>
"937468588","11","-1","20020"<endrec>
"937468588","21","-1","-1"<endrec>
"937470542","11","10002407","-1"<endrec>
"937470542","11","10002408","-1"<endrec>
"937470542","21","-1","-1"<endrec>
"937474564","01","10002687","27"<endrec>
"937475580","11","-1","-1"<endrec>
"937475580","21","-1","-1"<endrec>
"937476566","11","-1","20020"<endrec>
"937476566","21","-1","-1"<endrec>
"937476571","11","-1","-1"<endrec>
"937476571","21","10000110","20020"<endrec>
"937476585","11","-1","-1"<endrec>
"937476585","21","-1","-1"<endrec>
"937477541","11","10000090","20018"<endrec>
"937477541","22","0","0"<endrec>
"937477550","11","10000059","20010"<endrec>
"937477550","22","0","0"<endrec>
"937477554","11","10000059","20010"<endrec>
"937477554","22","0","0"<endrec>
"937477555","11","10000059","20010"<endrec>
"937477555","22","0","0"<endrec>
"937477571","11","10000025","20022"<endrec>
"937477571","21","-1","-1"<endrec>
"937478549","11","-1","20020"<endrec>
"937478549","11","-1","21499"<endrec>
"937478549","11","-1","22199"<endrec>
"937478549","21","-1","-1"<endrec>
"937478554","11","-1","20018"<endrec>
"937478554","11","-1","20020"<endrec>
"937478554","11","-1","21499"<endrec>
"937478554","11","-1","22199"<endrec>
"937478554","21","-1","-1"<endrec>
"937479556","11","-1","20020"<endrec>
"937479556","21","-1","-1"<endrec>
"937481578","11","10000025","20022"<endrec>
"937481578","21","-1","-1"<endrec>
"937481583","11","-1","-1"<endrec>
"937481583","21","-1","-1"<endrec>
"937481586","11","-1","-1"<endrec>
"937481586","21","10000059","20010"<endrec>
"937481598","11","-1","-1"<endrec>
"937481598","21","-1","20004"<endrec>
"937481601","11","10000059","20010"<endrec>
"937481601","21","-1","-1"<endrec>
"937481608","11","-1","-1"<endrec>
"937481608","21","-1","-1"<endrec>
"937481609","11","-1","-1"<endrec>
"937481609","21","-1","-1"<endrec>
"937481612","11","10000059","20010"<endrec>
"937481612","21","-1","-1"<endrec>
"937481628","11","-1","20020"<endrec>
"937481628","21","-1","-1"<endrec>
"937481632","11","-1","20018"<endrec>
"937481632","21","-1","-1"<endrec>
"937481636","11","-1","21499"<endrec>
"937481636","11","-1","22199"<endrec>
"937481636","21","-1","-1"<endrec>
"937481638","11","-1","20018"<endrec>
"937481638","11","-1","21499"<endrec>
"937481638","11","-1","22199"<endrec>
"937481638","21","-1","-1"<endrec>
"937481639","11","-1","20020"<endrec>
"937481639","21","-1","-1"<endrec>
"937481645","11","10000059","20010"<endrec>
"937481645","21","-1","-1"<endrec>
"937483542","11","-1","-1"<endrec>
"937483542","21","-1","20022"<endrec>
"937483574","11","10002904","22598"<endrec>
"937483574","21","-1","-1"<endrec>
