CHARGE_PROFILE_UNIQUE_ID,LOAD_DATA_TS,PRODUCT_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"937382553","","2"<endrec>
"937382564","","2"<endrec>
"937384551","","2"<endrec>
"937384552","","2"<endrec>
"937384553","","2"<endrec>
"937384561","","2"<endrec>
"937384562","","2"<endrec>
"937387568","","2"<endrec>
"937387578","","2"<endrec>
"937392628","","2"<endrec>
"937392630","","2"<endrec>
"937392631","","2"<endrec>
"937392649","","2"<endrec>
"937392698","","2"<endrec>
"937392699","","2"<endrec>
"937392703","","2"<endrec>
"937392863","","2"<endrec>
"937392865","","2"<endrec>
"937392867","","2"<endrec>
"937392902","","2"<endrec>
"937393932","","2"<endrec>
"937393933","","2"<endrec>
"937393939","","2"<endrec>
"937393949","","2"<endrec>
"937393950","","2"<endrec>
"937393951","","2"<endrec>
"937393952","","2"<endrec>
"937393953","","2"<endrec>
"937393954","","2"<endrec>
"937393955","","2"<endrec>
"937394916","","2"<endrec>
"937394917","","2"<endrec>
"937394918","","2"<endrec>
"937394919","","2"<endrec>
"937394920","","2"<endrec>
"937394928","","2"<endrec>
"937394929","","2"<endrec>
"937394931","","2"<endrec>
"937394934","","2"<endrec>
"937394935","","2"<endrec>
"937394936","","2"<endrec>
"937394937","","2"<endrec>
"937394940","","2"<endrec>
"937394941","","2"<endrec>
"937394943","","2"<endrec>
"937395915","","2"<endrec>
"937395916","","2"<endrec>
"937395917","","2"<endrec>
"937395919","","10000228"<endrec>
"937395920","","10000228"<endrec>
"937395921","","10000228"<endrec>
"937395922","","2"<endrec>
"937395923","","2"<endrec>
"937396932","","2"<endrec>
"937396933","","2"<endrec>
"937396940","","2"<endrec>
"937396942","","2"<endrec>
"937396943","","2"<endrec>
"937396944","","2"<endrec>
"937396946","","2"<endrec>
"937396956","","2"<endrec>
"937396957","","2"<endrec>
"937396958","","2"<endrec>
"937396959","","2"<endrec>
"937396962","","2"<endrec>
"937396963","","2"<endrec>
"937396968","","2"<endrec>
"937396970","","2"<endrec>
"937396971","","2"<endrec>
"937396974","","2"<endrec>
"937396976","","2"<endrec>
