KYC_FIELD_ID,KYC_GROUP_ID,KYC_GROUP_TYPE_VALUE,LOAD_DATA_TS,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"1004","1001","","2018-11-28 07:19:52.840000","937548779"<endrec>
"1004","1001","","2018-11-29 04:15:08.361000","937548820"<endrec>
"1004","1001","","2018-11-30 03:12:23.313000","937548858"<endrec>
"1004","1001","","2019-01-18 08:39:20.428000","937567769"<endrec>
"1004","1001","","2019-01-18 10:38:11.432000","937567780"<endrec>
"1004","1001","","2019-02-07 08:14:56.966000","937571747"<endrec>
"1004","1001","","2019-02-07 08:23:42.957000","937571748"<endrec>
"1004","1001","","2019-02-08 06:12:04.454000","937571754"<endrec>
"1004","1001","","2019-08-21 12:45:08.335000","937641793"<endrec>
"1004","1001","","2020-01-09 02:21:25.564000","937698761"<endrec>
"1014","1007","","2018-02-08 12:45:04.156000","937461523"<endrec>
"1015","1007","","2018-12-28 05:18:26.632000","937566759"<endrec>
"102","100","01","2016-04-11 16:57:25.430000","937195544"<endrec>
"102","100","01","2016-04-23 05:17:35.177000","937197634"<endrec>
"102","100","01","2016-04-26 09:49:29.830000","937197687"<endrec>
"102","100","01","2016-05-11 11:40:00.548000","937198592"<endrec>
"102","100","01","2016-05-11 11:44:24.553000","937198593"<endrec>
"102","100","01","2016-07-07 05:40:53.373000","937215676"<endrec>
"102","100","03","2016-11-28 04:30:49.916000","937243663"<endrec>
"102","100","03","2016-11-28 06:15:38.509000","937243665"<endrec>
"102","100","01","2017-01-19 20:04:54.168000","937258771"<endrec>
"102","100","01","2017-03-17 16:03:45.777000","937289833"<endrec>
"102","100","01","2017-03-28 17:43:05.349000","937302842"<endrec>
"102","100","01","2017-06-13 08:31:58.501000","937356954"<endrec>
"102","100","01","2017-07-04 10:55:02.021000","937371567"<endrec>
"102","100","01","2017-07-26 07:15:05.320000","937377482"<endrec>
"102","100","01","2017-08-24 09:12:57.516000","937392760"<endrec>
"102","100","01","2017-08-24 09:17:38.379000","937392761"<endrec>
"102","100","01","2019-10-07 11:14:12.230000","937664949"<endrec>
"1023","1011","","2017-11-08 09:46:53.568000","937423271"<endrec>
"110020","1001","","2017-03-15 10:00:08.609000","937287846"<endrec>
"110020","1001","","2017-03-15 12:28:16.987000","937287859"<endrec>
"110020","1001","","2017-03-15 12:31:53.004000","937287860"<endrec>
"110020","1001","","2017-03-15 12:35:28.522000","937287861"<endrec>
"110020","1001","","2017-03-15 12:42:59.317000","937287862"<endrec>
"110020","1001","","2017-03-16 07:35:57.391000","937288822"<endrec>
"110020","1001","","2018-06-22 06:33:41.603000","937510217"<endrec>
"110030","1001","","2017-03-15 09:42:50.673000","937287845"<endrec>
"110030","1001","","2017-03-15 13:11:01.283000","937287863"<endrec>
"110030","1001","","2017-04-20 20:02:48.028000","937325901"<endrec>
"110260","310040","","2016-04-12 21:42:17.689000","937195547"<endrec>
"111146","1001","","2017-03-16 08:02:45.237000","937288823"<endrec>
"111146","1001","","2017-03-16 08:18:00.131000","937288825"<endrec>
"111156","1001","","2017-03-15 09:27:48.934000","937287843"<endrec>
"111166","1001","","2016-11-29 03:36:41.994000","937243680"<endrec>
"111166","1001","","2017-01-02 13:29:30.773000","937254733"<endrec>
"111166","1001","","2017-03-15 09:23:53.917000","937287842"<endrec>
"111166","1001","","2017-03-15 10:03:13.375000","937287847"<endrec>
"111166","1001","","2017-03-15 10:17:35.729000","937287848"<endrec>
"111166","1001","","2017-03-16 07:34:54.939000","937288821"<endrec>
"111166","1001","","2017-03-16 08:09:14.493000","937288824"<endrec>
"202","200","01","2016-04-12 10:47:54.105000","937195555"<endrec>
