APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,EFFECTIVEMODE,EXPIREDATE,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NAME,PROFILE_ID,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"2015-03-24 17:36:46.084000","203000000000010386","2015-03-24 17:36:32.434000","Fedha Bouquet Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-03-24 17:36:46.156000","","Fedha Bouquet Tariff","20036","30","30165421"<endrec>
"2015-04-04 15:05:20.676000","203000000000010276","2015-04-04 14:48:41.279000","ATM Withdrawal Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010276","2015-04-04 15:05:20.779000","","ATM Withdrawal Tariff","20021","30","30173556"<endrec>
"2015-04-06 15:24:28.569000","203000000000010240","2015-04-06 15:23:56.412000","Lottery Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-06 15:24:28.626000","","Lottery Tariff","20094","30","30174044"<endrec>
"2015-04-07 10:16:48.975000","203000000000010386","2015-04-07 10:16:36.032000","Distribution Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-07 10:16:49.039000","","Distribution Tariff 2","20126","30","30174054"<endrec>
"2015-04-08 12:16:02.210000","203000000000010386","2015-04-07 11:53:12.270000","Retail Distribution Tariff 4","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-08 12:16:02.283000","","Retail Distribution Tariff 4","20117","30","30174403"<endrec>
"2015-04-08 12:16:22.344000","203000000000010386","2015-04-07 15:37:49.802000","Staggered Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-08 12:16:22.425000","","Staggered Tariff 1","20107","30","30174406"<endrec>
"2015-04-08 09:39:46.207000","203000000000010278","2015-04-07 20:16:01.182000","Paybill Percentage tariff_2","1","2017-03-08 17:07:25.122000","5000","203000000000013818","2017-03-08 17:07:25.124000","","Paybill Percentage tariff_2","20106","50","30175409"<endrec>
"2015-04-08 11:03:27.191000","203000000000010278","2015-04-08 10:23:13.600000","Retail Distribution Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010278","2015-04-08 11:03:27.253000","","Retail Distribution Tariff 1","20102","30","30175411"<endrec>
"2015-04-08 12:15:44.399000","203000000000010278","2015-04-08 12:04:13.532000","Retail Distribution Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-08 12:15:44.478000","","Retail Distribution Tariff 2","20109","30","30175415"<endrec>
"2015-04-08 15:32:03.303000","203000000000010240","2015-04-08 15:31:11.547000","Merchant Tariff 1","1","2017-04-05 19:31:22.378000","5000","203000000000018317","2017-04-05 19:31:22.380000","","Merchant Tariff 1","20026","50","30175416"<endrec>
"2015-04-09 08:43:10.896000","203000000000010278","2015-04-08 18:39:05.408000","Service Provider 60PC Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010278","2015-04-09 08:43:10.958000","","Service Provider 60PC Tariff","20116","30","30175421"<endrec>
"2015-04-09 12:48:51.765000","203000000000010240","2015-04-09 12:25:03.528000","Msambazaji Tariff 4","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 12:48:51.840000","","Msambazaji Tariff 4","20046","30","30175439"<endrec>
"2015-04-09 12:58:10.018000","203000000000010240","2015-04-09 12:57:32.557000","Hazina Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 12:58:10.117000","","Hazina Tariff","20038","30","30175440"<endrec>
"2015-04-09 13:00:03.975000","203000000000010240","2015-04-09 12:59:50.236000","KRA Special Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 13:00:04.036000","","KRA Special Tariff","20092","30","30175441"<endrec>
"2015-04-09 16:08:29.600000","203000000000010240","2015-04-09 13:23:30.197000","Mauzo Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 16:08:29.679000","","Mauzo Tariff","20039","30","30175443"<endrec>
"2015-04-09 14:44:39.074000","203000000000010240","2015-04-09 14:44:24.992000","Mgao Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 14:44:39.146000","","Mgao Tariff","20040","30","30175447"<endrec>
"2015-04-09 14:48:00.591000","203000000000010240","2015-04-09 14:47:43.432000","M-PESA Ticketing Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 14:48:00.661000","","M-PESA Ticketing Tariff 3","20120","30","30175448"<endrec>
"2015-04-09 16:08:43.306000","203000000000010240","2015-04-09 14:59:04.529000","Msambazaji Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 16:08:43.373000","","Msambazaji Tariff 1","20041","30","30175449"<endrec>
"2015-04-09 16:09:29.817000","203000000000010240","2015-04-09 15:09:38.754000","Msambazaji Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 16:09:29.889000","","Msambazaji Tariff 2","20042","30","30175450"<endrec>
"2015-04-09 16:08:57.753000","203000000000010240","2015-04-09 15:17:21.302000","Msambazaji Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 16:08:57.818000","","Msambazaji Tariff 3","20044","30","30175451"<endrec>
"2015-04-09 16:09:46.388000","203000000000010240","2015-04-09 15:40:22.132000","Msambazaji Tariff 5","1","2099-12-31 23:59:59.000000","5000","203000000000010240","2015-04-09 16:09:46.454000","","Msambazaji Tariff 5","20045","30","30175452"<endrec>
"2015-04-09 15:45:43.119000","203000000000010386","2015-04-09 15:45:30.468000","B2C Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-09 15:45:43.187000","","B2C Tariff 2","20007","30","30175453"<endrec>
"2015-04-09 16:28:13.355000","203000000000010278","2015-04-09 16:20:48.970000","Transport Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010278","2015-04-09 16:28:13.421000","","Transport Tariff","20047","30","30175455"<endrec>
"2015-04-09 17:05:08.555000","203000000000010386","2015-04-09 17:03:54.197000","CSR Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-09 17:05:08.629000","","CSR Tariff 2","20022","30","30175456"<endrec>
"2015-04-13 23:46:35.191000","203000000000010240","2015-04-13 20:44:42.358000","CSR Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:46:35.260000","","CSR Tariff 1","20019","30","30177430"<endrec>
"2015-04-13 23:46:10.449000","203000000000010240","2015-04-13 20:47:59.153000","Bank Tariff 5","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:46:10.518000","","Bank Tariff 5","20122","30","30177431"<endrec>
"2015-04-13 23:46:22.807000","203000000000010240","2015-04-13 20:50:39.609000","Business Bouquet Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:46:22.872000","","Business Bouquet Tariff","20034","30","30177432"<endrec>
"2015-04-13 23:45:57.995000","203000000000010240","2015-04-13 20:56:38.039000","B2C Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:45:58.084000","","B2C Tariff 3","20025","30","30177433"<endrec>
"2015-04-13 22:35:31.563000","203000000000010240","2015-04-13 21:05:31.116000","Merchant Tariff 2","1","2099-12-31 23:59:59.000000","5000","203000000000010276","2015-04-13 22:35:31.647000","","Merchant Tariff 2","20027","30","30177434"<endrec>
"2015-04-13 22:49:17.157000","203000000000010240","2015-04-13 21:16:03.992000","Customer Bouquet Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010276","2015-04-13 22:49:17.226000","","Customer Bouquet Tariff","20035","30","30177435"<endrec>
"2015-04-13 22:30:13.119000","203000000000010240","2015-04-13 21:36:33.018000","PC Plus Min 1 Tariff","1","2099-12-31 23:59:59.000000","5000","203000000000010278","2015-04-13 22:30:13.206000","","PC Plus Min 1 Tariff","20020","30","30177437"<endrec>
"2015-04-13 23:10:15.115000","203000000000010240","2015-04-13 21:39:23.961000","Super Agency Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010276","2015-04-13 23:10:15.181000","","Super Agency Tariff 1","20055","30","30177438"<endrec>
"2015-04-13 23:15:52.122000","203000000000010240","2015-04-13 21:43:57.267000","Super Agency Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010276","2015-04-13 23:15:52.195000","","Super Agency Tariff 3","20057","30","30177439"<endrec>
"2015-04-13 23:47:15.573000","203000000000010240","2015-04-13 22:20:11.171000","Merchant Tariff 3","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:47:15.640000","","Merchant Tariff 3","20033","30","30177446"<endrec>
