PRODUCT_ID,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               <endrec>
"10000840","810031"<endrec>
"10000858","810011"<endrec>
"10000858","810021"<endrec>
"10000858","810031"<endrec>
"10000858","810542"<endrec>
"10000868","810011"<endrec>
"10000868","810021"<endrec>
"10000868","810031"<endrec>
"10000868","810542"<endrec>
"10000869","810041"<endrec>
"10000869","810062"<endrec>
"10000869","810083"<endrec>
"10000878","810041"<endrec>
"10000878","810062"<endrec>
"10000878","810083"<endrec>
"10000918","810041"<endrec>
"10000918","810062"<endrec>
"10000918","810083"<endrec>
"10000958","810011"<endrec>
"10000958","810021"<endrec>
"10000958","810031"<endrec>
"10000958","810542"<endrec>
"10000959","810011"<endrec>
"10000959","810021"<endrec>
"10000959","810031"<endrec>
"10000959","810542"<endrec>
"10000978","810342"<endrec>
"10000978","810442"<endrec>
"10000998","810011"<endrec>
"10000998","810021"<endrec>
"10000998","810031"<endrec>
"10000998","810542"<endrec>
"10000999","810011"<endrec>
"10000999","810021"<endrec>
"10000999","810031"<endrec>
"10000999","810542"<endrec>
"10001019","810041"<endrec>
"10001019","810062"<endrec>
"10001019","810083"<endrec>
"10001020","810011"<endrec>
"10001020","810021"<endrec>
"10001020","810031"<endrec>
"10001020","810542"<endrec>
"10001021","810041"<endrec>
"10001021","810062"<endrec>
"10001021","810083"<endrec>
"10001030","810041"<endrec>
"10001030","810062"<endrec>
"10001030","810083"<endrec>
"10001031","810021"<endrec>
"10001031","810031"<endrec>
"10001048","810041"<endrec>
"10001048","810062"<endrec>
"10001048","810083"<endrec>
"10001058","810041"<endrec>
"10001058","810062"<endrec>
"10001058","810083"<endrec>
"10001708","810041"<endrec>
"10001708","810062"<endrec>
"10001708","810083"<endrec>
"10001998","810031"<endrec>
"10002000","810041"<endrec>
"10002000","810062"<endrec>
"10002000","810083"<endrec>
"11","810041"<endrec>
"11","810062"<endrec>
"11","810083"<endrec>
"12","810051"<endrec>
"12","810072"<endrec>
"13","810041"<endrec>
"13","810062"<endrec>
"13","810083"<endrec>
"2","810011"<endrec>
"2","810021"<endrec>
"2","810031"<endrec>
"2","810542"<endrec>
"25","810041"<endrec>
"25","810062"<endrec>
"25","810083"<endrec>
"3","800000"<endrec>
"30","810041"<endrec>
"30","810062"<endrec>
"30","810083"<endrec>
"31","810041"<endrec>
"31","810062"<endrec>
"31","810083"<endrec>
"38","810041"<endrec>
"38","810062"<endrec>
"38","810083"<endrec>
"39","810011"<endrec>
"39","810021"<endrec>
"39","810031"<endrec>
"39","810542"<endrec>
"4","810041"<endrec>
"4","810062"<endrec>
"4","810083"<endrec>
"40","810041"<endrec>
"40","810062"<endrec>
"40","810083"<endrec>
"45","810011"<endrec>
"45","810021"<endrec>
"45","810031"<endrec>
"45","810542"<endrec>
"5","810041"<endrec>
"5","810062"<endrec>
"5","810083"<endrec>
"6","810051"<endrec>
"6","810072"<endrec>
"62","810041"<endrec>
"62","810062"<endrec>
"62","810083"<endrec>
"63","810041"<endrec>
"63","810062"<endrec>
"63","810083"<endrec>
"64","810041"<endrec>
"64","810062"<endrec>
"64","810083"<endrec>
"7","810051"<endrec>
"7","810072"<endrec>
"8","810041"<endrec>
"8","810062"<endrec>
"8","810083"<endrec>
"9","810041"<endrec>
"9","810062"<endrec>
"9","810083"<endrec>
