LOAD_DATA_TS,PARAM_CATEGORY_CODE,PARAM_CODE,VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"","-1","ASYN_MODE_FOR_CHARGING_PRE_VALIDATION","1"<endrec>
"","-1","ATM_DEPOSIT_PRODUCTS","8"<endrec>
"","-1","ATM_VOUCHER_TYPE","10000094,10000116,10000117,10000063,10000214,10000217,10000007,10000150,10000216,10000215,10000083,10000001"<endrec>
"","-1","ATM_WITHDRAW_PORDUCT","10000228,8,63"<endrec>
"","-1","ATM_Withdrawal_PRODUCTS","8"<endrec>
"","-1","AUDIT_LOG_QUERY_DEFAULT_DAYS","365"<endrec>
"","-1","AUDIT_LOG_QUERY_MAX_DAYS","365"<endrec>
"","-1","AUTO_ACTIVATE_FSI_AFTER_CREATE_CUSTOMER","N"<endrec>
"","-1","AUTO_RESTORE_CNS","1"<endrec>
"","-1","AUTO_SWEEP_TRANSACTION","21505"<endrec>
"","-1","AUTO_SWITCHING_FOR_NON_LINKED_FSI","1"<endrec>
"","-1","AUTO_SWITCHING_FOR_NO_API_FI","1"<endrec>
"","-1","Auto_Complete_Cancel_Authorized_TransactionsBackup_File_Path","/AutoTxn/Backup"<endrec>
"","-1","Auto_Complete_Cancel_Authorized_Transactions_File_Path","/AutoTxn/Work"<endrec>
"","-1","Auto_Complete_Cancel_Pending_Authorization_Transaction_Backup_Path","/AutoPendingTxn/Backup"<endrec>
"","-1","Auto_Complete_Cancel_Pending_Authorization_Transaction_File_Path","/AutoPendingTxn/Work"<endrec>
"","-1","B2C_Charges_Paid_Account","10016"<endrec>
"","-1","B2C_Working_Account","10012"<endrec>
"","-1","BACKEND_INITIATOR_SP_OPR_NAME","systemdefault"<endrec>
"","-1","BANK_FAILURE_FILE_NOTIFICATION",""<endrec>
"","-1","BANK_FISCAL_CODE",""<endrec>
"","-1","BANK_FISCAL_NAME",""<endrec>
"","-1","BANK_LINKED_ACCOUNT_TYPE","10032,10001,10034"<endrec>
"","-1","BANK_SORT_CODE",""<endrec>
"","-1","BANK_SWITCH_CODE_LIST",""<endrec>
"","-1","BENEFICIARY_MAX_NUMBER","20"<endrec>
"","-1","BENEFICIARY_REFERENCE_MAX_LENGTH","64"<endrec>
"","-1","BOOKING_IMT_RECEIVE_TO_BANK","0"<endrec>
"","-1","BSE_AUTO_SELECT_COUNT","20"<endrec>
"","-1","BSE_FIELD_LIST_FOR_REFERENCE_DATA",""<endrec>
"","-1","BSE_LOCK_VALIDITY","15"<endrec>
"","-1","BSE_MAX_LOCK_COUNT","20"<endrec>
"","-1","BSE_REASON_LIST_FOR_ORGANIZATION_REGISTER",""<endrec>
"","-1","BSE_REASON_LIST_FOR_SP_REGISTER",""<endrec>
"","-1","BULK_B2C_PAYMENT_VALIDATION_KYC","100:103,100:102"<endrec>
"","-1","BULK_FILE_MAX_RECORD","10000"<endrec>
"","-1","BULK_FILE_MAX_SIZE","90000"<endrec>
"","-1","BULK_TRANSFER_TRANS_TYPE","21398"<endrec>
"","-1","BUSIDATA_IMPORT_MEMORY_SIZE","600"<endrec>
"","-1","CALLER_PASSWORD","c4f255c449f93225c3972636828526c8"<endrec>
"","-1","CALLER_USER_NAME","liutianyi"<endrec>
"","-1","CASHUP_AVAILABLE_TRANSACTIONTYPE_LIST","20015,20013,20006,20008,20001,20022,20003"<endrec>
"","-1","CASHUP_INPUTTIME_FORMAT","ddMMyyyyHHmmss"<endrec>
"","-1","CASHUP_INPUTTIME_MAX_RANGE_DAYS","7"<endrec>
"","-1","CHARGE_FOR_PREVALIDATION","1"<endrec>
"","-1","CHARGE_TRANSACTION_FOR_PREVALIDATION","27898"<endrec>
"","-1","CHECKING_BANK_STATEMENT_FLG_FILE","1"<endrec>
"","-1","CHECK_CUSTOMER_INFO_FROM_SAVING_LOAN_SYSTEM",""<endrec>
"","-1","CHECK_REENTRY_OPERATOR","N"<endrec>
"","-1","CHECK_REGION_LEVEL","0"<endrec>
"","-1","CHILD_ORG_KYC_GROUP","1003,300,1004"<endrec>
"","-1","CLAW_BACK_TIME","30"<endrec>
"","-1","CLEAR_CHARGE_PROFILE_BEFORE_DAYS","30"<endrec>
"","-1","CLIENT_CERTIFICATE_SN_SOURCE_AG","0"<endrec>
"","-1","CLIENT_CERTIFICATE_SN_SOURCE_PORTAL","0"<endrec>
"","-1","CNS_CUSTOMER_INITIATOR_NONCONFIRM_THREHOLD","1"<endrec>
"","-1","CNS_CUSTOMER_INITIATOR_SUSPENSION_REASON","0"<endrec>
"","-1","CNS_INITIATOR_FLAG_KYC","1010:111286"<endrec>
"","-1","CNS_MASKING_RULE","3,5"<endrec>
"","-1","CNS_ORG_OP_INITIATOR_NONCONFIRM_THREHOLD","4"<endrec>
"","-1","CNS_ORG_OP_INITIATOR_SUSPENSION_REASON",""<endrec>
"","-1","CNS_RECEIVER_FLAG_KYC","1010:111276"<endrec>
"","-1","CNS_RESTORE_PERIOD","1"<endrec>
"","-1","CNS_SUSPEND_CUSTOMER_IDENTITY","1"<endrec>
"","-1","CNS_SUSPEND_ORG_OP_IDENTITY","1"<endrec>
"","-1","CNS_TRANSACTION_REASON_TYPE","10000110,10000054,10000097"<endrec>
"","-1","CNS_TRANSACTION_TYPE","20006,20009,20020"<endrec>
"","-1","COMMISSION_EXPORTING_LIMITATION","99999"<endrec>
"","-1","COMMON_DORMANT_SCHEDULE",""<endrec>
"","-1","COMPANY_CODE","RO06"<endrec>
"","-1","CONFIGURATION_ITEMS_ROOT_PATH","/ConfigurationItems"<endrec>
"","-1","CONTROL_ACCOUNT_TYPE","10001"<endrec>
"","-1","COUNT_TOTAL_NUMBER_BEFORE_QUERY_TRANSACTIONS","1"<endrec>
"","-1","CPS_IDENTIFY_CONTEXT_PERIOD","10"<endrec>
"","-1","CPS_PAY_SERVICE_CODE","SAAUTO alias"<endrec>
"","-1","CPS_PGP_KEY_ID","8F579FA5"<endrec>
"","-1","CPS_PGP_PASSPHRASE","spDRn12KUHOsNaa8ZpsnJw=="<endrec>
"","-1","CPS_SECURITY_PASSWORD_CRYPT_PBKDF2","1"<endrec>
"","-1","CPS_SECURITY_RANDOM_IV","0"<endrec>
"","-1","CPS_SECURITY_RANDOM_SALT","1"<endrec>
"","-1","CREATE_ACCOUNT_WHEN_CLOSE","Y"<endrec>
"","-1","CTRL_ORG_VIEW_CUSTOMER_MSISDN","1"<endrec>
"","-1","CTRL_ORG_VIEW_CUSTOMER_NAME","0"<endrec>
"","-1","CURRENCY_FOR_CHARGE_PRE_VALIDATION","1"<endrec>
"","-1","CURRENT_ENVIRONMENT","2519"<endrec>
"","-1","CUSTOMER_ACTIVATION_SERVICE_TYPE","10008"<endrec>
"","-1","CUSTOMER_CHANGE_PIN_SERVICE_TYPE","10018"<endrec>
"","-1","CUSTOMER_DEFAULT_ACCOUNT_RULE_PROFILE_ASSIGNMENT","0"<endrec>
"","-1","CUSTOMER_DEFAULT_CHARGE_PROFILE_ASSIGNMENT","1"<endrec>
"","-1","CUSTOMER_DEFAULT_RULE_PROFILE_ASSIGNMENT","1"<endrec>
"","-1","CUSTOMER_FF_MAX_AMOUNT","5"<endrec>
"","-1","CUSTOMER_GET_START_PIN_SERVICE_TYPE","10277"<endrec>
"","-1","CUSTOMER_INACTIVITY_PERIOD","3"<endrec>
"","-1","CUSTOMER_INFREQUENCY_PERIOD","4"<endrec>
