ALLOW_EMPTY,CHANNEL,COMMAND_SCOPE,DATA_FORMAT,DATA_TYPE,DESCRIPTION,ENCRYPTED,PARAM_INVALID_ERROR_CODE,PARAM_MISSING_ERROR_CODE,PARA_CODE,PARA_ID,PARA_ORDER_ID,PARENT_PARA_ID,REQUIRED,REQUIRED_IF,SINCE_VERSION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"false","API","ActivateTill","","String","","false","","","Request","1","0","-1","true","",""<endrec>
"false","API","ActivateTill","","String","","false","","","Language","10","0","9","true","",""<endrec>
"false","STK","117","","String","","false","","","STK","100001","0","-1","true","",""<endrec>
"false","STK","117","","String","","false","","","ICCID","100002","0","100001","false","",""<endrec>
"false","STK","117","","String","","false","","","SIMSpecificKey","100003","0","100001","false","",""<endrec>
"false","STK","117","","String","","false","","","parameter1","100004","0","100001","true","",""<endrec>
"false","STK","117","","String","","false","","","parameter2","100005","0","100001","true","",""<endrec>
"false","STK","117","","String","","false","","","parameter3","100006","0","100001","true","",""<endrec>
"false","STK","117","","String","","false","","","parameter4","100007","0","100001","true","",""<endrec>
"false","STK","117","","String","","false","","","parameter5","100008","0","100001","true","",""<endrec>
"false","STK","117","","String","","false","","","parameter6","100009","0","100001","true","",""<endrec>
"false","SchemaAPI","InitTrans_Send Money","","String","","false","","","Parameter","100082722","1","69795","false","",""<endrec>
"true","SchemaAPI","InitTrans_Send Money","","String","","false","","","InitiatorAccountNo","100082723","0","100082722","false","",""<endrec>
"true","SchemaAPI","InitTrans_Customer Buy Airtime","","String","","false","","","InitiatorAccountNo","100082729","1","69831","false","",""<endrec>
"true","SchemaAPI","InitTrans_AgencyRedistributionOfFloatFunds","","String","","false","","","InitiatorAccountNo","100082731","1","69300","false","",""<endrec>
"false","SchemaAPI","InitTrans_AgencyOrganizationMoveFunds","","String","","false","","","Parameter","100082732","0","69312","false","",""<endrec>
"true","SchemaAPI","InitTrans_AgencyOrganizationMoveFunds","","String","","false","","","PrimaryAccountNo","100082734","1","100082732","false","",""<endrec>
"true","SchemaAPI","InitTrans_AgencyOrganizationMoveFunds","","String","","false","","","ReceiverAccountNo","100082859","1","100082732","false","",""<endrec>
"true","SchemaAPI","InitTrans_AgencyRedistributionOfFloatFunds","","String","","false","","","ReceiverAccountNo","100082860","1","69300","false","",""<endrec>
"true","SchemaAPI","InitTrans_AgencyRedistributionOfFloatFunds","","String","","false","","","PrimaryAccountNo","100082861","1","69300","false","",""<endrec>
"true","SchemaAPI","InitTrans_Customer Buy Airtime","","String","","false","","","PrimaryAccountNo","100082864","1","69831","false","",""<endrec>
"true","SchemaAPI","InitTrans_Customer Buy Airtime","","String","","false","","","ReceiverAccountNo","100082865","1","69831","false","",""<endrec>
"true","SchemaAPI","InitTrans_Send Money","","String","","false","","","ReceiverAccountNo","100082866","5","100082722","false","",""<endrec>
"true","SchemaAPI","InitTrans_Send Money","","String","","false","","","PrimaryAccountNo","100082867","6","100082722","false","",""<endrec>
"false","API","BillConfirmation","","String","","false","","","Request","100082871","0","-1","false","",""<endrec>
"false","API","BillConfirmation","","String","","false","","","ResultDesc","100082872","0","100082871","true","",""<endrec>
"false","API","BillConfirmation","","String","","false","","","ResultCode","100082873","0","100082871","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Request","100082887","0","-1","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Body","100082888","0","100082887","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","UpdateOrgAdvRequest","100082889","0","100082888","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","ShortCode","100082890","0","100082889","false","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Reason","100082891","1","100082889","false","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","UpdateItemList","100082892","2","100082889","false","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","UpdateItem","100082893","0","100082892","false","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","ServiceCode","100082894","0","100082893","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","AdvText","100082895","1","100082893","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Identity","100082896","1","100082888","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Initiator","100082897","0","100082896","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","IdentifierType","100082899","0","100082897","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Identifier","100082901","1","100082897","true","",""<endrec>
"false","APIResult","UpdateOrgAdv","","String","","false","","","Result","100082903","0","-1","true","",""<endrec>
"false","APIResult","UpdateOrgAdv","","String","","false","","","Body","100082904","0","100082903","true","",""<endrec>
"false","APIResult","UpdateOrgAdv","","String","","false","","","UpdateOrgAdvResult","100082905","0","100082904","false","",""<endrec>
"false","APIResult","UpdateOrgAdv","","String","","false","","","BOCompletedTime","100082906","0","100082905","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","ReceiverParty","100082907","1","100082896","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","Identifier","100082908","0","100082907","true","",""<endrec>
"false","SchemaAPI","UpdateOrgAdv","","String","","false","","","IdentifierType","100082909","1","100082907","true","",""<endrec>
