LOAD_DATA_TS,PRODUCT_UNIQUE_ID,PROPERTY_CODE,PROPERTY_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","30084562","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30084563","ORG_IDENTITY_MODEL","3"<endrec>
"","30084563","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30085569","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30085570","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","30085571","ORG_IDENTITY_MODEL","1"<endrec>
"","30085571","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30085572","ORG_IDENTITY_MODEL","0"<endrec>
"","30085572","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30089623","ORG_IDENTITY_MODEL","1"<endrec>
"","30089623","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30089627","ORG_IDENTITY_MODEL","3"<endrec>
"","30089627","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30090621","ORG_IDENTITY_MODEL","0"<endrec>
"","30090621","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30090622","ORG_IDENTITY_MODEL","1"<endrec>
"","30090622","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30094628","ORG_IDENTITY_MODEL","1"<endrec>
"","30094628","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30094629","ORG_IDENTITY_MODEL","0"<endrec>
"","30094629","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30094630","ORG_IDENTITY_MODEL","1"<endrec>
"","30094630","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30094631","ORG_IDENTITY_MODEL","0"<endrec>
"","30094631","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30096637","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30096638","ORG_IDENTITY_MODEL","3"<endrec>
"","30096638","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30099782","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30099782","ORG_IDENTITY_MODEL","3"<endrec>
"","30099782","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30099786","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30099786","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099788","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30099788","ORG_IDENTITY_MODEL","3"<endrec>
"","30099788","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30099792","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30099792","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099793","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30099793","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099794","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30099794","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099798","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30099798","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099823","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30099823","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099827","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099828","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30099828","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30099829","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30099829","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30100640","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30100640","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30100645","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30100645","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30100653","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30100653","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30100674","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30100674","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30100739","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30100739","BILL_REF_NUM_RULE",""<endrec>
"","30100739","ORG_IDENTITY_MODEL","3"<endrec>
"","30100739","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30100740","ORG_IDENTITY_MODEL","1"<endrec>
"","30100740","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30100741","ORG_IDENTITY_MODEL","1"<endrec>
"","30100741","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30101763","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30101763","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
