DEFAULT_VALUE,LANGUAGE,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"19990101","en","BOAction.Receiver.DOB"<endrec>
"VDF","en","BOAction.Receiver.FirstName"<endrec>
"1000.00 USD","en","BOAction.Receiver.IdentityAccountBalance"<endrec>
"8613512345678","en","BOAction.Receiver.IdentityAccountHolderName"<endrec>
"M-pesa account","en","BOAction.Receiver.IdentityAccountTypeName"<endrec>
"13612345678","en","BOAction.Receiver.IdentityMSISDN"<endrec>
"ltd","en","BOAction.Receiver.LastName"<endrec>
"andy","en","BOAction.Receiver.MiddleName"<endrec>
"1234","en","BOAction.Receiver.NewPIN"<endrec>
"123456","en","BOAction.Receiver.OperatorId"<endrec>
"","en","BOAction.Receiver.StaticQR.Code"<endrec>
"","en","BOAction.Receiver.StaticQR.LinkTime"<endrec>
"","en","BOAction.Receiver.StaticQR.Status"<endrec>
"1000000000007910","en","BOAction.Receiver.TillNumber"<endrec>
"13644905457","en","BOAction.Requester.IdentityMSISDN"<endrec>
"perfect","en","BOAction.SecretWord"<endrec>
"VIP group","en","BOAction.SegmentName"<endrec>
"2197","en","BOAction.StartPIN"<endrec>
"Agent HO product","en","BOAction.TillAssignedProduct"<endrec>
"Agent HO product","en","BOAction.TillAssignedProductList"<endrec>
"123456","en","BOAction.TillNumber"<endrec>
"123456","en","BOAction.TillNumberNew"<endrec>
"666666","en","BOAction.TillNumberOld"<endrec>
"Active","en","BOAction.TillStatus"<endrec>
"12","en","BOAction.Transaction.Charge.ChargeDebitParty.AccountBalance"<endrec>
"M-pesa account","en","BOAction.Transaction.Charge.ChargeDebitParty.AccountTypeName"<endrec>
"12","en","BOAction.Transaction.Charge.ChargeDebitParty.ChargeAmount"<endrec>
"Charge Type Name","en","BOAction.Transaction.Charge.ChargeDebitParty.ChargeTypeName"<endrec>
"5.00","en","BOAction.Transaction.Charge.ChargeDebitParty.IdentityID"<endrec>
"1000","en","BOAction.Transaction.Charge.ChargeDebitParty.IdentityType"<endrec>
"12","en","BOAction.Transaction.Tax.TaxDebitParty.AccountBalance"<endrec>
"Account Type Name","en","BOAction.Transaction.Tax.TaxDebitParty.AccountTypeName"<endrec>
"BOAction.Transaction.Tax.TaxDebitParty.IdentityID","en","BOAction.Transaction.Tax.TaxDebitParty.IdentityID"<endrec>
"1000","en","BOAction.Transaction.Tax.TaxDebitParty.IdentityType"<endrec>
"12","en","BOAction.Transaction.Tax.TaxDebitParty.TaxAmount"<endrec>
"Tax Charge Type Name","en","BOAction.Transaction.Tax.TaxDebitParty.TaxChargeTypeName"<endrec>
"TransactionId","en","BOAction.Transaction.TransactionId"<endrec>
"123","en","BOAction.TrustLevel"<endrec>
"123","en","BOAction.TrustLevelName"<endrec>
"11/06/2013","en","BOAction.UnclaimedExpiredDate"<endrec>
"235748523","en","BOAction.Voucher.VoucherCode"<endrec>
"secret word","en","BulkTaskContext.Credential"<endrec>
"David Johnson","en","BulkTaskContext.CusomterMsisdn"<endrec>
"The input PIN do not comply PIN policy.","en","BulkTaskContext.ErrorItem"<endrec>
"DailyPreprocess","en","BulkTaskContext.ExtractType"<endrec>
"10","en","BulkTaskContext.FailedItem"<endrec>
"90090","en","BulkTaskContext.FinishedItem"<endrec>
"VDF Ltd.","en","BulkTaskContext.OrgName"<endrec>
"31/03/2013","en","BulkTaskContext.Plan.TaskType"<endrec>
"15/06/2013","en","BulkTaskContext.StartTransactionDate"<endrec>
"99990","en","BulkTaskContext.SuccessItem"<endrec>
"2012-02-14 15","en","BulkTaskContext.Task.EndTime"<endrec>
"TS28009","en","BulkTaskContext.Task.ErrorCode"<endrec>
"PIN error","en","BulkTaskContext.Task.ErrorMessage"<endrec>
"2013-06-05 12","en","BulkTaskContext.Task.StartTime"<endrec>
"100000","en","BulkTaskContext.TotalItem"<endrec>
"99990","en","BulkTaskContext.ValidItem"<endrec>
"M-pesa","en","Common.Brand"<endrec>
"Customer care","en","Common.CustomerCare"<endrec>
"90","en","Common.DormantUnclaimDays"<endrec>
"Mmf name","en","Common.MMFName"<endrec>
"111111","en","Common.Notification.VerificationCode"<endrec>
"1000000000007910","en","Common.OrderId"<endrec>
"TS28009","en","Common.Result.ErrorCode"<endrec>
"The PIN is incorrect.","en","Common.Result.ErrorMessage"<endrec>
"First name","en","Common.Result.ErrorParameter.Key"<endrec>
"Jerry","en","Common.Result.ErrorParameter.Value"<endrec>
"Completed","en","Common.Result.OrderStatus"<endrec>
"0000000000004006","en","Common.Result.OriginalReceiptNumber"<endrec>
"7","en","Common.SDormantAlertDays"<endrec>
"AccountList","en","ManualNotification.AccountList"<endrec>
"KYCList","en","ManualNotification.KYCList"<endrec>
"8613512345678","en","ManualNotification.MSISDN"<endrec>
"55555","en","ManualNotification.OperatorID"<endrec>
"15320145","en","ManualNotification.ShortCode"<endrec>
"David","en","ManualNotification.UserName"<endrec>
"5.00","en","ProductAllocation.EstimatedTime"<endrec>
"5.00","en","ProductAllocation.OperatorName"<endrec>
"5.00","en","ProductAllocation.PlanName"<endrec>
"5.00","en","ProductAllocation.TotalIdentities"<endrec>
"5.00","en","ProductAllocation.URL"<endrec>
"$9,999.99","en","ServiceAction.AccountActualBalance"<endrec>
"$5,500.00","en","ServiceAction.AccountCurrentBalance"<endrec>
"AccountList","en","ServiceAction.AccountList"<endrec>
"$2,500.00","en","ServiceAction.AccountReservedBalance"<endrec>
"Floting account","en","ServiceAction.AccountTypeAlias"<endrec>
"$1,000.00","en","ServiceAction.AccountUnclearedBalance"<endrec>
"2015/08/08","en","ServiceAction.ActionDate"<endrec>
"perfect","en","ServiceAction.ActiveCustomer.SecretWord"<endrec>
"perfect","en","ServiceAction.ActiveOperator.SecretWord"<endrec>
"666666","en","ServiceAction.ActivedTillNumber"<endrec>
"20130324135011000012","en","ServiceAction.BasicInfo.ActionLogId"<endrec>
"24/03/2013","en","ServiceAction.BasicInfo.RequestDate"<endrec>
"13","en","ServiceAction.BasicInfo.RequestTime"<endrec>
"8613512345678","en","ServiceAction.BasicInfo.StartTime"<endrec>
"2","en","ServiceAction.BrokenLimit.CurrentValue"<endrec>
"5.0","en","ServiceAction.BrokenLimit.LimitPattern"<endrec>
"1","en","ServiceAction.BrokenLimit.LimitRuleId"<endrec>
"R4Q6 test","en","ServiceAction.BrokenLimit.LimitRuleName"<endrec>
"5.00","en","ServiceAction.BrokenLimit.PeriodLength"<endrec>
"1","en","ServiceAction.BrokenLimit.PeriodType"<endrec>
"5.00","en","ServiceAction.BrokenLimit.PeriodUnit"<endrec>
"2","en","ServiceAction.BrokenLimit.ThresholdType"<endrec>
"3","en","ServiceAction.BrokenLimit.ThresholdValue"<endrec>
"ServiceAction.CashUpStatement","en","ServiceAction.CashUpStatement"<endrec>
