LIMIT_OBJECT_ID,LIMIT_RULE_UNIQUE_ID,OBJECT_ID,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"12264000","30004059","20022","2"<endrec>
"12280000","30004093","20004","2"<endrec>
"12281000","30004093","20022","2"<endrec>
"1229000","30004018","20003","2"<endrec>
"12292000","30004097","20004","2"<endrec>
"12293000","30004097","20022","2"<endrec>
"123187000","937376596","20046","2"<endrec>
"123188000","937376596","20048","2"<endrec>
"123189000","937376596","20051","2"<endrec>
"123190000","937376596","20001","2"<endrec>
"123196000","937376657","20006","2"<endrec>
"123197000","937376657","20001","2"<endrec>
"123198000","937376657","20003","2"<endrec>
"123199000","937376657","20027","2"<endrec>
"123221000","937376663","21799","2"<endrec>
"124187000","937377498","20020","2"<endrec>
"124189000","937377507","20020","2"<endrec>
"124192000","937377533","20020","2"<endrec>
"124194000","937377535","20020","2"<endrec>
"125187000","937383555","20006","2"<endrec>
"125188000","937383555","20001","2"<endrec>
"125189000","937383555","20003","2"<endrec>
"125190000","937383555","20027","2"<endrec>
"1253000","30004079","20004","2"<endrec>
"1260000","30004099","20009","2"<endrec>
"1261000","30004099","20010","2"<endrec>
"126187000","937387572","20003","2"<endrec>
"126190000","937281909","20006","2"<endrec>
"126191000","937281909","20008","2"<endrec>
"126192000","937281909","20001","2"<endrec>
"126193000","937281909","20020","2"<endrec>
"126194000","937281909","20027","2"<endrec>
"1262000","30004099","20004","2"<endrec>
"1264000","30004108","20010","2"<endrec>
"1266000","30005003","20006","2"<endrec>
"1268000","30004101","20010","2"<endrec>
"1271000","30004110","20003","2"<endrec>
"127187000","937392595","20006","2"<endrec>
"127188000","937392595","20008","2"<endrec>
"127189000","937392595","20001","2"<endrec>
"127190000","937392595","20020","2"<endrec>
"127191000","937392595","20027","2"<endrec>
"1272000","30004110","20001","2"<endrec>
"127201000","937392655","20004","2"<endrec>
"127202000","937392655","20020","2"<endrec>
"127203000","937392655","20019","2"<endrec>
"127207000","937392656","20004","2"<endrec>
"127208000","937392656","20003","2"<endrec>
"127209000","937392656","20020","2"<endrec>
"127210000","937392656","20019","2"<endrec>
"127215000","937392866","20006","2"<endrec>
"127216000","937392866","20008","2"<endrec>
"127217000","937392866","20999","2"<endrec>
"127218000","937392866","20001","2"<endrec>
"127219000","937392866","20020","2"<endrec>
"127228000","937392869","20999","2"<endrec>
"127229000","937392869","20020","2"<endrec>
"127235000","937392872","20999","2"<endrec>
"127236000","937392872","20020","2"<endrec>
"127242000","937392878","20048","2"<endrec>
"127243000","937392878","20047","2"<endrec>
"127244000","937392878","20052","2"<endrec>
"1275000","30005008","20001","2"<endrec>
"1278000","30005011","20001","2"<endrec>
"1279000","30005011","20003","2"<endrec>
"128187000","937396995","20020","2"<endrec>
"128189000","937396997","20020","2"<endrec>
"128191000","937396998","20019","2"<endrec>
"128193000","937397000","20019","2"<endrec>
"1283000","30005019","20001","2"<endrec>
"1284000","30005019","20003","2"<endrec>
"1288000","30003252","20001","2"<endrec>
"1289000","30003252","20003","2"<endrec>
"129189000","937398930","20019","2"<endrec>
"130187000","937411110","20008","2"<endrec>
"130188000","937411110","21598","2"<endrec>
"130189000","937411110","20001","2"<endrec>
"130190000","937411110","20003","2"<endrec>
"130191000","937411110","20039","2"<endrec>
"1302000","30005047","20001","2"<endrec>
"130200000","937411125","20004","2"<endrec>
"130201000","937411125","20005","2"<endrec>
"1303000","30005047","20013","2"<endrec>
"1304000","30005047","20003","2"<endrec>
"131187000","937412021","20006","2"<endrec>
"131188000","937412021","20051","2"<endrec>
"131189000","937412021","21698","2"<endrec>
"131190000","937412021","21502","2"<endrec>
"131191000","937412021","21800","2"<endrec>
"131192000","937412021","21805","2"<endrec>
"131193000","937412021","20999","2"<endrec>
"131194000","937412021","20001","2"<endrec>
"131195000","937412021","20022","2"<endrec>
"131196000","937412021","20003","2"<endrec>
"131197000","937412021","20798","2"<endrec>
"131198000","937412021","20020","2"<endrec>
"131199000","937412021","20039","2"<endrec>
"13153000","30004069","20004","2"<endrec>
"13154000","30004069","20022","2"<endrec>
"13158000","30004071","20004","2"<endrec>
"13159000","30004071","20022","2"<endrec>
"13163000","30004083","20004","2"<endrec>
"13164000","30004083","20022","2"<endrec>
"13168000","30004085","20004","2"<endrec>
"13169000","30004085","20022","2"<endrec>
"13173000","30004087","20004","2"<endrec>
"13174000","30004087","20022","2"<endrec>
"13178000","30004065","20004","2"<endrec>
"13179000","30004065","20022","2"<endrec>
"13183000","30004056","20004","2"<endrec>
"13184000","30004056","20022","2"<endrec>
"13188000","30004091","20004","2"<endrec>
"13189000","30004091","20022","2"<endrec>
"13192000","30004095","20004","2"<endrec>
"13193000","30004095","20022","2"<endrec>
"132187000","937415172","20008","2"<endrec>
"132188000","937415172","20003","2"<endrec>
"134187000","937420176","20006","2"<endrec>
"134188000","937420176","20008","2"<endrec>
"134189000","937420176","20001","2"<endrec>
"134190000","937420176","20020","2"<endrec>
"134191000","937420176","20039","2"<endrec>
"134192000","937420176","20027","2"<endrec>
"135187000","937418165","20020","2"<endrec>
"135189000","937423148","20020","2"<endrec>
"135191000","937423189","20020","2"<endrec>
"135193000","937423191","20020","2"<endrec>
"136187000","937428234","20020","2"<endrec>
"136189000","937428286","20020","2"<endrec>
"136191000","937428292","23398","2"<endrec>
"136193000","937428294","23398","2"<endrec>
"137187000","937430264","20001","2"<endrec>
"137188000","937430264","20003","2"<endrec>
"138187000","937434142","20022","2"<endrec>
"138188000","937434142","20020","2"<endrec>
"138189000","937434151","21698","2"<endrec>
"138190000","937434151","22800","2"<endrec>
"138192000","937434154","20013","2"<endrec>
"138193000","937434154","20999","2"<endrec>
"138194000","937434154","20001","2"<endrec>
"138195000","937434154","20003","2"<endrec>
"138196000","937434154","22800","2"<endrec>
"138202000","937434158","20013","2"<endrec>
"138203000","937434158","20999","2"<endrec>
"138204000","937434158","20001","2"<endrec>
"138205000","937434158","20003","2"<endrec>
"138206000","937434158","22800","2"<endrec>
"139187000","937436143","20006","2"<endrec>
"139188000","937436143","20008","2"<endrec>
"139189000","937436143","20999","2"<endrec>
"139190000","937436143","20001","2"<endrec>
"139191000","937436143","20020","2"<endrec>
"139202000","937436145","20006","2"<endrec>
"139203000","937436145","20008","2"<endrec>
"139204000","937436145","20999","2"<endrec>
"139205000","937436145","20001","2"<endrec>
"139206000","937436145","20020","2"<endrec>
"140187000","937453273","20006","2"<endrec>
"140188000","937453273","20051","2"<endrec>
"140189000","937453273","21698","2"<endrec>
"140190000","937453273","21502","2"<endrec>
"140191000","937453273","21800","2"<endrec>
"140192000","937453273","21805","2"<endrec>
"140193000","937453273","20999","2"<endrec>
"140194000","937453273","20001","2"<endrec>
"140195000","937453273","20022","2"<endrec>
"140196000","937453273","20003","2"<endrec>
"140197000","937453273","20798","2"<endrec>
"140198000","937453273","20020","2"<endrec>
"140199000","937453273","20039","2"<endrec>
"141187000","937456328","20013","2"<endrec>
"141188000","937456328","20999","2"<endrec>
"141189000","937456328","20001","2"<endrec>
"141190000","937456328","20003","2"<endrec>
"141191000","937456328","22800","2"<endrec>
"141200000","937456348","20051","2"<endrec>
"141201000","937456348","21799","2"<endrec>
"141202000","937456348","21800","2"<endrec>
"141203000","937456348","21805","2"<endrec>
"14159000","30071515","20041","2"<endrec>
"142187000","937459323","21598","2"<endrec>
"142188000","937459323","20020","2"<endrec>
"142193000","937459327","20004","2"<endrec>
"142194000","937459327","20020","2"<endrec>
"142196000","937459328","20001","2"<endrec>
"142197000","937459328","20020","2"<endrec>
"142199000","937459391","20006","2"<endrec>
"142200000","937459391","20008","2"<endrec>
"142201000","937459391","20022","2"<endrec>
"142202000","937459391","20003","2"<endrec>
"142203000","937459391","20039","2"<endrec>
"142209000","937459394","21505","2"<endrec>
"142210000","937459394","20006","2"<endrec>
"142211000","937459394","21598","2"<endrec>
"142212000","937459394","21698","2"<endrec>
"142213000","937459394","20001","2"<endrec>
"142214000","937459394","20003","2"<endrec>
"142215000","937459394","20039","2"<endrec>
"142224000","937459396","20001","2"<endrec>
"142225000","937459396","20039","2"<endrec>
"143192000","937460317","22299","2"<endrec>
"143193000","937460317","20006","2"<endrec>
"143194000","937460317","21502","2"<endrec>
"143197000","937460361","20008","2"<endrec>
"143198000","937460361","20003","2"<endrec>
"144187000","937461324","20006","2"<endrec>
"144189000","937461363","22299","2"<endrec>
"144190000","937461363","20006","2"<endrec>
"144191000","937461363","21502","2"<endrec>
"144195000","937235565","20006","2"<endrec>
"144198000","937461383","20070","2"<endrec>
"144199000","937461383","20006","2"<endrec>
"144200000","937461383","22298","2"<endrec>
"144201000","937461383","21502","2"<endrec>
"144202000","937461383","22398","2"<endrec>
"144203000","937461383","20020","2"<endrec>
"144211000","937461399","20020","2"<endrec>
"144212000","937461422","20006","2"<endrec>
"144214000","937461424","20006","2"<endrec>
"144216000","937461426","20006","2"<endrec>
"144218000","937461429","20006","2"<endrec>
"144220000","937461439","21505","2"<endrec>
"144221000","937461439","20006","2"<endrec>
"144222000","937461439","21598","2"<endrec>
"144223000","937461439","21698","2"<endrec>
"144224000","937461439","20001","2"<endrec>
"144225000","937461439","20003","2"<endrec>
"144226000","937461439","20039","2"<endrec>
"145187000","937462323","23398","2"<endrec>
"145190000","937462345","21805","2"<endrec>
"145192000","937462377","21505","2"<endrec>
"145193000","937462377","20006","2"<endrec>
"145194000","937462377","21598","2"<endrec>
"145195000","937462377","21698","2"<endrec>
