MAPPING_CATEGORY,MAPPING_DIRECTION,MAPPING_ID,MODIFY_FLAG,MSG_TYPE,SOURCE_TYPE,SOURCE_VALUE,TARGET_TYPE,TARGET_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"04","02","19017","1","","01","TP40006","01","E0"<endrec>
"04","02","19018","1","","01","TP40007","01","E0"<endrec>
"04","02","19019","1","","01","TP40008","01","E0"<endrec>
"04","02","19020","1","","01","TP40009","01","E0"<endrec>
"04","02","19021","1","","01","TP40010","01","E0"<endrec>
"04","02","19022","1","","01","TP40011","01","E0"<endrec>
"04","02","19023","1","","01","TP40012","01","E0"<endrec>
"04","02","19024","1","","01","TP40013","01","E0"<endrec>
"04","02","19025","1","","01","TP40014","01","E4"<endrec>
"04","02","19026","1","","01","TP40015","01","E4"<endrec>
"04","02","19027","1","","01","TP40016","01","E4"<endrec>
"04","02","19028","1","","01","TP40017","01","E4"<endrec>
"04","02","19029","1","","01","TP40018","01","E4"<endrec>
"04","02","19030","1","","01","TP40019","01","E4"<endrec>
"04","02","19031","1","","01","TP40020","01","E1"<endrec>
"04","02","19032","1","","01","TP40021","01","E1"<endrec>
"04","02","19033","1","","01","TP40022","01","E1"<endrec>
"04","02","19034","1","","01","TP40023","01","E1"<endrec>
"04","02","19035","1","","01","TP40024","01","E1"<endrec>
"04","02","19036","1","","01","TP40025","01","E0"<endrec>
"04","02","19037","1","","01","TP40026","01","E1"<endrec>
"04","02","19038","1","","01","TP40027","01","E1"<endrec>
"04","02","19039","1","","01","TP40028","01","E1"<endrec>
"04","02","19040","1","","01","TP40029","01","E1"<endrec>
"04","02","19041","1","","01","TP40030","01","E1"<endrec>
"04","02","19042","1","","01","TP40031","01","E1"<endrec>
"04","02","19043","1","","01","TP40032","01","E1"<endrec>
"04","02","19044","1","","01","TP40033","01","E1"<endrec>
"04","02","19045","1","","01","TP40034","01","E1"<endrec>
"04","02","19046","1","","01","TP40035","01","E1"<endrec>
"04","02","19047","1","","01","TP40036","01","E1"<endrec>
"04","02","19048","1","","01","TP40037","01","E1"<endrec>
"04","02","19049","1","","01","TP40038","01","E1"<endrec>
"04","02","19050","1","","01","TP40039","01","E1"<endrec>
"04","02","19051","1","","01","TP40040","01","E1"<endrec>
"04","02","19052","1","","01","TP40041","01","E1"<endrec>
"04","02","19053","1","","01","TP40046","01","E1"<endrec>
"04","02","19054","1","","01","TP40047","01","E1"<endrec>
"04","02","19055","1","","01","TP40048","01","E1"<endrec>
"04","02","19056","1","","01","TP40049","01","E1"<endrec>
"04","02","19057","1","","01","TP40050","01","E1"<endrec>
"04","02","19058","1","","01","TP40051","01","E1"<endrec>
"04","02","19059","1","","01","TP40052","01","E1"<endrec>
"04","02","19060","1","","01","TP40053","01","E1"<endrec>
"04","02","19061","1","","01","TP40054","01","E1"<endrec>
"04","02","19062","1","","01","TP40055","01","E1"<endrec>
"04","02","19063","1","","01","TP40056","01","E1"<endrec>
"04","02","19064","1","","01","TP40057","01","E1"<endrec>
"04","02","19065","1","","01","TP40058","01","E1"<endrec>
"04","02","19066","1","","01","TP40071","01","E1"<endrec>
"04","02","19067","1","","01","TP40087","01","E1"<endrec>
"04","02","19068","1","","01","TP40089","01","E2"<endrec>
"04","02","19069","1","","01","TP40090","01","E2"<endrec>
"04","02","19070","1","","01","TP40091","01","E2"<endrec>
"04","02","19071","1","","01","TP40096","01","E2"<endrec>
