AUTO_WF_SWITCH,CREATE_OPER_ID,CREATE_OPER_TIME,END_TIME,INTERVAL_TYPE,INTERVAL_VALUE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,MANUAL_WF_SWITCH,NOTIFICATION_ORG_ROLE,NOTIFICATION_SP_ROLE,NOTIFICATION_TYPE,PERIODIC_SWITCH,SETTLEMENT_PROFILE_DESC,SETTLEMENT_PROFILE_ID,SETTLEMENT_PROFILE_NAME,SP_NOTIFICATION_TYPE,START_TIME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"0","203000000000010164","2014-11-24 16:22:39.057000","","","","203000000200002131","2015-05-01 23:48:27.118000","","1","500000000000010052","0","107000000000028033","0","Utility And Merchant Account Maximun Balance - Pay Bill And Merchant","123","Utility And Merchant Account Maximun Balance - Pay Bill And Merchant","0","","50","30130078"<endrec>
"0","203000000000010289","2015-04-15 21:35:18.685000","","","","203000000000010276","2015-04-15 22:51:35.774000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30178488"<endrec>
"0","203000000000010276","2015-04-15 22:51:27.386000","","","","203000000000010276","2015-04-16 16:24:46.623000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30178492"<endrec>
"0","203000000000010276","2015-04-16 16:24:39.397000","","","","203000000000010392","2015-04-21 02:31:09.537000","","1","500000000000010135","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","30178503"<endrec>
"0","203000000000010392","2015-04-21 02:29:47.138000","","","","203000000200002131","2015-05-01 23:48:20.500000","","1","500000000000010052","0","107000000000028033","0","Utility Account Maximun Balance - Pay Bill","106","Utility Account Maximun Balance - Pay Bill","0","","50","937125874"<endrec>
"0","203000000000010392","2015-04-21 02:30:59.532000","","","","203000000200002131","2015-05-01 23:50:36.912000","","1","500000000000010220","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","937125875"<endrec>
"0","203000000000010392","2015-04-21 02:31:45.737000","","","","203000000200002131","2015-05-01 23:24:12.868000","","1","500000000000010220","0","107000000000031032","0","M-Kesho Settlement","120","M-Kesho Settlement","0","","50","937125876"<endrec>
"0","203000000200002131","2015-05-01 23:14:01.134000","","","","203000000000013022","2016-04-26 03:43:30.248000","","0","500000000000010052","0","107000000000028033","0","Charges Paid Trigger Balance - Merchant","107","Charges Paid Trigger Balance - Merchant","0","","50","937131878"<endrec>
"0","203000000200002131","2015-05-01 23:14:42.940000","","","","203000000000013022","2016-04-26 04:29:13.683000","","0","500000000000010052","0","107000000000028033","0","Charges Paid Trigger Balance - Pay Bill","105","Charges Paid Trigger Balance - Pay Bill","0","","50","937131879"<endrec>
"0","203000000200002131","2015-05-01 23:15:02.629000","","","","203000000000013022","2016-04-26 04:32:31.893000","","0","500000000000010052","0","107000000000028033","0","Charges Paid Trigger Balance - Pay BillMerchant","117","Charges Paid Trigger Balance - Pay Bill And Merchant","0","","50","937131880"<endrec>
"0","203000000200002131","2015-05-01 23:15:18.644000","","1","1","203000000000013022","2016-04-26 04:40:26.299000","","0","500000000000010052","0","107000000000028033","1","Daily Settlement - Merchant","108","Daily Settlement - Merchant","0","","50","937131881"<endrec>
"0","203000000200002131","2015-05-01 23:15:34.041000","","1","1","203000000000013022","2016-04-26 04:45:40.495000","","0","500000000000010052","0","107000000000028033","1","Daily Settlement - Pay Bill","101","Daily Settlement - Pay Bill","0","","50","937131882"<endrec>
"0","203000000200002131","2015-05-01 23:15:48.440000","","1","1","203000000000013022","2016-04-26 04:45:51.276000","","0","500000000000010052","0","107000000000028033","1","Daily Settlement - Pay BillMerchant","113","Daily Settlement - Pay Bill and Merchant","0","","50","937131883"<endrec>
"0","203000000200002131","2015-05-01 23:16:02.275000","","","","203000000200002131","2015-05-01 23:50:13.669000","","1","500000000000010220","0","107000000000031032","0","M-Kesho Settlement","120","M-Kesho Settlement","0","","50","937131884"<endrec>
"0","203000000200002131","2015-05-01 23:43:19.701000","","","","203000000000013022","2016-04-26 04:55:15.695000","","0","500000000000010220","0","107000000000031032","0","M-Kesho Settlement","120","M-Kesho Settlement","0","","50","937133890"<endrec>
"0","203000000200002131","2015-05-01 23:43:34.310000","","","","203000000000013022","2016-04-26 05:01:14.818000","","0","500000000000010220","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","937133891"<endrec>
"0","203000000200002131","2015-05-01 23:43:48.423000","","","","203000000000013022","2016-04-26 05:06:06.386000","","0","500000000000010052","0","107000000000028033","0","Merchant Account Maximun Balance - Merchant","110","Merchant Account Maximun Balance - Merchant","0","","50","937133892"<endrec>
"0","203000000200002131","2015-05-01 23:44:02.102000","","","","203000000000013022","2016-04-26 05:09:48.060000","","0","500000000000010052","0","107000000000028033","0","Merchant Trigger Balance - Merchant","111","Merchant Trigger Balance - Merchant","0","","50","937133893"<endrec>
