IS_DEFAULT_REASON,LOAD_DATA_TS,REASON_INDEX,SERVICE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"false","2018-11-28 09:51:18.000000","10000025","937548807"<endrec>
"false","2018-11-29 08:31:54.000000","10000025","937548839"<endrec>
"false","2018-12-06 02:20:33.000000","10000025","937551741"<endrec>
"false","2019-03-01 13:03:37.000000","10000025","937583813"<endrec>
"false","","10000026","20337"<endrec>
"false","","10000026","30003053"<endrec>
"false","","10000026","30015456"<endrec>
"false","","10000026","937178590"<endrec>
"false","","10000026","937235543"<endrec>
"false","","10000026","937235544"<endrec>
"false","","10000026","937381563"<endrec>
"false","","10000026","937387577"<endrec>
"false","","10000026","937462451"<endrec>
"false","","10000026","937464405"<endrec>
"false","","10000026","937464407"<endrec>
"false","","10000026","937468752"<endrec>
"false","","10000026","937469542"<endrec>
"false","","10000027","20337"<endrec>
"false","","10000027","30003000"<endrec>
"false","","10000027","30003009"<endrec>
"false","","10000027","30015440"<endrec>
"false","","10000027","937147107"<endrec>
"false","","10000027","937178592"<endrec>
"false","","10000027","937360011"<endrec>
"false","","10000027","937360014"<endrec>
"false","","10000027","937360042"<endrec>
"false","","10000027","937382555"<endrec>
"true","","10000027","937382559"<endrec>
"false","","10000027","937383563"<endrec>
"false","","10000027","937392610"<endrec>
"false","","10000027","937395928"<endrec>
"true","","10000027","937415244"<endrec>
"false","","10000027","937421167"<endrec>
"true","","10000027","937422157"<endrec>
"true","","10000027","937428200"<endrec>
"true","","10000027","937428201"<endrec>
"false","","10000027","937428209"<endrec>
"false","","10000027","937460314"<endrec>
"false","","10000027","937462553"<endrec>
"false","","10000027","937462573"<endrec>
"false","","10000027","937462574"<endrec>
"false","","10000027","937462577"<endrec>
"true","","10000027","937467562"<endrec>
"false","2018-09-21 12:14:21.000000","10000027","937532894"<endrec>
"false","2018-10-22 10:39:58.000000","10000027","937539800"<endrec>
"false","2018-10-25 13:02:02.000000","10000027","937539846"<endrec>
"true","2019-03-12 16:45:10.000000","10000027","937585799"<endrec>
"false","2019-03-15 10:28:20.000000","10000027","937585852"<endrec>
"false","2019-03-28 11:11:12.000000","10000027","937593775"<endrec>
"true","2019-05-01 16:31:44.000000","10000027","937601767"<endrec>
"false","","10000028","20337"<endrec>
"false","","10000028","30003043"<endrec>
"false","","10000028","937178586"<endrec>
"false","","10000028","937178688"<endrec>
"false","","10000028","937183471"<endrec>
"false","","10000028","937244790"<endrec>
"false","","10000028","937251697"<endrec>
"false","","10000028","937365088"<endrec>
"false","","10000028","937384559"<endrec>
"false","","10000028","937386566"<endrec>
"false","","10000028","937388569"<endrec>
"false","","10000028","937388573"<endrec>
"false","","10000028","937396953"<endrec>
"false","","10000028","937413057"<endrec>
"false","","10000028","937413060"<endrec>
"false","","10000028","937462458"<endrec>
"false","","10000028","937464408"<endrec>
"false","","10000028","937469538"<endrec>
"false","","10000028","937469539"<endrec>
"false","","10000028","937489615"<endrec>
"false","","10000028","937509785"<endrec>
"false","2019-03-28 15:15:50.000000","10000028","937594763"<endrec>
"false","","10000029","20337"<endrec>
"false","","10000029","30003080"<endrec>
"false","","10000029","937178591"<endrec>
"false","","10000030","20337"<endrec>
"false","","10000030","30003053"<endrec>
"false","","10000030","30015456"<endrec>
"false","","10000030","937178590"<endrec>
"false","","10000030","937235543"<endrec>
"false","","10000030","937235544"<endrec>
"false","","10000030","937381563"<endrec>
"false","","10000030","937387577"<endrec>
"false","","10000030","937462451"<endrec>
"false","","10000030","937464405"<endrec>
"false","","10000030","937464407"<endrec>
"false","","10000030","937468752"<endrec>
"false","","10000031","20337"<endrec>
"true","","10000031","30003077"<endrec>
"true","","10000031","937178595"<endrec>
"false","","10000032","20337"<endrec>
"false","","10000032","30003045"<endrec>
"false","","10000032","30015454"<endrec>
"false","","10000032","937178593"<endrec>
"false","","10000032","937380545"<endrec>
"false","","10000032","937396945"<endrec>
"false","","10000032","937397009"<endrec>
"false","","10000032","937415244"<endrec>
"false","","10000032","937423217"<endrec>
"false","","10000032","937467562"<endrec>
"false","","10000033","20337"<endrec>
"false","","10000033","30003043"<endrec>
"false","","10000033","937178586"<endrec>
"false","","10000033","937178688"<endrec>
"false","","10000033","937183471"<endrec>
"false","","10000033","937244790"<endrec>
"false","","10000033","937251697"<endrec>
"false","","10000033","937365088"<endrec>
"false","","10000033","937384559"<endrec>
"false","","10000033","937396953"<endrec>
"false","","10000033","937413057"<endrec>
"false","","10000033","937413060"<endrec>
"false","","10000034","20337"<endrec>
"true","","10000034","30003084"<endrec>
"true","","10000034","937178501"<endrec>
"true","","10000034","937178603"<endrec>
"true","2018-10-18 08:27:17.000000","10000034","937539725"<endrec>
"false","","10000035","20337"<endrec>
"false","","10000035","30003051"<endrec>
"false","","10000035","30015447"<endrec>
"false","","10000035","937178587"<endrec>
"false","","10000035","937178602"<endrec>
"false","","10000035","937381595"<endrec>
"false","","10000035","937464366"<endrec>
"false","","10000035","937464367"<endrec>
"false","","10000035","937469543"<endrec>
"false","2018-10-16 08:14:54.000000","10000035","937537783"<endrec>
"false","2018-10-16 08:40:24.000000","10000035","937537791"<endrec>
"false","","10000036","20337"<endrec>
"false","","10000036","30003083"<endrec>
"false","","10000036","937178500"<endrec>
"false","","10000037","937184536"<endrec>
"false","","10000037","937498779"<endrec>
"false","","10000038","20321"<endrec>
"true","","10000039","30116924"<endrec>
"false","","10000039","937359065"<endrec>
"false","","10000039","937410032"<endrec>
"false","","10000040","30116923"<endrec>
"false","","10000040","937359065"<endrec>
"false","","10000040","937410032"<endrec>
"true","","10000042","30129106"<endrec>
"false","","10000042","937359065"<endrec>
"false","","10000042","937410032"<endrec>
"true","","10000043","30129107"<endrec>
"false","","10000043","937359065"<endrec>
"false","","10000043","937410032"<endrec>
"false","","10000044","20320"<endrec>
"false","","10000044","937184535"<endrec>
"false","","10000044","937349913"<endrec>
"false","","10000044","937418121"<endrec>
"false","","10000045","20322"<endrec>
"false","","10000045","937401929"<endrec>
"false","","10000045","937401930"<endrec>
"false","","10000045","937401932"<endrec>
"true","","10000046","20322"<endrec>
"true","","10000046","937401929"<endrec>
"false","","10000046","937401930"<endrec>
"true","","10000046","937401932"<endrec>
"false","","10000049","20326"<endrec>
"false","","10000049","30114895"<endrec>
"false","","10000049","937309880"<endrec>
"false","","10000050","20321"<endrec>
"false","","10000051","20324"<endrec>
"false","","10000051","937163190"<endrec>
"false","","10000051","937408029"<endrec>
"false","","10000051","937420159"<endrec>
"false","","10000051","937434146"<endrec>
"false","","10000051","937436139"<endrec>
"false","","10000051","937436140"<endrec>
"false","","10000051","937456334"<endrec>
"false","","10000051","937470648"<endrec>
"false","","10000051","937471545"<endrec>
"false","2018-11-15 08:14:32.000000","10000051","937544815"<endrec>
"false","2018-11-15 09:33:27.000000","10000051","937544824"<endrec>
"false","2018-11-19 04:31:16.000000","10000051","937544876"<endrec>
"false","2018-11-19 09:19:12.000000","10000051","937545732"<endrec>
"false","2018-11-20 09:46:19.000000","10000051","937547730"<endrec>
"true","2018-11-20 09:55:57.000000","10000051","937547731"<endrec>
"false","2018-11-21 07:22:59.000000","10000051","937547754"<endrec>
"true","2018-11-21 07:24:36.000000","10000051","937547757"<endrec>
"false","2018-11-21 07:30:09.000000","10000051","937547758"<endrec>
"false","2019-01-03 12:47:21.000000","10000051","937566823"<endrec>
"true","2019-01-21 10:20:30.000000","10000051","937569728"<endrec>
"false","","10000053","20320"<endrec>
"false","","10000053","937184535"<endrec>
"false","","10000053","937349913"<endrec>
"false","","10000054","20324"<endrec>
"false","","10000054","937163190"<endrec>
"false","","10000054","937408029"<endrec>
"false","","10000054","937420159"<endrec>
"false","","10000054","937434146"<endrec>
"false","","10000054","937436139"<endrec>
"false","","10000054","937436140"<endrec>
"false","","10000054","937456334"<endrec>
"false","","10000054","937470648"<endrec>
"false","","10000054","937471545"<endrec>
"false","2018-11-15 08:14:32.000000","10000054","937544815"<endrec>
"false","2018-11-15 09:33:27.000000","10000054","937544824"<endrec>
"false","2018-11-15 10:04:01.000000","10000054","937544829"<endrec>
"false","2018-11-19 04:30:10.000000","10000054","937544875"<endrec>
"false","2018-11-19 04:31:16.000000","10000054","937544876"<endrec>
"false","2018-11-19 06:46:13.000000","10000054","937544880"<endrec>
"false","2018-11-19 08:04:50.000000","10000054","937545725"<endrec>
"false","2018-11-19 09:19:12.000000","10000054","937545732"<endrec>
"false","2018-11-20 09:46:19.000000","10000054","937547730"<endrec>
"false","2018-11-20 09:55:57.000000","10000054","937547731"<endrec>
"false","2018-11-21 07:22:59.000000","10000054","937547754"<endrec>
"false","2018-11-21 07:24:36.000000","10000054","937547757"<endrec>
"false","2018-11-21 07:30:09.000000","10000054","937547758"<endrec>
"false","2019-01-03 12:47:21.000000","10000054","937566823"<endrec>
"false","2019-01-21 10:20:30.000000","10000054","937569728"<endrec>
"false","","10000055","20347"<endrec>
"false","","10000055","937381568"<endrec>
"false","","10000056","20315"<endrec>
"false","","10000056","30004042"<endrec>
"false","","10000056","30004043"<endrec>
"false","","10000056","30004082"<endrec>
"false","","10000056","30100751"<endrec>
"false","","10000056","30101759"<endrec>
"false","","10000056","937150100"<endrec>
"false","","10000056","937175383"<endrec>
"false","","10000056","937178423"<endrec>
"false","","10000056","937178433"<endrec>
"false","","10000056","937178434"<endrec>
"false","","10000056","937178548"<endrec>
"false","","10000056","937340878"<endrec>
"false","","10000057","20315"<endrec>
"false","","10000057","30004042"<endrec>
"false","","10000057","30004043"<endrec>
"false","","10000057","30004082"<endrec>
"false","","10000057","30100751"<endrec>
"false","","10000057","30101759"<endrec>
"false","","10000057","937150100"<endrec>
"false","","10000057","937175383"<endrec>
"false","","10000057","937178423"<endrec>
"false","","10000057","937178433"<endrec>
"false","","10000057","937178434"<endrec>
"false","","10000057","937315865"<endrec>
"false","","10000057","937340878"<endrec>
"false","","10000057","937340881"<endrec>
"false","","10000057","937366333"<endrec>
"false","","10000057","937375483"<endrec>
"false","","10000057","937389587"<endrec>
