ALIAS,BUSINESS_SCOPE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,REASON_SELECTION_MODE,RECEIVER_TYPES,SERVICE_INDEX,SERVICE_NAME,STATUS,TXN_INDEX,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"Financial Reversal","2","203000000000010002","2014-03-21 12:28:18.129000","Financial Reversal","203000000000010002","2014-03-21 16:19:10.384000","","0","","10044","Financial Reversal","30","20027","20374"<endrec>
"TransactionReversal","2","203000000000010002","2014-03-21 12:29:23.790000","Transaction Reversal","203000000000021013","2017-05-22 08:09:41.328000","","0","","10045","Transaction Reversal","50","20027","20375"<endrec>
"M-PESA Internal Reversal","2","203000000000010002","2014-03-21 12:31:06.782000","M-PESA Internal Reversal","203000000000010002","2014-03-21 16:19:09.258000","","0","","10046","M-PESA Internal Reversal","30","20015","20376"<endrec>
"Organization To M-PESA Deposit Reversal","2","203000000000010002","2014-03-21 15:05:32.761000","Organization To M-PESA Deposit Reversal","203000000000020211","2017-03-23 10:33:44.061000","","0","","10047","Organization To M-PESA Deposit Reversal","60","20003","20380"<endrec>
"Business Payment To Customer","2","203000000000010005","2014-03-24 05:19:06.419000","Business Payment To Customer","203000000000010005","2014-03-24 05:38:41.141000","","0","","10031","Business Payment To Customer","50","20004","30003000"<endrec>
"Business Payment To Customer","2","203000000000010005","2014-03-24 05:38:33.265000","Business Payment To Customer","203000000000010002","2014-04-09 16:24:21.389000","","0","","10031","Business Payment To Customer","50","20004","30003009"<endrec>
"SalaryPayment","2","203000000000010005","2014-03-24 07:28:34.942000","Salary Payment To Customer","203000000000013608","2016-01-05 08:44:24.286000","","0","","10049","Salary Payment To Customer","50","20004","30003043"<endrec>
"Business Payment To Customer Withdrawal Charge Paid","2","203000000000010005","2014-03-24 07:30:07.670000","Business Payment To Customer Withdrawal Charge Paid","203000000000010002","2014-04-09 16:30:04.081000","","0","","10050","Business Payment To Customer Withdrawal Charge Paid","50","20004","30003045"<endrec>
"Salary Payment To Customer Withdrawal Charge Paid","2","203000000000010005","2014-03-24 07:36:55.763000","Salary Payment To Customer Withdrawal Charge Paid","203000000000010002","2014-04-09 16:30:05.151000","","0","","10051","Salary Payment To Customer Withdrawal Charge Paid","50","20004","30003051"<endrec>
"Promotion Payment To Customer","2","203000000000010005","2014-03-24 07:38:02.957000","Promotion Payment To Customer","203000000000010002","2014-04-09 16:34:21.086000","","0","","10052","Promotion Payment To Customer","50","20004","30003053"<endrec>
"Transfer From Bank To Customer","2","203000000000010005","2014-03-24 07:39:48.873000","Transfer From Bank To Customer","203000000000010002","2014-04-12 14:13:01.123000","","0","","10053","Transfer From Bank To Customer","50","20004","30003054"<endrec>
"Pay Dividend","2","203000000000010005","2014-03-24 07:41:00.405000","Pay Dividend","203000000000020211","2017-04-25 10:50:29.335000","","0","","10054","Pay Dividend","50","20004","30003055"<endrec>
"[Web]Business Payment To Customer","2","203000000000010005","2014-03-24 08:18:10.415000","[Web]Business Payment To Customer","203000000000010809","2015-08-12 13:10:20.161000","","0","","10055","[Web]Business Payment To Customer","50","20022","30003074"<endrec>
"[web]Business Payment To Customer Withdrawal Charge Paid","2","203000000000010005","2014-03-24 08:19:42.849000","[web]Business Payment To Customer Withdrawal Charge Paid","203000000000013608","2016-01-05 09:37:18.924000","","0","","10056","[web]Business Payment To Customer Withdrawal Charge Paid","50","20022","30003077"<endrec>
"[Web]Promotion Payment To Customer","2","203000000000010005","2014-03-24 08:22:00.838000","[Web]Promotion Payment To Customer","203000000000013608","2016-01-05 09:35:28.769000","","0","","10057","[Web]Promotion Payment To Customer","50","20022","30003080"<endrec>
"[Web]Salary Payment To Customer","2","203000000000010005","2014-03-24 08:23:12.036000","[Web]Salary Payment To Customer","203000000000013608","2015-12-29 11:48:57.139000","","0","","10058","[Web]Salary Payment To Customer","50","20022","30003083"<endrec>
"[Web]Salary Payment To Customer Withdrawal Charge Paid","2","203000000000010005","2014-03-24 08:23:55.289000","[Web]Salary Payment To Customer Withdrawal Charge Paid","203000000000013608","2015-12-29 11:49:44.781000","","0","","10059","[Web]Salary Payment To Customer Withdrawal Charge Paid","50","20022","30003084"<endrec>
"[Web]Transfer From Bank To Customer","2","203000000000010005","2014-03-24 08:25:03.358000","[Web]Transfer From Bank To Customer","203000000000010005","2014-03-24 08:25:49.382000","","0","","10060","[Web]Transfer From Bank To Customer","30","20022","30003086"<endrec>
"Send Money","2","203000000000010002","2014-03-26 04:39:47.964000","Send Money","203000000000010805","2015-10-08 14:14:05.208000","","0","","10010","Send Money","50","20020","30004027"<endrec>
"Customer Pay Bill","2","203000000000010002","2014-03-26 05:28:29.650000","Customer Pay Bill","203000000000010002","2014-03-26 05:32:05.324000","","0","","10013","Customer Pay Bill","50","20009","30004042"<endrec>
"Customer Pay Bill","2","203000000000010002","2014-03-26 05:31:54.783000","Customer Pay Bill","203000000000010002","2014-03-26 07:49:55.287000","","0","","10013","Customer Pay Bill","50","20009","30004043"<endrec>
"CustomerPayMerchant","2","203000000000010002","2014-03-26 07:49:26.168000","Customer Pay Merchant","203000000000010133","2014-10-09 11:40:34.210000","","0","","10014","Customer Pay Merchant","50","20010","30004080"<endrec>
"Customer Pay Bill","2","203000000000010002","2014-03-26 07:49:47.714000","Customer Pay Bill","203000000000010063","2014-10-08 16:30:01.220000","","0","","10013","Customer Pay Bill","50","20009","30004082"<endrec>
"Pay Dividend","2","203000000000010002","2014-03-26 10:46:35.767000","Pay Dividend","203000000000020211","2017-04-25 10:50:53.263000","","0","","10054","Pay Dividend","50","20004","30005013"<endrec>
"Pay Dividend","2","203000000000010002","2014-03-26 10:49:41.089000","Pay Dividend","203000000000020211","2017-04-25 10:51:19.224000","","0","","10054","Pay Dividend","50","20022","30005016"<endrec>
"Organization Withdrawal From M-PESA","2","203000000000010002","2014-03-27 04:18:11.903000","Organization Withdrawal From M-PESA","203000000000010002","2014-04-10 15:18:40.573000","","1","","10043","Organization Withdrawal From M-PESA","50","20013","30005039"<endrec>
"Customer Care Handset - Manage Identity","3","203000000000010002","2014-03-28 08:08:23.482000","Customer Care Handset - Manage Identity","203000000000010005","2014-04-18 19:43:58.287000","","1","","10061","Customer Care Handset - Manage Identity","50","27","30007004"<endrec>
