CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,END_DIGIT,ENTIRE_OR_NOT,EXTRA_1,EXTRA_10,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7,EXTRA_8,EXTRA_9,FOR_TXN_INDEX,IS_OTHER_VOUCHER,IS_VALUE_LINKED,LAST_OPER_ID,LAST_OPER_TIME,LINKED_VALUE_TYPE,LOAD_DATA_TS,MAX_ACTIVE_COUNT,NEED_KYC_INFO,REDEEMING_ORG_HIER_TYPE,REDEEMING_ORG_SHORT_CODE,START_DIGIT,STATUS,SUPPORT_SECRET_CODE,UNIQUE_ID,VALIDITY_PERIOD_DAY,VALIDITY_PERIOD_HOUR,VALIDITY_PERIOD_MINUTE,VALID_FIELD,VALID_FIELD_DATA,VALUE_CHECK_MODE,VOUCHER_CODE_FORMAT,VOUCHER_TYPE_ALIAS,VOUCHER_TYPE_INDEX,VOUCHER_TYPE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                               <endrec>
"203000000000011204","2015-09-21 14:28:05.602000","Paynet ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","","FALSE","203000000000010811","2015-10-28 07:30:22.521000","01","","0","TRUE","","","-1","50","N","937162210","2","0","10","00","","0","######","Paynet ATM Withdawal Voucher","10000001","Paynet ATM Withdawal Voucher"<endrec>
"203000000000010804","2015-10-07 14:49:39.111000","Repayment of Archived Funds to an Unregistered Recipient Voucher","","TRUE","","","","","","","","","","","","0","TRUE","203000000000014908","2016-12-02 02:16:29.583000","01","","0","TRUE","","","-1","50","N","937164222","28","0","0","00","","0","????","Archived Funds Repayment Voucher","10000053","Archived Funds Repayment Voucher"<endrec>
"203000000000010811","2015-10-28 07:30:01.968000","Paynet ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","","FALSE","203000000000010811","2015-11-02 10:18:59.249000","01","","0","TRUE","","","-1","50","N","937167397","0","0","5","00","","0","######","Paynet ATM Withdawal Voucher","10000001","Paynet ATM Withdawal Voucher"<endrec>
"203000000000010811","2015-11-02 10:18:38.712000","Paynet ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","","FALSE","203000000000012204","2016-02-05 12:19:13.962000","01","","0","TRUE","","","-1","50","N","937168314","0","2","10","00","","0","######","Paynet ATM Withdawal Voucher","10000001","Paynet ATM Withdawal Voucher"<endrec>
"203000000000010811","2015-11-03 10:06:57.937000","Give Cash Voucher","","TRUE","","","","","","","","","","","","","TRUE","203000000000010811","2015-11-03 13:11:17.229000","01","","0","TRUE","","","-1","50","N","937168325","0","0","5","00","","0","????","Give Cash Voucher","10000003","Give Cash Voucher"<endrec>
"203000000000010811","2015-11-03 13:11:04.080000","Give Cash Voucher","","TRUE","","","","","","","","","","","","0","TRUE","203000000000014908","2016-11-04 10:05:50.014000","01","","0","TRUE","","","-1","50","N","937168330","7","0","0","00","","0","????","Give Cash Voucher","10000003","Give Cash Voucher"<endrec>
"203000000000011204","2015-11-28 07:01:52.365000","","","TRUE","","","","","","","","","","","","","FALSE","203000000000010806","2016-01-28 13:21:22.550000","01","","1","TRUE","","","-1","50","N","937174337","1","0","0","00","","0","######","Deposit Voucher For Customer","10000063","Deposit Voucher For Customer"<endrec>
"203000000000013202","2015-12-21 08:07:56.081000","Request Withdrawl Voucher For Customer","","TRUE","","","","","","","","","","","","0","FALSE","203000000000016126","2016-08-11 06:54:51.754000","01","","1","TRUE","","","-1","50","N","937178448","1","0","0","00","","0","#####","Request Withdrawl Voucher For Customer","10000073","Request Withdrawl Voucher For Customer"<endrec>
"203000000000010806","2016-01-28 13:21:12.232000","","4","FALSE","","","","","","","","","","","","","FALSE","203000000000010809","2016-02-08 14:12:39.692000","01","","1","TRUE","","","-1","50","N","937181456","1","0","0","00","","0","######","Deposit Voucher For Customer","10000063","Deposit Voucher For Customer"<endrec>
"203000000000012204","2016-02-05 11:44:20.999000","Paynet ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","","FALSE","203000000000012204","2016-02-09 08:37:19.622000","01","","0","TRUE","","","-1","50","N","937181472","0","0","5","00","","0","######","Paynet ATM Withdawal Voucher","10000001","Paynet ATM Withdawal Voucher"<endrec>
"203000000000010809","2016-02-08 14:12:28.211000","","4","FALSE","","","","","","","","","","","","","FALSE","203000000000010809","2016-02-08 14:28:25.038000","01","","1","FALSE","","","-1","50","N","937182460","1","0","0","00","","0","######","Deposit Voucher For Customer","10000063","Deposit Voucher For Customer"<endrec>
"203000000000010809","2016-02-08 14:28:15.894000","","4","FALSE","","","","","","","","","","","","0","FALSE","203000000000015728","2016-11-04 13:50:09.947000","01","","1","TRUE","","","-1","50","N","937182461","1","0","0","00","","0","######","Deposit Voucher For Customer","10000063","Deposit Voucher For Customer"<endrec>
"203000000000012204","2016-02-09 08:37:00.623000","Paynet ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","","FALSE","203000000000010806","2016-02-17 13:44:53.253000","01","","0","TRUE","","","-1","50","N","937182463","0","2","15","00","","0","######","Paynet ATM Withdawal Voucher","10000001","Paynet ATM Withdawal Voucher"<endrec>
"203000000000010806","2016-02-17 13:44:39.612000","Paynet ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000014102","2016-06-14 17:07:47.943000","01","","0","TRUE","","","-1","50","N","937182535","0","0","5","00","","0","######","Paynet ATM Withdawal Voucher","10000001","Paynet ATM Withdawal Voucher"<endrec>
"203000000000013818","2016-03-30 19:49:12.844000","","4","TRUE","","","","","","","","","","","","","FALSE","203000000000014102","2016-04-25 08:07:12.327000","01","","5","TRUE","","","-1","50","N","937188532","1","0","0","01","","0","######","ATM Deposit Voucher For Organisation","10000083","ATM Deposit Voucher For Organisation"<endrec>
"203000000000013818","2016-04-04 16:16:59.140000","","4","FALSE","","","","","","","","","","","","","FALSE","203000000000013818","2016-04-04 16:19:03.404000","01","","1","TRUE","","","-1","50","N","937190549","1","0","0","00","","0","######","ATM Deposit Voucher For Customer (value)","10000093","ATM Deposit Voucher For Customer (value)"<endrec>
"203000000000013818","2016-04-04 16:18:17.736000","","4","FALSE","","","","","","","","","","","","","FALSE","203000000000013022","2016-04-11 08:49:35.778000","01","","1","FALSE","","","-1","50","N","937190550","1","0","0","00","","0","######","ATM Deposit Voucher For Customer (valueless)","10000094","ATM Deposit Voucher For Customer (valueless)"<endrec>
"203000000000013818","2016-04-04 16:18:45.474000","","4","FALSE","","","","","","","","","","","","","TRUE","203000000000013022","2016-04-11 08:50:24.042000","01","","1","TRUE","","","-1","50","N","937190551","1","0","0","00","","1","######","ATM Deposit Voucher For Customer (value)","10000093","ATM Deposit Voucher For Customer (value)"<endrec>
"203000000000013818","2016-04-04 17:16:09.901000","","4","TRUE","","","","","","","","","","","","","FALSE","203000000000013022","2016-04-13 08:18:23.598000","01","","5","TRUE","","","-1","50","N","937190552","1","0","0","01","","0","######","ATM Withdrawal Voucher For Organisation","10000095","ATM Withdrawal Voucher For Organisation"<endrec>
"203000000000013022","2016-04-11 08:49:27.957000","","4","FALSE","","","","","","","","","","","","0","FALSE","203000000000014102","2016-06-14 16:24:08.999000","01","","9","FALSE","","","-1","50","N","937195535","1","0","0","00","","0","######","ATM Deposit Voucher For Customer (valueless)","10000094","ATM Deposit Voucher For Customer (valueless)"<endrec>
"203000000000013022","2016-04-11 08:50:16.520000","","4","FALSE","","","","","","","","","","","","","TRUE","203000000000010806","2016-04-22 13:57:04.338000","01","","9","TRUE","","","-1","50","N","937195536","1","0","0","00","","1","######","ATM Deposit Voucher For Customer (value)","10000093","ATM Deposit Voucher For Customer (value)"<endrec>
"203000000000013022","2016-04-13 08:18:16.419000","","4","TRUE","","","","","","","","","","","","","FALSE","203000000000011311","2016-04-25 09:13:50.909000","01","","9","TRUE","","","-1","50","N","937195578","1","0","0","01","","0","######","ATM Withdrawal Voucher For Organisation","10000095","ATM Withdrawal Voucher For Organisation"<endrec>
"203000000000013818","2016-04-20 22:48:26.639000","Give Cash Voucher 2 factor Secret Code","","TRUE","","","","","","","","","","","","","TRUE","203000000000013022","2016-04-29 04:43:39.436000","01","","0","TRUE","","","-1","50","Y","937197588","7","0","0","00","1000|100|102","0","????","Give Cash Voucher 2 factor Secret Code","10000103","Give Cash Voucher 2 factor Secret Code"<endrec>
"203000000000010806","2016-04-22 13:56:50.998000","","4","FALSE","","","","","","","","","","","","","TRUE","203000000000010806","2016-04-22 14:09:33.579000","01","","1","TRUE","","","-1","50","N","937197627","1","0","0","00","","1","######","ATM Deposit Voucher For Customer (value)","10000093","ATM Deposit Voucher For Customer (value)"<endrec>
"203000000000010806","2016-04-22 14:09:21.571000","","4","FALSE","","","","","","","","","","","","0","TRUE","203000000000010806","2016-06-13 19:28:24.932000","01","","0","TRUE","","","-1","50","N","937197629","1","0","0","00","","1","######","ATM Deposit Voucher For Customer (value)","10000093","ATM Deposit Voucher For Customer (value)"<endrec>
"203000000000014102","2016-04-25 08:06:58.879000","","4","TRUE","","","","","","","","","","","","0","FALSE","203000000000013202","2016-09-30 05:26:46.943000","01","","0","TRUE","","","-1","50","N","937197650","1","0","0","01","","0","######","ATM Deposit Voucher For Organisation","10000083","ATM Deposit Voucher For Organisation"<endrec>
"203000000000010806","2016-04-25 08:22:26.972000","","4","TRUE","","","","","","","","","","","","0","TRUE","203000000000013202","2016-09-30 05:26:22.887000","01","","0","TRUE","","","-1","50","N","937197652","1","0","0","01","","1","######","ATM Deposit Voucher For Organisation (Value)","10000104","ATM Deposit Voucher For Organisation (Value)"<endrec>
"203000000000011311","2016-04-25 09:11:53.486000","","4","TRUE","","","","","","","","","","","","0","FALSE","203000000000013202","2016-09-30 05:27:42.759000","01","","0","TRUE","","","-1","50","N","937197657","1","0","0","01","","0","######","ATM Withdrawal Voucher For Organisation","10000095","ATM Withdrawal Voucher For Organisation"<endrec>
"203000000000013022","2016-04-29 04:43:26.962000","Give Cash Voucher 2 factor Secret Code","","TRUE","","","","","","","","","","","","0","TRUE","203000000000014911","2016-09-02 05:59:48.504000","01","","9","TRUE","","","-1","50","Y","937197767","7","0","0","00","","0","????","Give Cash Voucher 2 factor Secret Code","10000103","Give Cash Voucher 2 factor Secret Code"<endrec>
"203000000000013818","2016-05-05 18:37:51.302000","Deposit Voucher For Group","4","FALSE","","","","","","","","","","","","0","FALSE","203000000000013022","2016-05-27 05:32:20.445000","01","","1","TRUE","","","-1","50","N","937198531","1","0","0","02","","0","######","Deposit Voucher For Group","10000113","Deposit Voucher For Group"<endrec>
"203000000000013818","2016-05-05 18:41:10.570000","Group Withdrawal Voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000013022","2016-05-27 05:28:31.152000","01","","1","TRUE","","","-1","50","N","937198532","1","0","0","02","","0","#####","Group Withdrawal Voucher","10000114","Group Withdrawal Voucher"<endrec>
"203000000000013818","2016-05-08 22:34:19.635000","Group Buy Goods Voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000013022","2016-05-27 05:23:45.430000","01","","1","TRUE","","","-1","50","N","937198542","1","0","0","02","","0","#####","Group Buy Goods Voucher","10000115","Group Buy Goods Voucher"<endrec>
"203000000000013818","2016-05-09 15:21:06.806000","","4","TRUE","","","","","","","","","","","","0","TRUE","203000000000014102","2016-06-13 21:19:23.258000","01","","0","TRUE","","","-1","50","N","937198550","1","0","0","02","","1","######","Group ATM Deposit Voucher","10000116","Group ATM Deposit Voucher"<endrec>
"203000000000013818","2016-05-09 15:22:00.765000","Group ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000010806","2016-05-25 07:54:03.883000","01","","0","TRUE","","","-1","50","N","937198551","0","0","5","02","","0","######","Group ATM Withdawal Voucher","10000117","Group ATM Withdawal Voucher"<endrec>
"203000000000013818","2016-05-12 18:36:38.395000","Child School Lunch Voucher (exact amount all hierarchy)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000013818","2016-05-16 22:09:05.303000","01","","0","FALSE","4","987987","-1","30","N","937198608","2","0","0","","","0","????","Child School Lunch Voucher (exact amount all hierarchy)","10000118","Child School Lunch Voucher (exact amount all hierarchy)"<endrec>
"203000000000013818","2016-05-16 21:25:51.980000","Child School Lunch Voucher (exact amount org only)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000013022","2016-05-25 05:01:49.873000","01","","0","FALSE","1","9879870","-1","50","N","937200559","2","0","0","","","0","????","Child School Lunch Voucher (exact amount org only)","10000123","Child School Lunch Voucher (exact amount org only)"<endrec>
