ALIAS,CATEGORY_CODE,DISPLAY_LEVEL,DISPLAY_ORDER,ID,IS_ENABLE,LINKED_SERVICE_CODE,PARENT_ID,REQUEST_TEXT,SERVICE_CODE,STK_TRANSACTION_TYPE,USSD_CMD,USSD_PROCESS_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"Cancel Direct Debit Mandate By Payer","TILL","3","1","3078","1","","4004","1","Cancel Direct Debit Mandate by Org","","","1672"<endrec>
"Reactivate Direct Debit Mandate By Payer","TILL","3","1","3079","1","","4005","1","Reactivate Direct Debit Mandate by Org","","","1674"<endrec>
"Delete Group Bank Account","CUSTOMER","2","9","308","1","","300","8","Delete Bank Account","Delete_Group_Bank_Account","","1655"<endrec>
"Reactivate Direct Debit Mandate By Payee","TILL","3","2","3080","1","","4005","2","Reactivate Payee Direct Debit Mandate by Org","","","1675"<endrec>
"Initiate Direct Debit Transaction","TILL","2","11","3081","1","","2342","11","Initiate Direct Debit Transaction","","","1676"<endrec>
"Create Direct Debit Mandate","TILL","2","1","3082","1","","2342","1","-1","","","-1"<endrec>
"Activate Direct Debit","TILL","2","2","3083","1","","2342","2","-1","","","-1"<endrec>
"Create Direct Debit Mandate","CUSTOMER","2","1","3084","1","","2344","1","-1","","","-1"<endrec>
"Activate Direct Debit","CUSTOMER","2","2","3085","1","","2344","2","-1","","","-1"<endrec>
"Query Standing Order Schedule List","CUSTOMER","2","7","3087","1","","2356","7","Customer View Standing Order Schedule List","Query_ALL_Standing_Order_Schedule","","0"<endrec>
"Query Standing Order Schedule List","CUSTOMER","3","1","3088","1","","3089","1","Group View Standing Order Schedule List","Query_Group_Standing_Order_Schedule","",""<endrec>
"Standing Order","CUSTOMER","2","6","3089","1","","810","6","-1","","",""<endrec>
"Set Default Group Bank Account","CUSTOMER","2","10","309","0","","300","9","Set Default Bank Account","","","1657"<endrec>
"Query Standing Order Schedule List","TILL","2","4","3090","1","","2358","3","Org View Standing Order Schedule List","Query_Org_Standing_Order_Schedule","","0"<endrec>
"Bank Account","TILL","1","1","310","1","","-1","34","-1","","","0"<endrec>
"Create Bank Account","TILL","2","1","311","1","","310","1","Create Bank Account","","","1527"<endrec>
"Set Default Bank Account","TILL","2","2","312","0","","310","2","Set Default Bank Account","","","1528"<endrec>
"Delete Bank Account","TILL","2","3","313","1","","310","3","Delete Bank Account","","","1529"<endrec>
"Online Cash In","TILL","2","4","314","1","","310","4","Online Cash In","","","1540"<endrec>
"Query Bank Account","TILL","2","5","315","1","","310","5","Query Bank Account","","","1585"<endrec>
"Customer Query 3rd Bill And Payment","CUSTOMER","2","3","31501","1","","21101","3","CustomerPay3rdBill_VDF_Demo","","","2210"<endrec>
"Query 3rd Bill And Payment","TILL","1","6","31601","1","","-1","65","businesspaybill","","","2212"<endrec>
"Orgazination Query 3rd Bill","TILL","1","4","31708","1","","-1","23","Orgazination Query 3rd Bill","","","31603"<endrec>
"Group Qeury 3rd Bill and Payment","CUSTOMER","3","9","31709","1","","22551","10","Group Pay Bill","","","2211"<endrec>
"OrgQuery3rdBill","TILL","1","99","31712","1","","-1","121","OrgOperatorQuery3rdBill_VDF_Demo","","","31603"<endrec>
"GroupQuery 3rd Bill","CUSTOMER","3","8","31720","1","","23072","10","GroupQuery3rdBill_VDF_Demo","","","31713"<endrec>
"Customer Query 3rd Buy Goods","CUSTOMER","2","11","31729","1","","20401","12","CustomerQuery3rdGoods","","","31723"<endrec>
"Customer Query 3rd Buy Goods and payment","CUSTOMER","2","4","31738","1","","21101","4","2301","","","31730"<endrec>
"Group Query 3rd Buy Goods","CUSTOMER","3","9","31745","1","","23072","11","Buy Goods no auth Linked Card","","","31739"<endrec>
"Group Query 3rd Buy Goods and Payment","CUSTOMER","3","10","31803","1","","22551","11","Group Buy Goods no auth Linked Card","","","31746"<endrec>
"Org Query 3rd Buy Goods and Payment","TILL","1","2","31822","1","","-1","62","BusinessBuyGoods","","","31804"<endrec>
"Org Query 3rd Buy Goods","TILL","1","3","31824","1","","-1","63","OrgOperatorQuery3rdBuyGoods","","","31814"<endrec>
"Send Token","CUSTOMER","2","9","32044","1","","2215","8","Send Token","","","32034"<endrec>
"OTC Pay Bill","TILL","3","2","32045","1","","30701","23","3411","","","20314"<endrec>
"Redeem Token","CUSTOMER","2","10","32318","1","","2215","9","Redeem Token","","","32319"<endrec>
"Create Customer Loyalty Account","TILL","2","7","32507","1","","25507","99","Organization Create Customer Point Account","","","32510"<endrec>
"Create Org Loyalty Account","TILL","1","13","32522","1","","-1","91","Organization Create Customer Point Account","","","32501"<endrec>
"Send Money 2 factor DOB","CUSTOMER","2","2","32532","1","","22340","10","Send Money 2 factor DOB","","","33301"<endrec>
"sm100","CUSTOMER","2","2","32901","1","","28901","2","send money100","","","25000"<endrec>
"Customer Buy Goods With Foreign Exchange","CUSTOMER","2","3","32905","1","","730","3","-1","","","-1"<endrec>
"SZ_Approval Test","CUSTOMER","3","8","33011","1","","22551","20","Group Approve Service","","","33001"<endrec>
"Customer request Buy Goods Voucher","CUSTOMER","2","11","33311","1","","2215","10","Customer request Buy Goods Voucher","","","33312"<endrec>
"Bank Card Lookup","CUSTOMER","1","14","380","0","","-1","38","-1","","","-1"<endrec>
"Create Bank Card Lookup","CUSTOMER","2","1","381","0","","380","1","Create Bank Card Lookup","Create_Customer_Bank_Account_Lookup","","1586"<endrec>
"Delete Bank Card Lookup","CUSTOMER","2","2","382","0","","380","2","Delete Bank Card Lookup","Delete_Customer_Bank_Account_Lookup","","1587"<endrec>
"Query Bank Card Lookup","CUSTOMER","2","3","383","0","","380","3","Query Bank Card Lookup","Query_Customer_Bank_Account_Lookup","","1588"<endrec>
"Create Group Bank Card Lookup","CUSTOMER","2","4","384","0","","380","4","Create Bank Card Lookup","Create_Group_Bank_Account_Lookup","","1663"<endrec>
"Delete Group Bank Card Lookup","CUSTOMER","2","5","385","0","","380","5","Delete Bank Card Lookup","Delete_Group_Bank_Account_Lookup","","1664"<endrec>
"Query Group Bank Card Lookup","CUSTOMER","2","8","386","0","","380","6","Query Bank Card Lookup","Query_Group_Bank_Account_Lookup","","1665"<endrec>
"Bank Card Lookup","TILL","1","1","390","1","","-1","39","-1","","","0"<endrec>
"Create Bank Card Lookup","TILL","2","1","391","1","","390","1","Create Bank Card Lookup","","","1589"<endrec>
"Delete Bank Card Lookup","TILL","2","2","392","0","","390","2","Delete Bank Card Lookup","","","1590"<endrec>
"Query Bank Card Lookup","TILL","2","3","393","0","","390","3","Query Bank Card Lookup","","","1591"<endrec>
"Edit Direct Debit Mandate","CUSTOMER","2","5","4000","1","","2344","5","-1","","","-1"<endrec>
"Cancel Direct Debit Mandate","CUSTOMER","2","3","4001","1","","2344","3","-1","","","-1"<endrec>
"Reactivate Direct Debit Mandate","CUSTOMER","2","4","4002","1","-1","2344","4","-1","","","0"<endrec>
"Edit Direct Debit Mandate","TILL","2","3","4003","1","","2342","3","-1","","","-1"<endrec>
"Cancel Direct Debit Mandate","TILL","2","4","4004","1","","2342","4","-1","","","-1"<endrec>
"Reactivate Direct Debit Mandate","TILL","2","5","4005","1","","2342","5","-1","","","-1"<endrec>
"View Direct Debit Mandate","CUSTOMER","2","6","4006","1","-1","2344","6","-1","","","0"<endrec>
"View Direct Debit Mandate","TILL","2","6","4007","1","","2342","6","-1","","","-1"<endrec>
"Cancel Card","CUSTOMER","2","3","4062","1","","440","3","-1","-1","","-1"<endrec>
"Customer Cancel Card","CUSTOMER","3","1","4063","1","","4062","1","Customer Cancel Linked Card","","","1713"<endrec>
"Group Cancel Card","CUSTOMER","3","2","4064","1","","4062","2","Group Cancel Linked Card","","","1721"<endrec>
"Cancel Card","TILL","2","3","4065","1","-1","450","3","-1","-1","","-1"<endrec>
"Org Cancel Card","TILL","3","1","4066","1","","4065","1","Organisation Cancel Linked Card","","","1723"<endrec>
"CCH Change Customer KYC","TILL","2","5","4067","1","-1","660","5","Agent Update Customer KYC","CCHChangeCustKYC","","1718"<endrec>
"Two Part Payment","CUSTOMER","1","104","4086","1","","-1","74","-1","","","-1"<endrec>
"Two Part Buy Goods","CUSTOMER","2","1","4087","1","","4086","1","Two Part Buy Goods","","","1728"<endrec>
"Two Part Payment Confirm","CUSTOMER","2","2","4088","1","","4086","2","Two Part Payment Confirm","","","1729"<endrec>
"Two Part Payment","TILL","1","97","4092","1","","-1","76","-1","","","-1"<endrec>
"Two Part Voucher Redeeming","TILL","2","1","4093","0","","4092","1","Two Part Voucher Redeeming","","","1730"<endrec>
"Customer Self Update KYC","CUSTOMER","1","105","4100","1","","-1","75","Customer self update KYC","ChangeCustKYCBySelf","","32933"<endrec>
"Two Part Payment Org Confirm","TILL","2","2","4104","1","","4092","2","Two Part Payment Confirm","","","1732"<endrec>
"CCH Change OrgOperator KYC","TILL","2","7","4107","1","-1","665","7","Agent Update OrgOperator KYC","CCHChangeOrgOperatorKYC","","1719"<endrec>
"OrgOperator Self Update KYC","TILL","1","98","4110","1","","-1","77","Operator self update KYC","","","1678"<endrec>
"Group Two Part Buy Goods","CUSTOMER","2","3","4129","1","","4086","3","Two Part Buy Goods","","","1747"<endrec>
"Send Money via m-pesa With Prevalidation","CUSTOMER","2","2","4131","1","-1","612","2","P2PReg2Reg_PreValidation","SendMoneyWithPreValidation","","1743"<endrec>
"Group G2G Transfer With Prevalidation","CUSTOMER","3","8","4132","1","","841","8","Group G2G Transfer by Customer_PreValidation","GroupG2GTransferWithPreValidation","","1744"<endrec>
"Deposit Money With Prevalidation","TILL","2","3","4133","1","-1","605","3","Deposit_PreValidation","","","1745"<endrec>
"Group Two Part Voucher Redeeming","TILL","2","3","4134","0","-1","4092","3","Group Two Part Voucher Redeeming","Group_Two_Part_Voucher_Redeeming","","1749"<endrec>
"Card Actions","CUSTOMER","1","95","440","1","-1","-1","43","-1","-1","","-1"<endrec>
"Register Card","CUSTOMER","2","1","442","1","","440","1","-1","-1","","-1"<endrec>
"Activate Card","CUSTOMER","2","2","443","1","","440","2","-1","-1","","-1"<endrec>
"Customer Register Card","CUSTOMER","3","1","444","0","-1","441","1","CustomerBuyForeignCurrency","-1","","1570"<endrec>
"Group Register Card","CUSTOMER","3","2","445","0","-1","441","2","CustomerBuyForeignCurrency","-1","","1570"<endrec>
"Customer Register Card","CUSTOMER","3","1","446","1","","442","1","Customer self register Linked Card","","","1737"<endrec>
"Group Register Card","CUSTOMER","3","2","447","1","","442","2","Group self register Linked Card","","","1740"<endrec>
"Customer Activate Card","CUSTOMER","3","1","448","1","","443","1","Customer Activate Linked Card","","","1734"<endrec>
"Group Activate Card","CUSTOMER","3","2","449","1","","443","2","Group Activate Linked Card","","","1735"<endrec>
"Card Actions","TILL","1","66","450","1","","-1","45","-1","-1","","-1"<endrec>
"Register Card","TILL","2","1","452","1","","450","1","-1","-1","","-1"<endrec>
"Activate Card","TILL","2","2","453","1","-1","450","2","-1","-1","","-1"<endrec>
"Org Register Card","TILL","3","1","454","0","-1","451","1","CustomerBuyForeignCurrency","-1","","1570"<endrec>
"Org Register Card","TILL","3","1","455","1","","452","1","Organisation Self Register Linked Card","","","1741"<endrec>
"Org Activate Card","TILL","3","1","456","1","","453","1","Organisation Activate Linked Card","","","1736"<endrec>
"Bundle","CUSTOMER","1","16","500","1","","-1","66","-1","","","-1"<endrec>
"View Bundles","CUSTOMER","2","1","501","1","","500","3","-1","","","-1"<endrec>
"Transfer to owner","TILL","1","76","50102","0","","-1","35","MerchantToMerchantTransfer","","","50104"<endrec>
"View Bundle Details","CUSTOMER","2","4","502","1","","500","4","-1","","","-1"<endrec>
"Customer Get Start PIN","CUSTOMER","1","42","50204","1","","-1","20","CustomerGetStartPIN","","","50201"<endrec>
"Query My Bundles","CUSTOMER","2","5","503","1","","500","5","-1","","","-1"<endrec>
"Query My Bundle Details","CUSTOMER","2","6","504","1","","500","6","-1","","","0"<endrec>
"View Customer Bundles","CUSTOMER","3","1","505","1","","501","1","View Bundle List","QueryCustomerBundleList","","1500"<endrec>
"Query My Own Bundles","CUSTOMER","3","1","506","1","","503","1","Customer View Bundle Details","QueryCustomerIdentityBundleList","","32801"<endrec>
"Subscribe Bundle","CUSTOMER","2","3","507","1","","500","1","-1","","","-1"<endrec>
"Subscribe Customer Bundle","CUSTOMER","3","1","508","1","","507","1","Create Customer Bundle","","","1510"<endrec>
"Subscribe Group Bundle","CUSTOMER","3","2","509","1","","507","2","Create Group Bundle","GroupSubscribeBundle","","1512"<endrec>
"View Group Bundles","CUSTOMER","3","2","510","1","","501","2","View Bundle List","QueryGroupBundleList","","1520"<endrec>
"Query My Group Bundles","CUSTOMER","3","2","511","1","","503","2","Query Identity Bundle List","QueryGroupIdentityBundleList","","1521"<endrec>
"View Customer Bundle Details","CUSTOMER","3","1","520","1","","502","1","View Bundle Details","QueryCustomerBundleDetail","","0"<endrec>
"Query My Bundle Details","CUSTOMER","3","1","521","1","","504","1","Customer View Bundle Details","QueryCustomerIdentityBundleDetail","","1501"<endrec>
"View Group Bundle Details","CUSTOMER","3","2","522","1","","502","2","View Bundle Details","QueryGroupBundleDetail","","0"<endrec>
"Query My Group Bundle Details","CUSTOMER","3","2","523","1","","504","2","Query Identity Bundle Details","QueryGroupIdentityBundleDetail","","0"<endrec>
"Bundle","TILL","1","96","550","1","","-1","70","-1","","","-1"<endrec>
"Subscribe Bundle","TILL","2","1","551","1","","550","1","Create Org Bundle","OrgnizationSubscribeBundle","","1511"<endrec>
"View Bundles","TILL","2","2","552","1","","550","2","View Bundle List","","","1522"<endrec>
"Query My Bundles","TILL","2","4","553","1","","550","4","Query Identity Bundle List","QueryOrgIdentityBundleList","","1523"<endrec>
"View Bundle Details","TILL","2","3","554","1","","550","3","View Bundle Details","QueryOrgBundleDetail","","0"<endrec>
"Query My Bundle Details","TILL","2","5","555","1","","550","5","Query Identity Bundle Details","QueryOrgIdentityBundleDetail","","0"<endrec>
"Subscribe Bundle for Customer","TILL","2","6","556","1","","550","6","Create Customer Bundle By Organization","CreateCustomerBundleByOrganization","","1513"<endrec>
"Withdraw Cash","CUSTOMER","1","44","608","1","","-1","4","-1","","","-1"<endrec>
"From Agent","CUSTOMER","2","1","609","1","","608","1","Customer Withdrawal","WithdrawFromAgent","","1004"<endrec>
"From ATM","CUSTOMER","2","2","610","1","","608","2","Apply ATM Voucher","ApplyATMWithdrawalVoucher","","1040"<endrec>
"Withdraw Money","TILL","1","41","611","1","","-1","46","-1","","","-1"<endrec>
"Customer Withdrawal","TILL","2","1","613","1","","611","1","Withdrawal With Voucher","","","32923"<endrec>
"Sell Airtime","TILL","1","47","622","1","","-1","7","-1","","","-1"<endrec>
"Business Deposit","TILL","1","48","623","1","","-1","8","-1","","","-1"<endrec>
"Initiates business deposit","TILL","2","1","624","1","","623","1","Organization Funds Management - Business Deposit","","","1030"<endrec>
"Applies a voucher for business deposit","TILL","2","2","625","1","","623","2","Business Apply Deposit Voucher","","","1031"<endrec>
"Redeems a business deposit voucher","TILL","2","3","626","1","","623","3","2104","","","1032"<endrec>
"Business Withdraw","TILL","1","49","627","1","","-1","9","-1","","","-1"<endrec>
"Initiates business withdraw","TILL","2","1","628","1","","627","1","2005","BusinessWithdrawal","","1033"<endrec>
"Applies a voucher for business withdraw","TILL","2","2","629","1","","627","2","Org Operator Apply Withdrawal Voucher","","","1034"<endrec>
"Redeems a business withdraw voucher","TILL","2","3","630","1","","627","3","Organization Redeem Business Deposit Voucher","","","1035"<endrec>
"Register a Customer","TILL","1","50","631","1","","-1","10","Agent Store Register Customer","","","1008"<endrec>
"Active Till","TILL","1","51","633","1","","-1","11","Activate Till","","","1010"<endrec>
"Customer Activate","CUSTOMER","1","51","634","1","","-1","7","Activate Customer","","","1009"<endrec>
"Query Cash up Statements","TILL","1","35","641","0","-1","-1","15","1008","","101103","1017"<endrec>
"Query an Account Balance","CUSTOMER","1","33","642","1","","-1","11","1001","","101101","1018"<endrec>
"B2B","TILL","1","62","648","1","","-1","22","-1","","","-1"<endrec>
"B2B Pay bill via org float","TILL","2","1","649","1","","648","1","3120","PayBill","","1044"<endrec>
"Withdraw e-Money","TILL","1","64","655","1","","-1","96","-1","","","-1"<endrec>
"Organization Withdrawal From M-PESA","TILL","2","1","656","1","","655","1","OrganizationWithdrawalFromM-PESA","","","1036"<endrec>
"Create Lite Customer","TILL","1","65","657","1","","-1","24","1007","","","1045"<endrec>
"Update Customer Menu","CUSTOMER","1","60","658","0","-1","-1","15","Update Customer STK Menu","UpdateCustomerMenu","","-1"<endrec>
"Update Till Menu","TILL","1","66","659","1","-1","-1","25","Update Till STK Menu","UpdateTillMenu","","-1"<endrec>
"CCH Identify Customer","TILL","2","1","661","1","-1","660","1","Identify Customer for CCH","CCHIdentityCustomer","","1714"<endrec>
"CCH Identify All Organization Operator","TILL","2","1","666","1","-1","665","1","Identify Org Operator for CCH","CCHAllIdentifyOrgnizationOperator","","1733"<endrec>
"CCH Request Transaction Reversal","TILL","1","69","672","1","","-1","28","Reversal By CCH","CCHReverseTransaction","","27401"<endrec>
"M-Shwari","CUSTOMER","1","61","673","1","-1","-1","16","-1","-1","","-1"<endrec>
"Activate Account","CUSTOMER","2","1","674","1","","673","1","FSI_Active_Mshwari","Shwari_Activate","","1046"<endrec>
"Terms and Conditions","CUSTOMER","2","2","675","1","","673","2","Terms and condition Before","Shwari_Activate_Terms_and_Conditions","","1047"<endrec>
"Loan","CUSTOMER","2","4","679","1","-1","673","4","-1","-1","","-1"<endrec>
"Request Loan","CUSTOMER","3","1","680","1","-1","679","1","-1","-1","","-1"<endrec>
"Terms and Conditions","CUSTOMER","4","1","681","1","","680","1","Terms and condition After","Shwari_RequestLoan_Terms_and_Conditions","","1051"<endrec>
"Request Loan","CUSTOMER","4","2","682","1","","680","2","3202","Shwari_RequestLoan","","1050"<endrec>
"Pay Loan","CUSTOMER","3","2","683","1","","679","2","FSI_Loan_Repay_Mshwari","Shwari_PayLoan","","1052"<endrec>
"Pay Loan from Savings","CUSTOMER","3","3","684","1","","679","3","3203","Shwari_PayLoanFromSavings","","1053"<endrec>
"Query","CUSTOMER","2","5","688","1","","673","5","-1","-1","","-1"<endrec>
"Bank Balance","CUSTOMER","3","1","689","1","","688","1","1013","Shwari_BankBalance","","1056"<endrec>
"Loan Mini Statement","CUSTOMER","3","2","690","1","","688","2","FSI_Req_Loan_Statement_Mshwari","Shwari_MiniStatement","","20001"<endrec>
"Loan Limit","CUSTOMER","3","3","691","1","","688","3","FSI_Req_Credit_Limit_Mshwari","Shwari_LoanLimit","","1058"<endrec>
"FSI Mini Statement","CUSTOMER","3","4","692","1","","688","4","FSI_Req_Mini_Staement_Mshwari","Shwari_Query_MiniStatement","","1057"<endrec>
"M-Kesho","CUSTOMER","1","66","700","1","","-1","17","-1","-1","","-1"<endrec>
"Deposit and Withdraw","CUSTOMER","2","1","701","1","","700","1","-1","-1","","-1"<endrec>
"Send to Bank","CUSTOMER","3","1","702","1","","701","1","FSI_Deposit_Mkesho","Kesho_Deposit","","1060"<endrec>
"Withdraw from Bank","CUSTOMER","3","2","703","1","","701","2","FSI_Withdraw_MKesho","Kesho_Withdraw","","1061"<endrec>
"Loan","CUSTOMER","2","2","704","1","","700","2","-1","-1","","-1"<endrec>
"Request Loan","CUSTOMER","3","1","705","1","-1","704","1","-1","-1","","-1"<endrec>
"Terms and Conditions","CUSTOMER","4","1","706","1","","705","1","FSI_Loan_Request_M-Kesho","Kesho_RequestLoan_Terms_and_Conditions","","1063"<endrec>
"Request Loan","CUSTOMER","4","2","707","1","","705","2","FSI_Loan_Request_M-Kesho","Kesho_RequestLoan","","1062"<endrec>
"Insurance","CUSTOMER","2","3","708","1","","700","3","-1","-1","","-1"<endrec>
"Terms and Conditions","CUSTOMER","3","1","709","1","","708","1","FSI_Req_Insurance_Mkesho","Kesho_RequestInsurance_Terms_and_Conditions","","1067"<endrec>
"Request Insurance","CUSTOMER","3","2","710","1","","708","2","FSI Request Insurance For M-Kesho","Kesho_RequestInsurance","","1066"<endrec>
"Query","CUSTOMER","2","4","711","1","","700","4","-1","-1","","-1"<endrec>
"Bank Balance","CUSTOMER","3","1","712","1","","711","1","FSI_Req_Balance_Mkesho","FSI_BankBalance","","1068"<endrec>
"Mini Statement","CUSTOMER","3","2","713","1","","711","2","FSI_Req_Mini_Statement_M-Kesho","FSI_MiniStatement","","1069"<endrec>
"Foreign Exchange","CUSTOMER","1","59","730","1","","-1","37","-1","","","-1"<endrec>
"Foreign Exchange","CUSTOMER","2","1","731","1","","730","1","-1","-1","","-1"<endrec>
"Customer Payment With Foreign Exchange","CUSTOMER","2","2","732","1","","730","2","-1","-1","","-1"<endrec>
"Customer Buy Foreign Currency","CUSTOMER","3","1","734","1","","731","1","CustomerBuyForeignCurrency","CustomerBuyForeignCurrencyDirectModel","","1570"<endrec>
"Customer Buy Foreign Currency Indirect","CUSTOMER","3","2","735","1","","731","2","CustomerBuyForeignCurrencyIndirect","","","1570"<endrec>
"Customer Sell Foreign Currency","CUSTOMER","3","3","736","1","","731","3","CustomerSellForeignCurrency","","","1577"<endrec>
"Customer Sell Foreign Currency Indirect","CUSTOMER","3","4","737","1","","731","4","CustomerSellForeignCurrencyIndirect","","","1577"<endrec>
"Group Buy Foreign Currency","CUSTOMER","3","5","738","1","","731","5","GroupBuyForeignCurrency","","","1578"<endrec>
"Group Buy Foreign Currency Indirect","CUSTOMER","3","6","739","1","","731","6","GroupBuyForeignCurrencyIndirect","","","1578"<endrec>
"Group Sell Foreign Currency","CUSTOMER","3","7","740","1","","731","7","GroupSellForeignCurrency","GroupSellForeignCurrencyDirectModel","","1592"<endrec>
"Group Sell Foreign Currency Indirect","CUSTOMER","3","8","741","1","","731","8","GroupSellForeignCurrencyIndirect","","","1592"<endrec>
"Customer Payment With Foreign Exchange","CUSTOMER","3","1","770","1","","732","1","CustomerPaymentWithForeignExchange","CustomerPaymentWithForeignExchange","","1650"<endrec>
"Group Payment With Foreign Exchange","CUSTOMER","3","2","771","1","","732","2","GroupPaymentWithForeignExchange","GroupPaymentWithForeignExchange","","1651"<endrec>
"Apply Group ATM Withdraw Voucher","CUSTOMER","3","4","835","1","","831","4","Apply Group ATM Withdraw Voucher","GroupATMWithdrawalVoucher","","1399"<endrec>
"Apply Group ATM Deposit Voucher","CUSTOMER","3","5","836","1","","831","5","Group ATM Deposit Voucher","GroupATMDepositVoucher","","1400"<endrec>
"Terms and Conditions","CUSTOMER","2","2","924","1","","922","2","M-Shwari Active Group FSI Product_VDF_Demo","Shwari_Activate_Group_Terms_and_Conditions","","1398"<endrec>
"Change Language","UNREGCUSTOMER","1","19","959","1","","-1","2","Unregister Customer Registration","","","31902"<endrec>
"Help","UNREGCUSTOMER","1","23","960","1","","-1","3","Unregister Customer Registration","","101102","1552"<endrec>
