ALIAS,CATEGORY_CODE,DISPLAY_LEVEL,DISPLAY_ORDER,ID,IS_ENABLE,LINKED_SERVICE_CODE,PARENT_ID,REQUEST_TEXT,SERVICE_CODE,STK_TRANSACTION_TYPE,USSD_CMD,USSD_PROCESS_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"Organization Activate Direct Debit Mandate","TILL","3","1","2348","1","","3083","1","Approve Direct Debit Mandate by Org","","","1561"<endrec>
"Create Direct Debit Mandate by Customer","CUSTOMER","3","1","2349","1","","3084","1","Create Direct Debit Mandate by Customer","","","1563"<endrec>
"View Direct Debit Mandate By Payer","TILL","3","1","2350","1","","4007","1","View Direct Debit Mandate by Org","","","1566"<endrec>
"View Direct Debit Mandate By Payee","TILL","3","2","2351","1","","4007","2","View Payee Direct Debit Mandate by Org","","","1571"<endrec>
"Approve Transaction","CUSTOMER","3","5","23511","1","","22551","5","Group Approve Service","","","30104"<endrec>
"Group Approval","TILL","2","7","23519","1","","22512","6","Group Approval by Operator","","","23512"<endrec>
"Create Direct Debit Mandate By Group","CUSTOMER","3","2","2352","1","","3084","2","Create Direct Debit Mandate by Group","","","1567"<endrec>
"Group Buy Goods with Voucher","TILL","2","5","23520","1","","22512","7","Group Buy Goods with Voucher Initiated by Operator","","","22501"<endrec>
"Create Direct Debit Mandate by Organization","TILL","3","1","2353","1","","3082","1","Create Direct Debit Mandate by Org","","","1568"<endrec>
"Standing Order","CUSTOMER","1","102","2356","1","","-1","73","-1","","","-1"<endrec>
"View Standing Order Schedule","CUSTOMER","2","1","2357","1","","2356","1","Create Customer Reminder Schedule","View_Standing_Order_Schedule","","1572"<endrec>
"Standing Order","TILL","1","96","2358","1","","-1","73","-1","","","-1"<endrec>
"View Standing Order Schedule","TILL","2","1","2359","1","","2358","1","Org View Standing Order Schedule","","","1573"<endrec>
"Group View Direct Debit Mandate","CUSTOMER","3","2","2360","1","","4006","2","View Direct Debit Mandate by Group","","","1574"<endrec>
"View Standing Order Schedule","CUSTOMER","3","2","2361","1","","3089","2","Group View Standing Order Schedule","View_Standing_Order_Schedule_By_Group","","1575"<endrec>
"Customer Cancel Direct Debit Mandate","CUSTOMER","3","1","2362","1","","4001","1","Cancel Direct Debit Mandate by Customer","","","1580"<endrec>
"Customer Reactivate Direct Debit Mandate","CUSTOMER","3","1","2363","1","","4002","1","Reactivate Direct Debit Mandate by Customer","","","1581"<endrec>
"Customer Edit Direct Debit Mandate","CUSTOMER","3","1","2364","1","","4000","1","Edit Direct Debit Mandate by Customer","","","1582"<endrec>
"Cancel Standing Order Schedule","CUSTOMER","2","3","2368","1","","2356","3","DeleteIndividualReminderScheduleRequest","Cancel_Standing_Order_Schedule","","1595"<endrec>
"Cancel Standing Order Schedule","CUSTOMER","3","3","2369","1","","3089","3","Group Cancel Standing Order Schedule","Cancel_Group_Standing_Order_Schedule","","1596"<endrec>
"Cancel Standing Order Schedule","TILL","2","3","2370","1","","2358","2","Org Cancel Standing Order Schedule","Cancel_Org_Standing_Order_Schedule","","1597"<endrec>
"Create Standing Order Schedule","CUSTOMER","6","4","2372","1","-1","3089","4","-1","","","-1"<endrec>
"Pay Bill","CUSTOMER","4","1","2375","1","Group Pay Bill Service","2372","1","Create Group Standing Order Schedule","Create_Group_Standing_Order_Schedule","","1601"<endrec>
"Apply ATM Voucher to Group","CUSTOMER","2","5","23809","1","","2215","3","Customer request ATM deposit for group (non member)","","","23803"<endrec>
"Redeem Deposit Voucher","TILL","3","4","23816","1","","178","4","Deposit With Voucher Redeem","","","1003"<endrec>
"Org Apply ATM Withdrawal Voucher for Group","TILL","3","4","23910","1","","177","4","Org apply Voucher for Group","","","23901"<endrec>
"FX","TILL","1","96","2400","1","","-1","75","-1","","FX","-1"<endrec>
"Terms and Conditions","CUSTOMER","3","6","24001","1","","23406","6","FSI Activate For Group","","","1398"<endrec>
"Foreign Exchange","TILL","2","1","2401","1","","2400","1","-1","","Foreign Exchange","-1"<endrec>
"Payment With Foreign Exchange","TILL","2","2","2402","1","","2400","2","-1","","Payment With Foreign Exchange","-1"<endrec>
"Receiving With Foreign Exchange","TILL","2","3","2403","1","","2400","3","-1","","Receiving With Foreign Exchange","-1"<endrec>
"Organization Buy Foreign Currency","TILL","3","1","2410","1","","2401","1","OrganisationBuyForeignCurrency","","","1593"<endrec>
"Organization Buy Foreign Currency Indirect","TILL","3","2","2411","1","","2401","2","OrganisationBuyForeignCurrencyIndirect","","","1593"<endrec>
"Organization Sell Foreign Currency","TILL","3","3","2412","1","","2401","3","OrganisationSellForeignCurrency","","","1594"<endrec>
"Organization Sell Foreign Currency Indirect","TILL","3","4","2413","1","","2401","4","OrganisationSellForeignCurrencyIndirect","","","1594"<endrec>
"Organization Payment With Foreign Exchange","TILL","3","1","2415","1","","2402","1","OrganizationPaymentWithForeignExchange","OrganizationPaymentWithForeignExchange","","1652"<endrec>
"Buy Goods With Foreign Exchange","TILL","3","1","2416","1","","2403","1","BuyGoodsWithForeignExchange","BuyGoodsWithForeignExchange","","1653"<endrec>
"Register","UNREGCUSTOMER","1","16","24202","1","","-1","1","Unregister Customer Registration","","","1551"<endrec>
"Update Customer KYC","TILL","2","7","24301","1","","20113","6","Customer Care Handset - Manage Identity","","","1718"<endrec>
"Update Operator KYC","TILL","2","6","24402","1","","20188","4","Customer Care Handset - Manage Identity","","","1719"<endrec>
"M-shwari","TILL","1","15","24403","1","","-1","80","-1","","","-1"<endrec>
"Activate Account","TILL","2","1","24404","1","","24403","1","OrgOp Activate Org FSI Product","","","1750"<endrec>
"Terms and Conditions","TILL","2","2","24405","1","","24403","2","Terms and condition After","","","1754"<endrec>
"Deposit and Withdraw","TILL","2","3","24406","1","","24403","3","-1","","","-1"<endrec>
"Send to Bank","TILL","3","1","24407","1","","24406","1","OrgOp FSI deposit for Org","","","1772"<endrec>
"Withdraw from bank","TILL","3","2","24601","1","","24406","2","OrgOp FSI Withdraw for Org","","","1773"<endrec>
"Loan","TILL","2","4","24602","1","","24403","4","-1","","","-1"<endrec>
"Request Loan","TILL","3","1","24603","1","","24602","1","Orgop FSI Loan request first","","","1774"<endrec>
"Pay Loan","TILL","3","2","24604","1","","24602","2","OrgOp FSI Repay Loan","","","1775"<endrec>
"Pay Loan from Savings","TILL","3","3","24605","1","","24602","3","OrgOp FSI Repay Loan from Savings","","","1776"<endrec>
"Query","TILL","2","5","24606","1","","24403","5","-1","","","-1"<endrec>
"Bank Balance","TILL","3","1","24607","1","","24606","1","OrgOp FSI Query Balance","","","1778"<endrec>
"FSI Mini Statement","TILL","3","3","24608","1","","24606","4","OrgOp FSI Mini Statement2","","","1777"<endrec>
"Loan Mini Statement","TILL","3","2","24609","1","","24606","2","OrgOp FSI Loan Statement","","","1780"<endrec>
