ACCESS_CHANNEL,CATEGORY,ERROR_CODE,FUNCTION_ID,IS_INSTANTLY,NOTIFICATION_RULE_ID,NOTIFICATION_TYPE,RECEIVING_CHANNEL,RECIPIENT_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"9999","0","AG45308","-1","1","134299","107000000000062032","0000","01"<endrec>
"9999","0","AG45500","-1","1","134300","107000000000062032","0000","01"<endrec>
"9999","0","AG45700","-1","1","134301","107000000000062032","0000","01"<endrec>
"9999","0","AG45701","-1","1","134302","107000000000062032","0000","01"<endrec>
"9999","0","AG45702","-1","1","134303","107000000000062032","0000","01"<endrec>
"9999","0","AG45703","-1","1","134304","107000000000062032","0000","01"<endrec>
"9999","0","AG45900","-1","1","134305","107000000000062032","0000","01"<endrec>
"9999","0","AG45901","-1","1","134306","107000000000062032","0000","01"<endrec>
"9999","0","AG45902","-1","1","134307","107000000000062032","0000","01"<endrec>
"9999","0","AG45903","-1","1","134308","107000000000062032","0000","01"<endrec>
"9999","0","AG45904","-1","1","134309","107000000000062032","0000","01"<endrec>
"9999","0","AG45905","-1","1","134310","107000000000062032","0000","01"<endrec>
"9999","0","AG45906","-1","1","134311","107000000000062032","0000","01"<endrec>
"9999","0","AG_EXT1004","-1","1","134312","107000000000062033","0000","01"<endrec>
"1002","0","TC30153","-1","1","138","107000000000035064","1001","01"<endrec>
"9999","0","TP30014","-1","1","139","107000000000053042","9999","01"<endrec>
"1001","0","TC30155","-1","1","142","101000000000000046","9999","01"<endrec>
"1002","0","TP40106","-1","1","142258","107000000000062039","1001","01"<endrec>
"1001","0","GV50002","-1","1","143","101000000000000046","9999","01"<endrec>
"1002","0","AG_EXT1164","-1","1","143258","107000000000070039","1001","01"<endrec>
"1002","0","AG_EXT1167","-1","1","143259","107000000000070040","1001","01"<endrec>
"1002","0","AG_EXT1197","-1","1","143260","107000000000070041","1001","01"<endrec>
"1002","0","AG_EXT1193","-1","1","143261","107000000000070042","1001","01"<endrec>
"1002","0","AG_EXT1147","-1","1","143262","107000000000070043","1001","01"<endrec>
"1002","0","AG_EXT1145","-1","1","143263","107000000000070044","1001","01"<endrec>
"1002","0","AG_EXT1199","-1","1","143264","107000000000070045","1001","01"<endrec>
"1002","0","AG_EXT1126","-1","1","143265","107000000000070046","1001","01"<endrec>
"1002","0","AG_EXT1200","-1","1","144258","107000000000071039","1001","01"<endrec>
"1002","0","AG_EXT1201","-1","1","144259","107000000000071040","1001","01"<endrec>
"1002","0","AG_EXT1202","-1","1","144260","107000000000071041","1001","01"<endrec>
"9999","0","AG_EXT1203","-1","1","145258","107000000000002238","9999","01"<endrec>
"1002","0","TC71003","-1","1","146258","107000000000075039","1001","01"<endrec>
"9999","0","TP40113","-1","1","161","101000000000000048","9999","01"<endrec>
"9999","0","IC14004","-1","1","162","101000000000000048","9999","01"<endrec>
"9999","0","GV50026","-1","1","163268","103000000000000044","1001","01"<endrec>
"9999","0","IC50056","-1","1","164268","103000000000000039","0000","01"<endrec>
"9999","0","TC30132","-1","1","165","101000000000000046","9999","01"<endrec>
"9999","0","IC50052","-1","1","166269","103000000000000039","0000","01"<endrec>
"9999","0","IC50052","-1","1","166270","103000000000000039","0000","02"<endrec>
"9999","0","IC40649","-1","1","167272","208000000000033244","9999","01"<endrec>
"9999","0","TC30091","-1","1","169271","103000000000000039","0000","01"<endrec>
"9999","0","IC11221","-1","1","174278","208000000000043238","1001","01"<endrec>
"9999","0","GV50054","-1","1","175278","103000000000000039","0000","01"<endrec>
