IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","208000000000021250","CancelGroupDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","208000000000021250","CancelIssuedVoucher","9999","01","0"<endrec>
"1","208000000000021250","CancelOrgDirectDebitMandateByPayee","9999","49","0"<endrec>
"1","208000000000021250","CancelOrgDirectDebitMandateByPayee","9999","50","0"<endrec>
"1","208000000000021250","CancelOrgDirectDebitMandateByPayer","9999","01","0"<endrec>
"1","208000000000021250","CancelOrgDirectDebitMandateByPayer","9999","02","0"<endrec>
"1","208000000000021250","CancelOrgDirectDebitMandateByPayer","9999","49","0"<endrec>
"1","208000000000021250","CancelOrgDirectDebitMandateByPayer","9999","50","0"<endrec>
"1","208000000000114238","CancelSpecificIssuedVoucher","9999","02","0"<endrec>
"1","102000000000000013","ChangeCustAcctStatus","9999","01","0"<endrec>
"1","102000000000000013","ChangeCustAcctStatus","9999","02","0"<endrec>
"1","102000000000000009","ChangeCustDevice","0000","02","0"<endrec>
"1","102000000000000009","ChangeCustDevice","9999","02.DEVICE.OLD","0"<endrec>
"1","102000000000000009","ChangeCustDevice","9999","02.s.OLD","0"<endrec>
"1","102000000000000068","ChangeCustKYC","0000","01","0"<endrec>
"1","102000000000000068","ChangeCustKYC","0000","02","0"<endrec>
"1","107000000000001025","ChangeCustLanguage","9999","02","0"<endrec>
"1","102000000000000016","ChangeCustPIN","0000","01","0"<endrec>
"1","102000000000000026","ChangeCustProduct","0000","02","0"<endrec>
"1","102000000000000026","ChangeCustProduct","0000","0201","0"<endrec>
"1","102000000000000048","ChangeCustRegisterBy","0000","02","0"<endrec>
"1","102000000000000031","ChangeCustRuleProfile","9999","02","0"<endrec>
"1","107000000000000031","ChangeCustSecretWord","9999","01","0"<endrec>
"1","102000000000000029","ChangeCustSegment","0000","02","0"<endrec>
"1","102000000000000072","ChangeCustStatus","9999","01","0"<endrec>
"1","102000000000000072","ChangeCustStatus","9999","02","0"<endrec>
"1","208000000000107239","ChangeGroupAcctRuleProfile","9999","7000","500000000000011802"<endrec>
"1","208000000000016240","ChangeGroupAcctStatus","9999","01","0"<endrec>
"1","208000000000016240","ChangeGroupAcctStatus","9999","02","0"<endrec>
"1","208000000000016240","ChangeGroupAcctStatus","9999","06","0"<endrec>
"1","208000000000099240","ChangeGroupDescription","9999","02","0"<endrec>
"1","208000000000099240","ChangeGroupDescription","9999","7000","500000000000011802"<endrec>
