CHARGE_ID,CHARGE_NAME,CHARGE_RULE,CHARGE_TYPE_ID,DFT_CHG_CFG_UNIQUE_ID,LOAD_DATA_TS,REASON_TYPE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"10016072","","-1","10000024","937171315","","10000059"<endrec>
"10018411","","-1","10000024","937187533","","10000059"<endrec>
