CHANGE_BY_OWNER,DISPLAY_IN_SEARCH_RESULT,ENABLED,IDENTITY_TYPE,IS_CASE_SENSITIVE,IS_UNIQUE,KYC_FIELD_ID,KYC_GROUP_ID,LOAD_DATA_TS,MANDATORY,MAP_FIELD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"0","0","1","5000","0","0","110021","1003","","0","field100"<endrec>
"0","0","1","5000","0","0","110040","1003","","0","field98"<endrec>
"","0","0","5000","0","0","110040","1007","","0","field73"<endrec>
"","0","0","5000","0","0","110040","310072","","0","field69"<endrec>
"","0","0","5000","0","0","110050","1007","","0","field76"<endrec>
"","0","0","5000","0","0","110050","310072","","0","field72"<endrec>
"0","0","1","5000","0","0","110090","1003","","0","field99"<endrec>
"0","0","1","5000","0","0","110100","1003","","0","field97"<endrec>
"0","0","1","5000","0","0","110110","1004","","0","field96"<endrec>
"0","0","1","5000","0","0","110120","1004","","0","field94"<endrec>
"0","0","1","5000","0","0","110130","1004","","0","field93"<endrec>
"0","0","1","5000","0","0","110170","1004","","0","field95"<endrec>
"","0","0","5000","0","0","110230","310020","","0","field91"<endrec>
"","0","0","5000","0","0","110240","310030","","0","field92"<endrec>
"","0","0","5000","0","0","110270","1004","","0","field90"<endrec>
"","0","0","5000","0","0","110281","1004","","0","field89"<endrec>
"","0","0","5000","0","0","110362","310061","","0","field86"<endrec>
"","0","0","5000","0","0","110372","310061","","0","field88"<endrec>
"","0","0","5000","0","0","110382","310061","","0","field84"<endrec>
"","0","0","5000","0","0","110392","310061","","0","field87"<endrec>
"","0","0","5000","0","0","110402","310061","","0","field85"<endrec>
"","0","0","5000","0","0","110412","1004","","0","field83"<endrec>
"","0","0","5000","0","0","110432","310061","","0","field80"<endrec>
"","0","0","5000","0","0","110442","310061","","0","field82"<endrec>
"","0","0","5000","0","0","110452","310061","","0","field81"<endrec>
"0","0","1","5000","0","0","110474","1003","","0","field79"<endrec>
"","0","0","5000","0","0","110474","1007","","0","field74"<endrec>
"","0","0","5000","0","0","110474","310072","","0","field70"<endrec>
"0","0","1","5000","0","0","110484","1003","","0","field78"<endrec>
"0","0","1","5000","0","0","110495","310072","","0","field67"<endrec>
"0","0","1","5000","0","0","110505","310072","","0","field65"<endrec>
"0","0","1","5000","0","0","110515","310072","","0","field63"<endrec>
"0","0","1","5000","0","0","110525","310072","","0","field66"<endrec>
"0","0","1","5000","0","0","110535","310072","","0","field64"<endrec>
"","0","0","5000","0","0","110746","310083","","0","field58"<endrec>
"0","0","1","5000","0","0","110846","310183","","0","field59"<endrec>
"0","0","1","5000","0","0","111146","1001","","0","field57"<endrec>
"0","0","1","5000","0","0","111156","1001","","0","field56"<endrec>
"0","0","1","5000","0","0","111166","1001","","0","field55"<endrec>
"","0","0","5000","0","0","202","200","","0","CertificateDetail.certificateType"<endrec>
"","0","0","5000","0","0","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","0","0","5000","0","0","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","0","0","5000","0","0","205","200","","0","CertificateDetail.expiryDate"<endrec>
"","0","0","5000","0","0","206","200","","0","CertificateDetail.status"<endrec>
"0","0","1","5000","0","0","302","300","","0","ContactDetail.contactType"<endrec>
"0","0","1","5000","0","0","303","300","","0","ContactDetail.firstName"<endrec>
"0","0","1","5000","0","0","304","300","","0","ContactDetail.secondName"<endrec>
"0","0","1","5000","0","0","305","300","","0","ContactDetail.surname"<endrec>
"0","0","1","5000","0","0","306","300","","0","ContactDetail.phoneNumber"<endrec>
"0","0","1","5000","0","0","307","300","","0","ContactDetail.idType"<endrec>
"0","0","1","5000","0","0","308","300","","0","ContactDetail.idNumber"<endrec>
"0","0","1","5000","0","0","309","300","","0","ContactDetail.email"<endrec>
"0","0","1","5000","0","0","310","300","","0","ContactDetail.status"<endrec>
"","","0","6000","","","102","100","","0","IdDetail.idType"<endrec>
"","","0","6000","","","103","100","","0","IdDetail.idNumber"<endrec>
"","","0","6000","","","104","100","","0","IdDetail.effectiveDate"<endrec>
"","","0","6000","","","105","100","","0","IdDetail.expiryDate"<endrec>
"","","0","6000","","","106","100","","0","IdDetail.idDocument"<endrec>
"","","0","6000","","","202","200","","0","CertificateDetail.certificateType"<endrec>
"","","0","6000","","","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","","0","6000","","","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","","0","6000","","","205","200","","0","CertificateDetail.expiryDate"<endrec>
"","","0","6000","","","302","300","","0","ContactDetail.contactType"<endrec>
"","","0","6000","","","303","300","","0","ContactDetail.firstName"<endrec>
"","","0","6000","","","304","300","","0","ContactDetail.secondName"<endrec>
"","","0","6000","","","305","300","","0","ContactDetail.surname"<endrec>
"","","0","6000","","","306","300","","0","ContactDetail.phoneNumber"<endrec>
"","","0","6000","","","307","300","","0","ContactDetail.idType"<endrec>
"","","0","6000","","","308","300","","0","ContactDetail.idNumber"<endrec>
"0","0","1","7000","0","0","1001","1001","","0","field93"<endrec>
"1","0","1","7000","0","0","1013","1007","","0","field18"<endrec>
"1","0","1","7000","0","0","1014","1007","","0","field19"<endrec>
"1","0","1","7000","0","0","1015","1007","","0","field20"<endrec>
"1","0","1","7000","0","0","1016","1007","","0","field21"<endrec>
"0","0","1","7000","0","0","1023","1011","","0","field100"<endrec>
"1","0","1","7000","0","0","110020","1001","","0","field94"<endrec>
"","0","1","8000","0","0","1001","1001","","1","field100"<endrec>
"","0","1","8000","0","0","1002","1001","","0","field97"<endrec>
"","0","1","8000","0","0","1003","1001","","1","field94"<endrec>
"","0","1","8000","0","0","1004","1001","","1","field99"<endrec>
"","0","1","8000","0","0","102","100","","1","IdDetail.idType"<endrec>
"","0","1","8000","0","0","103","100","","1","IdDetail.idNumber"<endrec>
"","0","0","8000","0","0","104","100","","0","IdDetail.effectiveDate"<endrec>
"","0","1","8000","0","0","105","100","","0","IdDetail.expiryDate"<endrec>
"","0","0","8000","0","0","106","100","","0","IdDetail.idDocument"<endrec>
"","","1","8000","","","107","100","","0","IdDetail.status"<endrec>
"","","1","8000","","","108","100","","0","IdDetail.issuedBy"<endrec>
"","0","0","8000","0","0","110010","1001","","0","field96"<endrec>
"","0","1","8000","0","0","110020","1001","","1","field93"<endrec>
"","0","1","8000","0","0","110030","1001","","1","field95"<endrec>
"","0","1","8000","0","0","110140","1001","","1","field98"<endrec>
"","0","0","8000","0","0","202","200","","0","CertificateDetail.certificateType"<endrec>
"","0","0","8000","0","0","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","0","0","8000","0","0","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","0","0","8000","0","0","205","200","","0","CertificateDetail.expiryDate"<endrec>
"","","1","8000","","","206","200","","0","CertificateDetail.status"<endrec>
"","0","0","8000","0","0","302","300","","0","ContactDetail.contactType"<endrec>
"","0","0","8000","0","0","303","300","","0","ContactDetail.firstName"<endrec>
"","0","0","8000","0","0","304","300","","0","ContactDetail.secondName"<endrec>
"","0","0","8000","0","0","305","300","","0","ContactDetail.surname"<endrec>
"","0","0","8000","0","0","306","300","","0","ContactDetail.phoneNumber"<endrec>
"","0","0","8000","0","0","307","300","","0","ContactDetail.idType"<endrec>
"","0","0","8000","0","0","308","300","","0","ContactDetail.idNumber"<endrec>
"","","1","8000","","","310","300","","0","ContactDetail.status"<endrec>
"","0","0","9000","0","0","102","100","","0","IdDetail.idType"<endrec>
"0","0","1","9000","0","0","1024","1012","","0","field30"<endrec>
"0","0","1","9000","0","0","1027","1015","","0","field10"<endrec>
"","0","0","9000","0","0","103","100","","0","IdDetail.idNumber"<endrec>
"","0","0","9000","0","0","104","100","","0","IdDetail.effectiveDate"<endrec>
"","0","0","9000","0","0","105","100","","0","IdDetail.expiryDate"<endrec>
"","0","0","9000","0","0","106","100","","0","IdDetail.idDocument"<endrec>
"","0","0","9000","0","0","107","100","","0","IdDetail.status"<endrec>
"","0","0","9000","0","0","108","100","","0","IdDetail.issuedBy"<endrec>
"","0","0","9000","0","0","110050","1003","","0","field100"<endrec>
"0","0","1","9000","0","0","110281","1004","","1","field99"<endrec>
"","0","0","9000","0","0","202","200","","0","CertificateDetail.certificateType"<endrec>
"","0","0","9000","0","0","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","0","0","9000","0","0","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","0","0","9000","0","0","205","200","","0","CertificateDetail.expiryDate"<endrec>
"","0","0","9000","0","0","206","200","","0","CertificateDetail.status"<endrec>
"0","0","1","9000","0","0","302","300","","0","ContactDetail.contactType"<endrec>
"0","0","1","9000","0","0","303","300","","0","ContactDetail.firstName"<endrec>
"0","0","1","9000","0","0","304","300","","0","ContactDetail.secondName"<endrec>
"","0","0","9000","0","0","305","300","","0","ContactDetail.surname"<endrec>
"","0","0","9000","0","0","306","300","","0","ContactDetail.phoneNumber"<endrec>
"0","0","1","9000","0","0","307","300","","0","ContactDetail.idType"<endrec>
"0","0","1","9000","0","0","308","300","","0","ContactDetail.idNumber"<endrec>
"0","0","1","9000","0","0","310","300","","0","ContactDetail.status"<endrec>
