CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LIMIT_ACCU_CONDITION_FLAG,LIMIT_EXPRESSION_ID,LIMIT_PATTERN,LIMIT_TYPE_ID,LIMIT_TYPE_NAME,STATUS,THRESHOLD_TYPE,TRANSACTION_ROLE_TYPE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"203000000000010005","2014-03-25 11:16:28.567000","Minimum Agent Store Float Account Balance","203000000000010005","2014-03-25 11:16:35.057000","","","1","28000","Minimum Agent Store Float Account Balance","30","1","D","30003266"<endrec>
"203000000000010005","2014-03-25 11:25:12.974000","Maximum Customer Deposit Value","203000000000010036","2014-06-06 19:11:30.102000","","","0","29000","Maximum Customer Deposit Value","30","0","C","30003269"<endrec>
"203000000000010005","2014-03-25 11:28:13.737000","Minimum Customer Deposit Value","203000000000010809","2015-08-24 19:29:47.321000","","","1","30000","Minimum Customer Deposit Value","50","0","C","30003271"<endrec>
"203000000000010005","2014-03-26 03:51:49.630000","Maximum Agent Store MMF Account Transfer Value","203000000000010005","2014-03-26 03:51:53.207000","","","0","1002000","Maximum Agent Store MMF Account Transfer Value","30","0","D","30004007"<endrec>
"203000000000010005","2014-03-26 03:54:57.579000","Minimum Agent Store MMF Account Transfer Value","203000000000010005","2014-03-26 03:55:04.858000","","","1","1003000","Minimum Agent Store MMF Account Transfer Value","30","0","D","30004009"<endrec>
"203000000000010005","2014-03-26 03:57:31.669000","Maximum Agent Store MMF Account Balance","203000000000010005","2014-03-26 03:57:36.139000","","","0","1004000","Maximum Agent Store MMF Account Balance","30","1","C","30004011"<endrec>
"203000000000010005","2014-03-26 03:58:50.266000","Minimum Agent Store MMF Account Balance","203000000000010005","2014-03-26 03:58:57.525000","","","1","1005000","Minimum Agent Store MMF Account Balance","30","1","D","30004013"<endrec>
"203000000000010005","2014-03-26 04:08:04.513000","Minimum Agent Store Business Withdrawal Value","203000000000010005","2014-03-26 04:10:14.924000","","","0","1006000","Minimum Agent Store Business Withdrawal Value","50","0","D","30004016"<endrec>
"203000000000010005","2014-03-26 04:10:09.471000","Minimum Agent Store Business Withdrawal Value","203000000000010005","2014-03-26 04:10:14.937000","","","1","1006000","Minimum Agent Store Business Withdrawal Value","30","0","D","30004017"<endrec>
"203000000000010005","2014-03-26 04:12:33.792000","Minimum Agent Business Deposit Value","203000000000010005","2014-03-26 04:12:41.687000","","","1","1007000","Minimum Agent Business Deposit Value","30","0","D","30004019"<endrec>
"203000000000010005","2014-03-26 04:14:11.750000","Maximum Agent Business Deposit Value","203000000000010005","2014-03-26 04:14:14.773000","","","0","1008000","Maximum Agent Business Deposit Value","30","0","D","30004021"<endrec>
"203000000000010005","2014-03-26 04:33:13.230000","Maximum Business MMF Account Transfer Value","203000000000010005","2014-03-26 04:33:18.670000","","","0","1009000","Maximum Business MMF Account Transfer Value","30","0","D","30004024"<endrec>
"203000000000010005","2014-03-26 04:39:38.154000","Minimum Business MMF Account Transfer Value","203000000000010005","2014-03-26 04:39:44.296000","","","1","1010000","Minimum Business MMF Account Transfer Value","30","0","D","30004026"<endrec>
"203000000000010005","2014-03-26 04:41:30.078000","Minimum Business MMF Account Balance","203000000000010005","2014-03-26 04:41:37.506000","","","1","1011000","Minimum Business MMF Account Balance","30","1","D","30004029"<endrec>
"203000000000010005","2014-03-26 04:43:04.572000","Maximum Business MMF Account Balance","203000000000010005","2014-03-26 04:43:09.149000","","","0","1012000","Maximum Business MMF Account Balance","30","1","C","30004031"<endrec>
"203000000000010005","2014-03-26 04:47:15.992000","Maximum Business Daily Transfer","203000000000010005","2014-03-26 04:47:20.896000","","","0","1013000","Maximum Business Daily Transfer","30","2","D","30004034"<endrec>
