BUSINESS_SCOPE,CHARGE_CATEGORY_TYPE,CHARGE_CREDIT_PARTY_MESSAGE,CHARGE_DEBIT_PARTY_MESSAGE,CHARGE_PAYER,CHARGE_PROFILE_FROMS,CHARGE_RECEIVER,CHARGE_TYPE_DESCRIPTION,CHARGE_TYPE_ID,CHARGE_TYPE_NAME,CHARGING_MODE,CREATE_OPER_ID,CREATE_OPER_TIME,DYNAMIC_VALUE,EFFECTIVE_MODE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NEED_ALTERNATIVE_CHARGE,PRINCIPLE_TYPE,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"3","1","M-PESA ATM Voucher Request Charge from {ChargePayer}","M-PESA ATM Voucher Request Charge","1001","1001","1005","M-PESA ATM Voucher Request Charge","10000036","M-PESA ATM Voucher Request Charge","","203000000000010002","2014-03-19 15:53:40.886000","","0","203000000000010002","2014-03-19 15:55:35.673000","","0","8","50","20289"<endrec>
"3","1","M-PESA ATM Voucher Request Charge from {ChargePayer}","M-PESA ATM Voucher Request Charge","1001","1001","1005","M-PESA ATM Voucher Request Charge","10000036","M-PESA ATM Voucher Request Charge","","203000000000010002","2014-03-19 15:55:28.567000","","0","203000000000010002","2014-03-20 10:28:08.617000","","0","27","50","20290"<endrec>
"2","3","Registration Commission","Registration Commission Paid to {ChargeReceiver}","1005","1006","1006","Registration Commission at First Deposit","10000037","Registration Commission at First Deposit","","203000000000010002","2014-03-20 10:03:55.760000","","1","203000000000010002","2014-03-20 10:04:01.767000","","0","20006","30","20297"<endrec>
"3","1","M-PESA ATM Voucher Request Charge from {ChargePayer}","M-PESA ATM Voucher Request Charge","1001","1001","1005","M-PESA ATM Voucher Request Charge","10000036","M-PESA ATM Voucher Request Charge","","203000000000010002","2014-03-20 10:28:00.863000","","0","203000000000010002","2014-03-20 10:28:08.632000","","0","8","30","20300"<endrec>
"3","1","Statement Request Charge from {ChargePayer}","Statement Request Charge","1001","1001","1005","Statement Request Charge","10000038","Statement Request Charge","","203000000000010002","2014-03-20 13:45:12.451000","","0","203000000000010002","2014-03-20 13:45:18.584000","","0","27","30","20309"<endrec>
"3","2","Register Customer Commission from SP","Register Customer Charge to {ChargeReceiver}","1005","1001","1001","Register Customer Charge","10000039","Register Customer Charge","","203000000000010002","2014-03-20 14:01:03.232000","","0","203000000000010002","2014-03-20 14:01:08.466000","","0","27","30","20311"<endrec>
"3","1","Change PIN request by {Receiver}","Organization Operator PIN Change","1002","1002","1005","Change PIN at Agent Till Charge","10000016","Change PIN at Agent Till Charge","","203000000000010002","2014-03-21 14:31:30.207000","","0","203000000000010002","2014-03-21 14:31:35.761000","","0","27","30","20378"<endrec>
"3","1","Change PIN request by {Receiver}","Customer PIN change","1002","1002","1005","Customer Change PIN Charge","10000015","Customer Change PIN Charge","","203000000000010002","2014-03-21 14:31:54.618000","","0","203000000000010002","2014-03-21 14:32:03.517000","","0","27","30","20379"<endrec>
"3","1","New PIN Reset For {ChargePayer} Charge","New PIN Reset For {ChargePayer} Charge","1002","1001","1005","CCH Reset Organization Operator PIN Charge","10000042","CCH Reset Organization Operator PIN Charge","","203000000000010002","2014-03-28 05:47:33.808000","","0","203000000000010002","2014-03-28 05:47:38.066000","","0","27","30","30005065"<endrec>
"3","1","New PIN Reset For {ChargePayer} Charge","New PIN Reset For {ChargePayer} Charge","1002","1002","1005","CCH Reset Customer PIN Charge","10000043","CCH Reset Customer PIN Charge","","203000000000010002","2014-03-28 05:49:04.655000","","0","203000000000010002","2014-03-28 05:49:19.671000","","0","27","30","30005066"<endrec>
"2","5","Fee for B2C Payment Withdrawal Charge Paid To Customer","Fee for B2C Payment Withdrawal Charge Paid To Customer","1004","1004","1003","Fee For B2C Payment Withdrawal Charge Paid To Customer","10000018","Fee For B2C Payment Withdrawal Charge Paid To Customer","","203000000000010002","2014-04-03 14:23:12.796000","","0","203000000000010002","2014-04-03 14:30:57.202000","","0","20004","30","30011093"<endrec>
"2","1","Customer Send Money To Unregistered User Charge from {DebitParty}","Customer Send Money To Unregistered User Charge","1004","1004","1005","Send Money Charge","10000047","Send Money Charge","","203000000000010002","2014-04-03 14:28:44.233000","","0","203000000000010002","2014-04-07 11:14:56.712000","","0","20020","50","30011096"<endrec>
"2","1","B2C Payment Charge","B2C Payment Charge","1004","1004","1005","[Web]Fee for B2C Payment","10000050","[Web]Fee for B2C Payment","","203000000000010002","2014-04-07 10:43:01.507000","","0","203000000000010002","2014-04-07 10:46:09.007000","","0","20022","30","30013168"<endrec>
"2","5","B2C Payment Withdrawal Charge Received","B2C Payment Withdrawal Charge Paid To Customer","1004","1004","1003","[Web]Fee For B2C Payment Withdrawal Charge Paid To Customer","10000051","[Web]Fee For B2C Payment Withdrawal Charge Paid To Customer","","203000000000010002","2014-04-07 11:44:31.132000","","0","203000000000010002","2014-04-07 11:45:10.460000","","0","20022","30","30013185"<endrec>
"2","4","Fee For B2C Payment To Commission Payable Account","Fee For B2C Payment To Commission Payable Account","1005","1004","1005","[Web]B2C Payment Liable Commission","10000054","[Web]B2C Payment Liable Commission","","203000000000010002","2014-04-10 11:07:01.559000","","0","203000000000010002","2014-04-10 11:09:08.237000","","0","20022","30","30015646"<endrec>
"2","4","Customer Send Money To Unregistered User Liable Commission","Customer Send Money To Unregistered User Liable Commission","1005","1004","1005","Send Money Liable Commission","10000055","Send Money Liable Commission","","203000000000010002","2014-04-10 11:07:10.951000","","0","203000000000010002","2014-04-10 11:09:08.950000","","0","20020","50","30015647"<endrec>
"2","2","Withdrawal Commission","Withdrawal Commission","1005","1003","1003","Withdrawal Commission","10000056","Withdrawal Commission","","203000000000010002","2014-04-10 11:08:20.123000","","0","203000000000010002","2014-04-10 11:09:08.504000","","0","20008","30","30015648"<endrec>
"2","4","Fee For B2C Payment To Commission Payable Account","Fee For B2C Payment To Commission Payable Account","1005","1004","1005","B2C Payment Liable Commission","10000057","B2C Payment Liable Commission","","203000000000010002","2014-04-10 11:08:28.504000","","0","203000000000010002","2014-04-10 11:09:08.715000","","0","20004","30","30015649"<endrec>
"3","1","FI Organization Savings Client Balance Request Charge","FI Organization Savings Client Balance Request Charge","1001","1001","1005","FI Organization Savings Client Balance Request Charge","10000064","FSI Balance Request Charge","","203000000000010063","2014-10-01 10:19:31.333000","","0","203000000000010063","2014-10-01 10:36:34.504000","","0","28","30","30099666"<endrec>
"3","1","FI Organization Savings Clent Check Credit Limit Charge","FI Organization Savings Clent Check Credit Limit Charge","1001","1001","1005","FI Organization Savings Clent Check Credit Limit Charge","10000065","FSI Check Credit Limit Charge","","203000000000010063","2014-10-01 10:31:13.792000","","0","203000000000010063","2014-10-01 11:34:13.058000","","0","30","30","30099668"<endrec>
"2","1","FI Organization Savings Client Final Payout Charge","FI Organization Savings Client Final Payout Charge","1004","1003","1005","FI Organization Savings Client Final Payout Charge","10000066","FSI Final Payout Charge","","203000000000010063","2014-10-01 10:39:24.498000","","0","203000000000010063","2014-10-01 11:34:31.321000","","0","20049","30","30099669"<endrec>
"2","1","FI Organization Savings Client Loan Repayment from Saving Charge","FI Organization Savings Client Loan Repayment from Saving Charge","1004","1004","1005","FI Organization Savings Client Loan Repayment from Saving Charge","10000067","FSI Loan Repayment from Savings Charge","","203000000000010063","2014-10-01 10:53:17.454000","","0","203000000000010063","2014-10-01 11:34:55.975000","","0","20052","30","30099675"<endrec>
"3","1","FI Organization Savings Client Statement Request Charge","FI Organization Savings Client Statement Request Charge","1001","1001","1005","FI Organization Savings Client Loan Statement Request Charge","10000068","FSI Loan Statement Request Charge","","203000000000010063","2014-10-01 10:55:47.436000","","0","203000000000010063","2014-10-01 11:35:04.216000","","0","29","30","30099679"<endrec>
"2","1","Savings Client Deposit Charge","Savings Client Deposit Charge","1003","1004","1005","Savings Client Deposit Charge","10000069","Savings Client Deposit Charge","","203000000000010063","2014-10-01 10:56:46.586000","","0","203000000000010063","2014-10-01 11:35:25.114000","","0","20046","30","30099681"<endrec>
"3","1","Savings Client Withdrawl Request Charge","Savings Client Withdrawl Request Charge","1001","1001","1005","Savings Client Balance Request Charge","10000072","Savings Client Balance Request Charge","","203000000000010063","2014-10-01 11:16:13.813000","","0","203000000000010164","2014-12-01 15:37:16.925000","","0","28","50","30099691"<endrec>
"2","1","FSI Deposit Charge","FSI Deposit Charge","1004","1004","1005","FSI Deposit Charge","10000076","FSI Deposit Charge","","203000000000010063","2014-10-01 11:24:41.082000","","0","203000000000010063","2014-10-01 11:34:19.396000","","0","20046","30","30099697"<endrec>
"2","1","FSI Withdraw Charge","FSI Withdraw Charge","1003","1003","1005","FSI Withdraw Charge","10000077","FSI Withdraw Charge","","203000000000010063","2014-10-01 11:25:45.856000","","0","203000000000010063","2014-10-01 11:35:09.597000","","0","20051","30","30099698"<endrec>
"2","1","FSI Loan Repayment Charge","FSI Loan Repayment Charge","1004","1004","1005","FSI Loan Repayment Charge","10000078","FSI Loan Repayment Charge","","203000000000010063","2014-10-01 11:27:03.142000","","0","203000000000010063","2014-10-01 11:34:43.728000","","0","20047","30","30099701"<endrec>
"2","1","FSI Deposit Charge By Organization","FSI Deposit Charge By Organization","1003","1004","1005","FSI Deposit Charge By Organization","10000080","FSI Deposit Charge By Organization","","203000000000010063","2014-10-01 11:30:48.342000","","0","203000000000010063","2014-10-01 11:34:25.373000","","0","20046","30","30099706"<endrec>
