CHARGE_PROFILE_ID,PRODUCT_ID,SEGMENT_ID,TRUST_LEVEL_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"20134","-1","510252","810041"<endrec>
"20326","-1","510552","810542"<endrec>
"20197","10","510062","810062"<endrec>
"20184","9","510062","810041"<endrec>
