ACCOUNT_TYPE,CURRENCY,FIXED_AMOUNT,FUNDING_SOURCE,LIABILITY_ORDER,LOAD_DATA_TS,MAX_MIN_BALANCE_TRIGGER,REASON_INDEX,SETTLEMENT_ACCOUNT_TYPE,SETTLEMENT_ACCOUNT_TYPE_ORDER,SETTLEMENT_DETAIL_ID,SETTLEMENT_PROFILE_UNIQUE_ID,SETTLEMENT_TRIGGER_BALANCE,SETTLEMENT_TYPE,TARGET_BALANCE,TRIGGER_SWITCH,TXN_INDEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"10015","TZS","","","","","0","10000226","10089","1","164","30071518","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","165","30071518","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","166","30071516","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","167","30071516","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","168","30071516","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","169","30071516","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","172","937133890","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","173","937133890","","4","0","0","20039"<endrec>
"10017","TZS","","","","","0","10000322","10089","","174","937133890","2000000000","1","1000000000","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","175","937133890","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","176","937133891","","3","-9000000000","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","177","937133891","","4","-9000000000","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","178","937133891","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","","179","937133891","0","1","50000000","0","20039"<endrec>
"10138","TZS","","","1","","0","10000321","10089","","180","937133891","500000000","2","1500000000","1","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","181","937133891","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","182","937133892","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","183","937133892","","4","0","0","20039"<endrec>
"10022","TZS","","","","","1","10000227","10089","","184","937133892","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","185","937133892","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","186","937133893","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","187","937133893","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","188","937133893","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","189","937133893","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","190","937133894","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","191","937133894","","4","0","0","20039"<endrec>
"10152","TZS","","","","","0","10000349","10089","","192","937133894","0","1","0","0","20039"<endrec>
"10027","TZS","","","","","0","10000351","10089","1","193","937133894","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","194","937133894","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","195","937133895","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","196","937133895","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","197","937133895","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","198","937133895","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","199","937133896","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","200","937133896","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","201","937133896","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","202","937133896","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","203","937133897","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","204","937133897","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","205","937133897","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","206","937133897","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","207","937133897","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","208","937133898","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","209","937133898","","4","0","0","20039"<endrec>
"10015","TZS","","","","","1","10000226","10089","","210","937133898","","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","211","937133898","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","212","937133899","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","213","937133899","","4","0","0","20039"<endrec>
"10015","TZS","","","","","1","10000226","10089","1","214","937133899","1000000000","1","0","1","20039"<endrec>
"10022","TZS","","","","","1","10000227","10089","1","215","937133899","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","216","937133899","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","217","937133900","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","218","937133900","","4","0","0","20039"<endrec>
"10015","TZS","","","","","1","10000226","10089","1","219","937133900","1000000000","1","0","1","20039"<endrec>
"10022","TZS","","","","","1","10000227","10089","1","220","937133900","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","221","937133900","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","222","937133901","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","223","937133901","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","224","937133901","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","225","937133901","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","226","937133902","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","227","937133902","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","228","937133902","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","229","937133902","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","230","937133903","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","231","937133903","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","232","937133903","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","233","937133903","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","234","937133904","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","235","937133904","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","236","937133904","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","237","937133904","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","238","937133904","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","242","30071538","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","243","30071538","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","244","30071538","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","245","30071538","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","246","30076490","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","247","30076490","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","248","30076490","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","249","30076490","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","250","30076490","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","251","30071539","","3","0","0","20039"<endrec>
