ERROR_CODE,IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"*","1","208000000000034239","QueryGroupTransactions","9999","01","0"<endrec>
"*","1","208000000000034239","RegisterCard4Customer","0000","01","0"<endrec>
"*","1","208000000000034239","RegisterCard4Customer","0000","02","0"<endrec>
"*","1","208000000000034242","RemoveGroupMember","9999","7000","500000000000011802"<endrec>
"*","1","107000000000029057","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"*","1","208000000000033245","SubscribeSavingPlanForCustomer","9999","15","0"<endrec>
"*","1","208000000000034242","SubscribeSavingPlanForGroup","9999","01","0"<endrec>
"*","1","208000000000028238","SubscribeSavingPlanForOrg","9999","01","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForCustomer","0000","02","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForCustomer","0000","06","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForGroup","0000","01","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForOrg","0000","01","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForOrg","0000","02","0"<endrec>
"*","1","208000000000034242","UnSubscribeSavingPlanForOrg","0000","06","0"<endrec>
"*","1","102000000000000098","UnlockCustPIN","9999","01","0"<endrec>
"*","1","107000000000068083","UnlockFixSavingAccount","1001","01","0"<endrec>
"*","1","107000000000068084","UnlockTargetSavingAccount","1001","01","0"<endrec>
"*","1","208000000000034239","UpdatePrefContact","0000","01","0"<endrec>
"*","1","107000000000002175","UpgradeCustomer","1001","01","0"<endrec>
"AG45010","1","102000000000000115","CCHChangeCustKYC","1001","01","0"<endrec>
"AG45023","1","107000000000002060","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"AG45023","1","107000000000002197","ChangeCustPIN","1001","01","0"<endrec>
"AG_EXT1000","1","102000000000000115","CCHChangeCustKYC","1001","01","0"<endrec>
"AG_EXT1001","1","102000000000000106","CCHChangeCustKYC","1001","01","0"<endrec>
"AG_EXT1001","1","102000000000000106","UnlockOrgOperatorPIN","1001","01","0"<endrec>
"BCS50007","1","208000000000021254","RegisterCard4Org","9999","01","0"<endrec>
"BCS50094","1","208000000000034239","ActiveOrgFSIProducts","0000","01","0"<endrec>
"BCS50179","1","107000000000002157","CCHUnlockCustPIN","1001","01","0"<endrec>
"BCS50307","1","208000000000034242","AddPrefContact","0000","02","0"<endrec>
"BCS50308","1","208000000000034242","AddPrefContact","0000","01","0"<endrec>
"BCS50308","1","208000000000034242","AddPrefContact","0000","02","0"<endrec>
"BCS50308","1","208000000000034242","AddPrefContact","0000","0201","0"<endrec>
"BCS50308","1","208000000000034242","AddPrefContact","0000","06","0"<endrec>
"BCS50308","1","208000000000034239","UpdatePrefContact","9999","01","0"<endrec>
"EXVF001","1","107000000000076039","CreateCustomer","1001","01","0"<endrec>
"EXVF002","1","107000000000076040","CreateCustomer","1001","01","0"<endrec>
"EXVF003","1","107000000000076041","CreateCustomer","1001","01","0"<endrec>
"EXVF004","1","107000000000076042","CreateCustomer","1001","01","0"<endrec>
"EXVF005","1","107000000000076043","CreateCustomer","1001","01","0"<endrec>
"EXVF006","1","107000000000076044","CreateCustomer","1001","01","0"<endrec>
"EXVF007","1","107000000000076045","CreateCustomer","1001","01","0"<endrec>
"EXVF008","1","107000000000076046","CreateCustomer","1001","01","0"<endrec>
"GV50005","1","102000000000000107","CCHUnlockCustPIN","1001","01","0"<endrec>
"GV50005","1","102000000000000111","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"GV50006","1","102000000000000098","CCHChangeCustKYC","1001","01","0"<endrec>
"GV50006","1","102000000000000098","CCHIdentifyCustomer","1001","01","0"<endrec>
"GV50006","1","102000000000000098","CCHResetCustPIN","1001","01","0"<endrec>
"GV50006","1","102000000000000098","CCHUnlockCustPIN","1001","01","0"<endrec>
"GV50006","1","107000000000002067","CreateCustomer","1001","01","0"<endrec>
"GV50006","1","107000000000002067","UpgradeCustomer","1001","01","0"<endrec>
"GV50012","1","107000000000046032","UpdateOrgOperatorMenu","1001","01","0"<endrec>
"GV50022","1","107000000000002174","CreateOrgOperator","1001","01","0"<endrec>
"GV50023","1","107000000000002061","CreateOrgOperator","1001","01","0"<endrec>
"GV50026","1","107000000000038032","CCHIdentifyCustomer","1001","01","0"<endrec>
"GV50026","1","208000000000034239","ChangeSPOperatorKYC","0000","02","0"<endrec>
"GV50052","1","107000000000037032","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"GV50053","1","107000000000039032","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"GV50053","1","107000000000039032","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"GV50053","1","107000000000008046","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"GV50054","1","102000000000000119","CCHChangeCustKYC","9999","01","0"<endrec>
"GV50054","1","102000000000000119","CCHIdentifyCustomer","9999","01","0"<endrec>
"GV50054","1","107000000000008046","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"GV50054","1","102000000000000119","CCHResetCustPIN","9999","01","0"<endrec>
"GV50054","1","107000000000040058","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"GV50054","1","102000000000000119","CCHUnlockCustPIN","9999","01","0"<endrec>
"GV50054","1","107000000000008046","CCHUnlockOrgOperatorPIN","9999","01","0"<endrec>
"GV50054","1","102000000000000103","ChangeOrgOperatorKYC","9999","01","0"<endrec>
"GV50054","1","102000000000000103","ChangeOrgOperatorOwnKYC","9999","01","0"<endrec>
"GV50080","1","208000000000111238","AddGroupMember","9999","01","0"<endrec>
"GV50080","1","208000000000111238","AddGroupMember","9999","7000","500000000000011902"<endrec>
"GV50080","1","208000000000111238","ApproveGroupTask","9999","01","0"<endrec>
"GV50080","1","208000000000111238","ChangeGroupMemberRole","9999","01","0"<endrec>
"GV50080","1","208000000000111238","ChangeGroupMemberRole","9999","7000","500000000000011902"<endrec>
"GV50080","1","208000000000111238","RemoveGroupMember","9999","01","0"<endrec>
"GV50081","1","208000000000109239","AddGroupMember","9999","01","0"<endrec>
"GV50081","1","208000000000110239","ChangeGroupMemberRole","9999","01","0"<endrec>
"GV50081","1","208000000000110238","RemoveGroupMember","9999","7000","500000000000011803"<endrec>
