ERROR_CODE,IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"TP40087","1","107000000000008033","ChangeOrgOperatorOwnKYC","9999","01","0"<endrec>
"TP40087","1","107000000000008033","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ChangeTillLanguage","1001","01","0"<endrec>
"TP40087","1","107000000000008033","CreateCustomer","1001","01","0"<endrec>
"TP40087","1","107000000000008033","CreateOrgOperator","1001","01","0"<endrec>
"TP40087","1","107000000000008033","OrgActivateCard","0000","01","0"<endrec>
"TP40087","1","107000000000008033","UnlockFixSavingAccount","1001","01","0"<endrec>
"TP40087","1","107000000000008033","UnlockTargetSavingAccount","1001","01","0"<endrec>
"TP40087","1","107000000000008033","UpgradeCustomer","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ActivateCust","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ActivateOperator","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ActivateTill","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ActiveFSIKCBProducts","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ActiveFSIProducts","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHChangeCustKYC","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHIdentifyCustomer","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHResetCustPIN","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ChangeCustLanguage","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ChangeCustPIN","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ChangeCustSecretWord","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"TP40098","1","107000000000008036","ChangeTillLanguage","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CreateCustomer","1001","01","0"<endrec>
"TP40098","1","107000000000008036","CreateOrgOperator","1001","01","0"<endrec>
"TP40098","1","107000000000008036","UnlockFixSavingAccount","1001","01","0"<endrec>
"TP40098","1","107000000000008036","UnlockTargetSavingAccount","1001","01","0"<endrec>
"TP40098","1","107000000000008036","UpgradeCustomer","1001","01","0"<endrec>
"TP40100","1","107000000000021035","ChangeCustSecretWord","1001","01","0"<endrec>
"TP40100","1","107000000000021032","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"TP40101","1","107000000000021036","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"TP40101","1","107000000000021035","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"TP40106","1","107000000000062039","ActivateCust","1001","01","0"<endrec>
"TP40106","1","107000000000062039","ActivateOperator","1001","01","0"<endrec>
"TP40106","1","107000000000062039","ChangeCustPIN","1001","01","0"<endrec>
"TP40106","1","107000000000008049","ChangeCustSecretWord","1001","01","0"<endrec>
"TP40106","1","107000000000062039","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"TP40106","1","107000000000008049","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"TP40107","1","107000000000008048","ChangeCustPIN","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ActivateCust","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ActivateOperator","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ActivateTill","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ActiveFSIKCBProducts","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ActiveFSIProducts","1001","01","0"<endrec>
"TP40113","1","102000000000000119","CCHChangeCustKYC","9999","01","0"<endrec>
"TP40113","1","102000000000000119","CCHIdentifyCustomer","9999","01","0"<endrec>
"TP40113","1","102000000000000119","CCHIdentifyOrgOperator","9999","01","0"<endrec>
"TP40113","1","102000000000000119","CCHResetCustPIN","9999","01","0"<endrec>
"TP40113","1","102000000000000119","CCHResetOrgOperatorPIN","9999","01","0"<endrec>
"TP40113","1","102000000000000119","CCHUnlockCustPIN","9999","01","0"<endrec>
"TP40113","1","102000000000000119","CCHUnlockOrgOperatorPIN","9999","01","0"<endrec>
"TP40113","1","107000000000008037","ChangeCustLanguage","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ChangeCustPIN","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ChangeCustSecretWord","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"TP40113","1","107000000000008037","ChangeTillLanguage","1001","01","0"<endrec>
"TP40113","1","107000000000008037","CreateCustomer","1001","01","0"<endrec>
"TP40113","1","107000000000008037","CreateOrgOperator","1001","01","0"<endrec>
"TP40113","1","107000000000008037","UnlockFixSavingAccount","1001","01","0"<endrec>
"TP40113","1","107000000000008037","UnlockTargetSavingAccount","1001","01","0"<endrec>
"TP40113","1","107000000000008037","UpgradeCustomer","1001","01","0"<endrec>
"TP40114","1","102000000000000107","CCHUnlockCustPIN","9999","01","0"<endrec>
"TP40114","1","107000000000002134","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"TP40119","1","107000000000024035","ChangeCustLanguage","1001","01","0"<endrec>
"TP40120","1","107000000000002142","CCHResetCustPIN","1001","01","0"<endrec>
"TP40120","1","107000000000002150","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP40153","1","107000000000009036","ChangeOrgOperatorStatus","0000","01","0"<endrec>
"TP40226","1","107000000000024035","ChangeCustLanguage","1001","01","0"<endrec>
"TP40226","1","208000000000034242","ChangeOrgParentShortCode","9999","02","0"<endrec>
"TP40226","1","208000000000034242","CreateIdentityBankAccount","9999","01","0"<endrec>
"TP40266","1","107000000000050032","ActiveFSIProducts","1001","01","0"<endrec>
"TP40266","1","107000000000025032","UpdateCustMenu","1011","01","0"<endrec>
"TP40266","1","107000000000025032","UpdateOrgOperatorMenu","1001","01","0"<endrec>
"TP40276","1","107000000000007036","ActivateCust","1001","01","0"<endrec>
"TP40281","1","102000000000000116","CCHChangeCustKYC","1001","01","0"<endrec>
"TP40281","1","107000000000002040","CreateCustomer","1001","01","0"<endrec>
"TP40281","1","107000000000002040","UpgradeCustomer","1001","01","0"<endrec>
"TP40288","1","102000000000000098","CCHChangeCustKYC","1001","01","0"<endrec>
"TP40288","1","102000000000000098","CCHIdentifyCustomer","1001","01","0"<endrec>
"TP40288","1","102000000000000098","CCHResetCustPIN","1001","01","0"<endrec>
"TP40288","1","102000000000000098","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP40306","1","107000000000008033","ReverseTransaction","9999","01","0"<endrec>
"TS28009","1","107000000000002195","ChangeCustPIN","1001","01","0"<endrec>
"TS28009","1","107000000000002196","ChangeCustSecretWord","1001","01","0"<endrec>
"TS28009","1","107000000000002196","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"UMC60510","1","102000000000000099","ApproveGroupTask","9999","01","0"<endrec>
