ENTITY_ID,ENTITY_TYPE,LOAD_DATA_TS,UNIQUE_ID,VERSION_NUMBER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"102000000000000026","NOTIFICATION_TYPE","","10200025","1"<endrec>
"102000000000000027","NOTIFICATION_TYPE","","10200026","1"<endrec>
"102000000000000028","NOTIFICATION_TYPE","","10200027","1"<endrec>
"102000000000000029","NOTIFICATION_TYPE","","10200028","1"<endrec>
"102000000000000030","NOTIFICATION_TYPE","","10200029","1"<endrec>
"102000000000000031","NOTIFICATION_TYPE","","10200030","1"<endrec>
"102000000000000032","NOTIFICATION_TYPE","","10200031","1"<endrec>
"102000000000000034","NOTIFICATION_TYPE","","10200032","1"<endrec>
"102000000000000035","NOTIFICATION_TYPE","","10200033","1"<endrec>
"102000000000000036","NOTIFICATION_TYPE","","10200034","1"<endrec>
"102000000000000037","NOTIFICATION_TYPE","","10200035","1"<endrec>
"102000000000000038","NOTIFICATION_TYPE","","10200036","1"<endrec>
"102000000000000039","NOTIFICATION_TYPE","","10200037","1"<endrec>
"102000000000000040","NOTIFICATION_TYPE","","10200038","1"<endrec>
"102000000000000041","NOTIFICATION_TYPE","","10200039","1"<endrec>
"102000000000000042","NOTIFICATION_TYPE","","10200040","1"<endrec>
"102000000000000043","NOTIFICATION_TYPE","","10200041","1"<endrec>
"102000000000000044","NOTIFICATION_TYPE","","10200042","1"<endrec>
"102000000000000045","NOTIFICATION_TYPE","","10200043","1"<endrec>
"102000000000000046","NOTIFICATION_TYPE","","10200044","1"<endrec>
"102000000000000047","NOTIFICATION_TYPE","","10200045","1"<endrec>
"102000000000000048","NOTIFICATION_TYPE","","10200046","1"<endrec>
"102000000000000049","NOTIFICATION_TYPE","","10200047","1"<endrec>
"102000000000000050","NOTIFICATION_TYPE","","10200048","1"<endrec>
"102000000000000051","NOTIFICATION_TYPE","","10200049","1"<endrec>
"102000000000000052","NOTIFICATION_TYPE","","10200050","1"<endrec>
"102000000000000053","NOTIFICATION_TYPE","","10200051","1"<endrec>
"102000000000000054","NOTIFICATION_TYPE","","10200052","1"<endrec>
"102000000000000055","NOTIFICATION_TYPE","","10200053","1"<endrec>
"102000000000000056","NOTIFICATION_TYPE","","10200054","1"<endrec>
"102000000000000057","NOTIFICATION_TYPE","","10200055","1"<endrec>
"102000000000000058","NOTIFICATION_TYPE","","10200056","1"<endrec>
"102000000000000059","NOTIFICATION_TYPE","","10200057","1"<endrec>
"102000000000000060","NOTIFICATION_TYPE","","10200058","1"<endrec>
"102000000000000061","NOTIFICATION_TYPE","","10200059","1"<endrec>
"102000000000000062","NOTIFICATION_TYPE","","10200060","1"<endrec>
"102000000000000067","NOTIFICATION_TYPE","","10200061","1"<endrec>
"102000000000000068","NOTIFICATION_TYPE","","10200062","1"<endrec>
"102000000000000069","NOTIFICATION_TYPE","","10200063","1"<endrec>
"102000000000000070","NOTIFICATION_TYPE","","10200064","1"<endrec>
"102000000000000071","NOTIFICATION_TYPE","","10200065","1"<endrec>
"102000000000000072","NOTIFICATION_TYPE","","10200066","1"<endrec>
"102000000000000073","NOTIFICATION_TYPE","","10200067","1"<endrec>
"102000000000000074","NOTIFICATION_TYPE","","10200068","1"<endrec>
"102000000000000075","NOTIFICATION_TYPE","","10200069","1"<endrec>
"102000000000000076","NOTIFICATION_TYPE","","10200070","1"<endrec>
"102000000000000077","NOTIFICATION_TYPE","","10200071","1"<endrec>
"102000000000000078","NOTIFICATION_TYPE","","10200072","1"<endrec>
"102000000000000079","NOTIFICATION_TYPE","","10200073","1"<endrec>
"102000000000000080","NOTIFICATION_TYPE","","10200074","1"<endrec>
"102000000000000081","NOTIFICATION_TYPE","","10200075","1"<endrec>
"102000000000000082","NOTIFICATION_TYPE","","10200076","1"<endrec>
"102000000000000083","NOTIFICATION_TYPE","","10200077","1"<endrec>
"102000000000000084","NOTIFICATION_TYPE","","10200078","1"<endrec>
"102000000000000085","NOTIFICATION_TYPE","","10200079","1"<endrec>
"102000000000000086","NOTIFICATION_TYPE","","10200080","1"<endrec>
"102000000000000087","NOTIFICATION_TYPE","","10200087","1"<endrec>
"102000000000000088","NOTIFICATION_TYPE","","10200088","1"<endrec>
"102000000000000089","NOTIFICATION_TYPE","","10200089","1"<endrec>
"102000000000000090","NOTIFICATION_TYPE","","10200090","1"<endrec>
"102000000000000091","NOTIFICATION_TYPE","","10200091","1"<endrec>
"102000000000000092","NOTIFICATION_TYPE","","10200092","1"<endrec>
"102000000000000093","NOTIFICATION_TYPE","","10200093","1"<endrec>
"102000000000000094","NOTIFICATION_TYPE","","10200094","1"<endrec>
