ACCOUNT_TYPE,ACCUMULATING_SUBJECT,ACCUMULATING_TYPE,ACCUMULATOR_ID,ADDITIONAL_CONDITION,APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CYCLES_OF_VALUE_STORAGE,CYCLE_TYPE,DAYS_OF_VALUE_STORAGE,DESCRIPTION,EXPIREDATE,FAILURE_ACTION,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOCK_RETRY_INTERVAL_1,LOCK_RETRY_INTERVAL_2,LOCK_RETRY_TIMES_1,LOCK_RETRY_TIMES_2,LOCK_TYPE,NAME,SATURATION_ACTION,SATURATION_AMOUNT,SATURATION_COUNT,STATUS,SUPPORT_ROLLBACK,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"-1","11","2","11001","","2016-08-03 00:00:00.000000","203000000000010806","2016-08-03 12:35:07.000000","TZS","1","1","-1","Accumulator_Count_Not","2050-08-01 00:00:00.000000","","1000","203000000000010806","2016-08-03 12:35:15.923000","","","","","0","Accumulator_Count_Not","","","","30","1","937218570"<endrec>
"-1","11","2","11002","","2016-08-08 00:00:00.000000","203000000000010806","2016-08-08 10:42:52.000000","TZS","1","1","-1","Acc_Full_Lock","2016-08-08 00:00:00.000000","","1000","203000000000010806","2016-08-08 11:51:54.141000","","","","","0","Acc_Full_Lock","","","","50","1","937218633"<endrec>
"-1","11","2","11002","","2016-08-08 00:00:00.000000","203000000000010806","2016-08-08 11:51:46.000000","TZS","1","1","-1","Acc_Full_Lock","2025-08-08 00:00:00.000000","","1000","203000000000010806","2016-08-08 11:51:54.162000","","","","","0","Acc_Full_Lock","","","","30","1","937218641"<endrec>
"-1","11","2","11003","","2016-08-09 00:00:00.000000","203000000000010811","2016-08-09 07:47:12.000000","TZS","1","1","-1","","2016-08-10 00:00:00.000000","","1000","203000000000010811","2016-08-09 07:47:40.269000","","","","","0","IBM_Acc","","","","30","1","937218693"<endrec>
"-1","11","2","11101","","2016-12-20 00:00:00.000000","203000000000010811","2016-12-20 09:36:07.000000","TZS","1","1","-1","","2016-12-31 00:00:00.000000","","1000","203000000000010811","2016-12-20 09:36:25.166000","","","","","0","Acc_AUX","1","","","30","1","937250701"<endrec>
"-1","11","2","11102","","2016-12-20 00:00:00.000000","203000000000010811","2016-12-20 09:53:38.000000","TZS","1","1","-1","","2016-12-20 00:00:00.000000","","5000","203000000000010806","2016-12-20 12:09:32.593000","","","","","0","B2C_Org","1","","","50","1","937250702"<endrec>
"-1","11","2","11102","","2016-12-20 00:00:00.000000","203000000000010806","2016-12-20 12:09:15.000000","TZS","1","1","-1","","2016-12-31 00:00:00.000000","","5000","203000000000010806","2016-12-20 12:09:32.612000","","","","","0","B2C_Org","1","","","30","1","937250714"<endrec>
"-1","11","2","11103","","2016-12-21 00:00:00.000000","203000000000010806","2016-12-20 12:16:46.000000","TZS","1","0","20","","2016-12-30 00:00:00.000000","","1000","203000000000010806","2016-12-20 12:16:56.939000","","","","","0","DynamicSendMoney_Aux","","","200","30","1","937250716"<endrec>
"-1","11","1","11104","","2016-12-21 00:00:00.000000","203000000000010811","2016-12-21 06:26:29.000000","TZS","1","1","-1","Accumulator_Value","2018-03-20 00:00:00.000000","","5000","203000000000014909","2018-03-20 06:33:41.224000","","","","","0","Accumulator_Value","1","","","50","1","937250720"<endrec>
"-1","11","2","11201","","2017-01-09 00:00:00.000000","203000000000010806","2017-01-09 12:45:59.000000","TZS","1","1","-1","B2C_Org1","2017-09-27 00:00:00.000000","","5000","203000000000027802","2017-09-27 05:24:17.030000","","","","","0","B2C_Org1","1","","","50","1","937254940"<endrec>
