ALIAS,ALLOW_ADJUST_TO_NEGATIVE,APPLIED_TO_CUSTOMER,APPLIED_TO_GROUP,APPLIED_TO_ORGANIZATION,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,EFFECTIVE_DATE,EFFECTIVE_MODE,EXPIRED_DATE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,LOYALTY_POINT_TYPE_ID,LOYALTY_POINT_TYPE_NAME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"SP Customer Loyalty","N","Y","N","N","203000000000013818","2016-12-08 18:17:31.126000","","2016-12-08 18:17:31.126000","1","2099-12-31 00:00:00.000000","203000000000015728","2017-11-14 13:43:54.547000","","10001","SP Customer Loyalty","30","937245716"<endrec>
"Nectar Points","N","Y","N","N","203000000000013818","2016-12-08 18:25:44.826000","Nectar Points","2016-12-08 18:25:44.826000","1","2099-12-31 00:00:00.000000","203000000000013818","2016-12-08 18:25:57.652000","","10002","Nectar Points","30","937245717"<endrec>
